,L_fft_um,H_peak,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,L_fft_um*PSS_nominal_nm,L_fft_um*HSQ_nominal_nm,L_fft_um*SOC_nominal_nm,L_fft_um*TiO2_nominal_nm
L_fft_um,1.0,-0.10391587239210401,0.07451884724401435,0.025904564581322058,0.08897757836859639,0.1205165465612045,0.07558721769814852,0.027563821087778637,0.0914476732889247,0.12186035102185204
H_peak,-0.10391587239210401,1.0,-0.20946002388834528,0.23632737405396628,-0.3450307266017427,-0.3737777507195656,-0.20955774729826412,0.23613440534255845,-0.3452261487699897,-0.37388901242433187
PSS_nominal_nm,0.07451884724401435,-0.20946002388834528,1.0,0.0049675948453935075,0.33486370656302283,0.09672718174702533,0.9999992364987424,0.005135272722706356,0.3349737485234558,0.09682258945020653
HSQ_nominal_nm,0.025904564581322058,0.23632737405396628,0.0049675948453935075,1.0,0.09023597244957819,0.029518106294803812,0.005039665444941654,0.9999984352568351,0.09031347810985613,0.029545350258314652
SOC_nominal_nm,0.08897757836859639,-0.3450307266017427,0.33486370656302283,0.09023597244957819,1.0,0.09448315382582587,0.3349428245242795,0.09041450318157206,0.9999967430613256,0.0946116862883969
TiO2_nominal_nm,0.1205165465612045,-0.3737777507195656,0.09672718174702533,0.029518106294803812,0.09448315382582587,1.0,0.09685741729114138,0.029712265620727662,0.09478222976450777,0.9999989075417876
L_fft_um*PSS_nominal_nm,0.07558721769814852,-0.20955774729826412,0.9999992364987424,0.005039665444941654,0.3349428245242795,0.09685741729114138,1.0,0.005209113406778195,0.3350556425001354,0.09695429692451199
L_fft_um*HSQ_nominal_nm,0.027563821087778637,0.23613440534255845,0.005135272722706356,0.9999984352568351,0.09041450318157206,0.029712265620727662,0.005209113406778195,1.0,0.0904961382523285,0.029741762096849977
L_fft_um*SOC_nominal_nm,0.0914476732889247,-0.3452261487699897,0.3349737485234558,0.09031347810985613,0.9999967430613256,0.09478222976450777,0.3350556425001354,0.0904961382523285,1.0,0.09491412116247136
L_fft_um*TiO2_nominal_nm,0.12186035102185204,-0.37388901242433187,0.09682258945020653,0.029545350258314652,0.0946116862883969,0.9999989075417876,0.09695429692451199,0.029741762096849977,0.09491412116247136,1.0
