sample_id,process_id,nominal_stack_id,nominal_stack_name,split_label,cavity_true_um,L_fft_um,delta_L_nm,H_peak,peak_count,film_HSQ_nominal_nm,film_PSS_nominal_nm,film_SOC_nominal_nm,film_TiO2_nominal_nm,film_HSQ_delta_nm,film_PSS_delta_nm,film_SOC_delta_nm,film_TiO2_delta_nm,film_HSQ_true_nm,film_PSS_true_nm,film_SOC_true_nm,film_TiO2_true_nm
0,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.0,1000.8624568772183,-862.4568772182784,775.685546875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
1,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.002,1000.8624568772183,-860.4568772183256,776.9063720703125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
2,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.004,1000.8624568772183,-858.4568772182593,778.111328125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
3,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.006,1000.8812059397652,-875.2059397652374,780.2615356445312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
4,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.008,1000.8812059397652,-873.205939765171,782.2057495117188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
5,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.01,1000.8812059397652,-871.2059397652183,783.8328247070312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
6,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.012,1000.8812059397652,-869.2059397652656,785.0575561523438,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
7,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.014,1000.8812059397652,-867.2059397651992,785.8062133789062,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
8,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.016,1000.8812059397652,-865.2059397652465,786.025390625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
9,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.018,1000.8812059397652,-863.2059397651801,785.6920166015625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
10,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.02,1000.8812059397652,-861.2059397652274,784.8209838867188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
11,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.022,1000.8812059397652,-859.205939765161,783.466796875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
12,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.024,1000.8812059397652,-857.2059397652083,781.7167358398438,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
13,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.026,1000.899955002312,-873.9550023120728,780.0510864257812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
14,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.028,1000.899955002312,-871.9550023120064,778.9805908203125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
15,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.03,1000.899955002312,-869.9550023120537,777.85302734375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
16,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.032,1000.899955002312,-867.9550023119873,776.7302856445312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
17,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.034,1000.899955002312,-865.9550023120346,775.63623046875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
18,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.036,1000.899955002312,-863.9550023120819,774.5592651367188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
19,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.038,1000.899955002312,-861.9550023120155,773.464599609375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
20,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.04,1000.899955002312,-859.9550023120628,772.310791015625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
21,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.042,1000.899955002312,-857.9550023119964,771.064453125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
22,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.044,1000.918704064859,-874.7040648589746,770.7433471679688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
23,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.046,1000.918704064859,-872.7040648589082,770.5664672851562,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
24,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.048,1000.918704064859,-870.7040648589555,770.2777709960938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
25,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.05,1000.918704064859,-868.7040648590028,769.9124755859375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
26,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.052,1000.918704064859,-866.7040648589364,769.521240234375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
27,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.054,1000.918704064859,-864.7040648589837,769.1644897460938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
28,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.056,1000.918704064859,-862.7040648589173,768.903564453125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
29,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.058,1000.918704064859,-860.7040648589646,768.7913818359375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
30,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.06,1000.918704064859,-858.7040648590119,768.8646240234375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
31,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.062,1000.9374531274058,-875.4531274057626,770.1778564453125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
32,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.064,1000.9374531274058,-873.4531274058099,771.8092651367188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
33,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.066,1000.9374531274058,-871.4531274057435,773.6100463867188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
34,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.068,1000.9374531274058,-869.4531274057908,775.5413208007812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
35,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.07,1000.9374531274058,-867.4531274057244,777.5537719726562,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
36,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.072,1000.9374531274058,-865.4531274057717,779.5907592773438,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
37,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.074,1000.9374531274058,-863.453127405819,781.5890502929688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
38,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.076,1000.9374531274058,-861.4531274057526,783.4775390625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
39,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.078,1000.9374531274058,-859.4531274057999,785.1749267578125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
40,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.08,1000.9374531274058,-857.4531274057335,786.5892944335938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
41,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.082,1000.9562021899527,-874.2021899527117,788.6234130859375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
42,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.084,1000.9562021899527,-872.202189952759,790.171875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
43,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.086,1000.9562021899527,-870.2021899526926,791.1378784179688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
44,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.088,1000.9562021899527,-868.2021899527399,791.4552612304688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
45,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.09,1000.9562021899527,-866.2021899526735,791.08740234375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
46,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.092,1000.9562021899527,-864.2021899527208,790.031494140625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
47,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.094,1000.9562021899527,-862.2021899526544,788.3195190429688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
48,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.096,1000.9562021899527,-860.2021899527017,786.0161743164062,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
49,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.098,1000.9562021899527,-858.202189952749,783.214599609375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
50,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.1,1000.9562021899527,-856.2021899526826,780.0286254882812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
51,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.102,1000.9749512524995,-872.9512524995471,777.3963623046875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
52,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.104,1000.9749512524995,-870.9512524994807,775.0545043945312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
53,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.106,1000.9749512524995,-868.951252499528,772.7002563476562,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
54,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.108,1000.9749512524995,-866.9512524995753,770.414306640625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
55,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.11,1000.9749512524995,-864.9512524995089,768.2572631835938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
56,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.112,1000.9749512524995,-862.9512524995562,766.2757568359375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
57,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.114,1000.9749512524995,-860.9512524994898,764.51025390625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
58,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.116,1000.9749512524995,-858.9512524995371,763.0008544921875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
59,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.118,1000.9937003150465,-875.7003150464016,762.2023315429688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
60,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.12,1000.9937003150465,-873.7003150464488,762.6050415039062,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
61,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.122,1000.9937003150465,-871.7003150464961,763.3468627929688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
62,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.124,1000.9937003150465,-869.7003150464298,764.4320678710938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
63,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.126,1000.9937003150465,-867.700315046477,765.8453369140625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
64,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.128,1000.9937003150465,-865.7003150464107,767.5525512695312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
65,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.13,1000.9937003150465,-863.700315046458,769.50341796875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
66,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.132,1000.9937003150465,-861.7003150465052,771.633544921875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
67,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.134,1000.9937003150465,-859.7003150464388,773.8665161132812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
68,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.136,1001.0124493775933,-876.4493775933033,776.4896850585938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
69,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.138,1001.0124493775933,-874.4493775932369,779.7574462890625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
70,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.14,1001.0124493775933,-872.4493775932842,782.8256225585938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
71,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.142,1001.0124493775933,-870.4493775932178,785.580322265625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
72,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.144,1001.0124493775933,-868.4493775932651,787.9014892578125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
73,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.146,1001.0124493775933,-866.4493775933124,789.6716918945312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
