Wavelength(um)	Intensity
0.5	0.371395
0.50001	0.486971
0.50002	0.591723
0.50003	0.619358
0.50004	0.568585
0.50005	0.447142
0.50006	0.36381
0.50007	0.452531
0.50008	0.571986
0.50009	0.619534
0.5001	0.588812
0.50011	0.481751
0.50012	0.36987
0.50013	0.419116
0.50014	0.54712
0.50015	0.614716
0.50016	0.603925
0.50017	0.514974
0.50018	0.388608
0.50019	0.390634
0.5002	0.517522
0.50021	0.604779
0.50022	0.613892
0.50023	0.544777
0.50024	0.416902
0.50025	0.371385
0.50026	0.484227
0.50027	0.589568
0.50028	0.618729
0.50029	0.569996
0.5003	0.450597
0.50031	0.36487
0.50032	0.449231
0.50033	0.568975
0.50034	0.61842
0.50035	0.590075
0.50036	0.485696
0.50037	0.372493
0.50038	0.415715
0.50039	0.543083
0.5004	0.612892
0.50041	0.604823
0.50042	0.519089
0.50043	0.392947
0.50044	0.387901
0.50045	0.512393
0.50046	0.60201
0.50047	0.614211
0.50048	0.548738
0.50049	0.422723
0.5005	0.370282
0.50051	0.478146
0.50052	0.585618
0.50053	0.618255
0.50054	0.573509
0.50055	0.457394
0.50056	0.366261
0.50057	0.442663
0.50058	0.563636
0.50059	0.61693
0.5006	0.592888
0.50061	0.492862
0.50062	0.376803
0.50063	0.409544
0.50064	0.53623
0.50065	0.610148
0.50066	0.606712
0.50067	0.526058
0.50068	0.39998
0.50069	0.383387
0.5007	0.504083
0.50071	0.597763
0.50072	0.614968
0.50073	0.555048
0.50074	0.43176
0.50075	0.368783
0.50076	0.46876
0.50077	0.579627
0.50078	0.617663
0.50079	0.578808
0.5008	0.467465
0.50081	0.368757
0.50082	0.433063
0.50083	0.555715
0.50084	0.61476
0.50085	0.596907
0.50086	0.503022
0.50087	0.383479
0.50088	0.401138
0.50089	0.526336
0.5009	0.606149
0.50091	0.609228
0.50092	0.535538
0.50093	0.410145
0.50094	0.377953
0.50095	0.492469
0.50096	0.591673
0.50097	0.615773
0.50098	0.563292
0.50099	0.444146
0.501	0.367972
0.50101	0.456164
0.50102	0.57121
0.50103	0.61654
0.50104	0.585435
0.50105	0.480664
0.50106	0.373444
0.50107	0.420879
0.50108	0.544839
0.50109	0.611466
0.5011	0.601647
0.50111	0.515818
0.50112	0.393361
0.50113	0.391387
0.50114	0.513116
0.50115	0.600416
0.50116	0.611867
0.50117	0.547039
0.50118	0.423879
0.50119	0.372888
0.5012	0.477474
0.50121	0.583233
0.50122	0.616104
0.50123	0.572908
0.50124	0.459897
0.50125	0.369306
0.50126	0.440657
0.50127	0.55986
0.50128	0.614335
0.50129	0.592791
0.5013	0.496671
0.50131	0.381599
0.50132	0.406941
0.50133	0.530568
0.50134	0.606462
0.50135	0.606493
0.50136	0.530713
0.50137	0.407255
0.50138	0.381691
0.50139	0.496317
0.5014	0.592329
0.50141	0.613997
0.50142	0.559905
0.50143	0.441423
0.50144	0.369959
0.50145	0.45922
0.50146	0.571809
0.50147	0.615305
0.50148	0.583186
0.50149	0.47877
0.5015	0.374501
0.50151	0.422952
0.50152	0.544987
0.50153	0.610357
0.50154	0.600148
0.50155	0.514917
0.50156	0.394446
0.50157	0.39268
0.50158	0.512476
0.50159	0.599019
0.5016	0.610704
0.50161	0.546962
0.50162	0.425679
0.50163	0.37407
0.50164	0.475877
0.50165	0.581135
0.50166	0.614858
0.50167	0.573316
0.50168	0.462632
0.50169	0.371322
0.5017	0.438277
0.50171	0.556673
0.50172	0.612584
0.50173	0.593283
0.50174	0.500161
0.50175	0.385249
0.50176	0.404465
0.50177	0.526002
0.50178	0.603775
0.50179	0.606656
0.5018	0.534553
0.50181	0.412822
0.50182	0.380331
0.50183	0.490323
0.50184	0.588272
0.50185	0.613417
0.50186	0.563617
0.50187	0.448593
0.50188	0.371124
0.50189	0.452211
0.5019	0.565975
0.50191	0.61356
0.50192	0.586303
0.50193	0.486842
0.50194	0.379194
0.50195	0.416018
0.50196	0.537085
0.50197	0.607009
0.50198	0.602237
0.50199	0.523077
0.502	0.402768
0.50201	0.387613
0.50202	0.502499
0.50203	0.593614
0.50204	0.611351
0.50205	0.554469
0.50206	0.43681
0.50207	0.372945
0.50208	0.464373
0.50209	0.573239
0.5021	0.613648
0.50211	0.579562
0.50212	0.475233
0.50213	0.375659
0.50214	0.42664
0.50215	0.545967
0.50216	0.609077
0.50217	0.59778
0.50218	0.51285
0.50219	0.395251
0.5022	0.395028
0.50221	0.512477
0.50222	0.597505
0.50223	0.608979
0.50224	0.54619
0.50225	0.427283
0.50226	0.375916
0.50227	0.474595
0.50228	0.578777
0.50229	0.613156
0.5023	0.573365
0.50231	0.465493
0.50232	0.373986
0.50233	0.435895
0.50234	0.552901
0.50235	0.61028
0.50236	0.59357
0.50237	0.504104
0.50238	0.389901
0.50239	0.401921
0.5024	0.520396
0.50241	0.600236
0.50242	0.606569
0.50243	0.539033
0.50244	0.419901
0.50245	0.379316
0.50246	0.482843
0.50247	0.582862
0.50248	0.61234
0.50249	0.567962
0.5025	0.457686
0.50251	0.373559
0.50252	0.443532
0.50253	0.558117
0.50254	0.610865
0.50255	0.589844
0.50256	0.496995
0.50257	0.386319
0.50258	0.407842
0.50259	0.526411
0.5026	0.602045
0.50261	0.604341
0.50262	0.533192
0.50263	0.414488
0.50264	0.382589
0.50265	0.489149
0.50266	0.585719
0.50267	0.611406
0.50268	0.563549
0.50269	0.451805
0.5027	0.373859
0.50271	0.449425
0.50272	0.561814
0.50273	0.611028
0.50274	0.586787
0.50275	0.491615
0.50276	0.38413
