offset_um,fitted_L0_um,error_nm
1.000000000000000056e-01,9.999316075054438215e+02,-6.839249455615689044e+01
1.473684210526315930e-01,1.002415334081964943e+03,2.415334081964969300e+03
1.947368421052631526e-01,1.001150614380327170e+03,1.150614380327104300e+03
2.421052631578947401e-01,1.000398210091477836e+03,3.982100914778300762e+02
2.894736842105263275e-01,1.000396531864008921e+03,3.965318640089445807e+02
3.368421052631579427e-01,1.000393956488407866e+03,3.939564884077994407e+02
3.842105263157894468e-01,1.000393586476405858e+03,3.935864764058587753e+02
4.315789473684210620e-01,1.000398220271589821e+03,3.982202715897918210e+02
4.789473684210526772e-01,1.000398220260672360e+03,3.982202606723096210e+02
5.263157894736841813e-01,1.000396781813545999e+03,3.967818135459239102e+02
5.736842105263157965e-01,1.000813230558742362e+03,8.132305587423526276e+02
6.210526315789474117e-01,9.981467171331250938e+02,-1.853282866874899582e+03
6.684210526315789158e-01,1.001147709191411764e+03,1.147709191411713164e+03
7.157894736842105310e-01,1.000809073552896734e+03,8.090735528966820311e+02
7.631578947368421462e-01,1.000813353091334307e+03,8.133530913342814301e+02
8.105263157894736503e-01,1.000813353717189557e+03,8.133537171895518441e+02
8.578947368421052655e-01,1.000812130218295806e+03,8.121302182957732612e+02
9.052631578947368807e-01,1.000806478660729226e+03,8.064786607292223835e+02
9.526315789473683848e-01,1.001153145841134119e+03,1.153145841134139346e+03
1.000000000000000000e+00,1.001091232240397403e+03,1.091232240397425130e+03
