Wavelength(um),Intensity
4.000000000000000222e-01,6.870558249959000277e-25
4.001000250062515806e-01,7.519791323522999559e-25
4.002000500125031390e-01,7.010346253092000125e-25
4.003000750187546974e-01,7.162181170703999624e-25
4.004001000250062559e-01,7.384593847565000220e-25
4.005001250312578143e-01,6.823197362561000237e-25
4.006001500375093727e-01,7.465215346617000201e-25
4.007001750437609866e-01,6.947566362397999921e-25
4.008002000500125450e-01,7.119840084185000165e-25
4.009002250562641034e-01,7.318589173901000372e-25
4.010002500625156618e-01,6.776509026809000335e-25
4.011002750687672203e-01,7.411326435426999677e-25
4.012003000750187787e-01,6.886257619464000307e-25
4.013003250812703371e-01,7.077677033246000398e-25
4.014003500875218955e-01,7.253059227310999653e-25
4.015003750937734539e-01,6.730327439824999708e-25
4.016004001000250123e-01,7.356947069676999792e-25
4.017004251062765707e-01,6.825634256845000235e-25
4.018004501125281291e-01,7.035889160090999574e-25
4.019004751187797431e-01,7.188215681709999726e-25
4.020005001250313015e-01,6.685052863995000184e-25
4.021005251312828599e-01,7.302810284049000075e-25
4.022005501375344183e-01,6.766059337899999782e-25
4.023005751437859767e-01,6.994365858684000108e-25
4.024006001500375351e-01,7.124298226841999690e-25
4.025006251562890935e-01,6.640840586612999729e-25
4.026006501625406520e-01,7.248889151800000379e-25
4.027006751687922104e-01,6.707538602305000007e-25
4.028007001750437688e-01,6.952862418377000192e-25
4.029007251812953272e-01,7.060222402930999600e-25
4.030007501875468856e-01,6.596973876150000130e-25
4.031007751937984995e-01,7.194971910618000182e-25
4.032008002000500579e-01,6.649516464604999615e-25
4.033008252063016164e-01,6.911259513543000405e-25
4.034008502125531748e-01,6.996540861776999661e-25
4.035008752188047332e-01,6.553503041008000078e-25
4.036009002250562916e-01,7.141082201832999861e-25
4.037009252313078500e-01,6.592430964025000365e-25
4.038009502375594084e-01,6.870228426591999816e-25
4.039009752438109668e-01,6.934571342099999970e-25
4.040010002500625252e-01,6.511741934245000338e-25
4.041010252563140837e-01,7.088009530534000016e-25
4.042010502625656421e-01,6.536577904911999945e-25
4.043010752688172005e-01,6.829043992807999984e-25
4.044011002750688144e-01,6.872371653847000027e-25
4.045011252813203728e-01,6.469566312257999629e-25
4.046011502875719312e-01,7.034290009132000224e-25
4.047011752938234896e-01,6.481792630610999812e-25
4.048012003000750481e-01,6.788438151286999690e-25
4.049012253063266065e-01,6.811172525110999993e-25
4.050012503125781649e-01,6.428690434184000287e-25
4.051012753188297233e-01,6.981155350228999836e-25
4.052013003250812817e-01,6.427569100592000193e-25
4.053013253313328401e-01,6.747581613104999965e-25
4.054013503375843985e-01,6.750057641568999677e-25
4.055013753438359569e-01,6.387924006766999992e-25
4.056014003500875709e-01,6.928189739380000187e-25
4.057014253563391293e-01,6.374256073615000096e-25
4.058014503625906877e-01,6.706590200567999572e-25
4.059014753688422461e-01,6.689805827731999820e-25
4.060015003750938045e-01,6.348102691211000041e-25
4.061015253813453629e-01,6.875441851374000404e-25
4.062015503875969213e-01,6.322247816368000165e-25
4.063015753938484798e-01,6.666552660985000317e-25
4.064016004001000382e-01,6.630507888200000433e-25
4.065016254063515966e-01,6.308702278940000352e-25
4.066016504126031550e-01,6.822795321052999917e-25
4.067016754188547134e-01,6.270875712055999677e-25
4.068017004251063273e-01,6.626211824763000027e-25
4.069017254313578857e-01,6.571538120432000378e-25
4.070017504376094442e-01,6.269439327055999809e-25
4.071017754438610026e-01,6.769914209736999852e-25
4.072018004501125610e-01,6.219889931384999755e-25
4.073018254563641194e-01,6.585341005025000101e-25
4.074018504626156778e-01,6.513269010733000289e-25
4.075018754688672362e-01,6.231256706243000221e-25
4.076019004751187946e-01,6.717794254502000131e-25
4.077019254813703530e-01,6.170592979013000106e-25
4.078019504876219115e-01,6.544864200535999696e-25
4.079019754938734699e-01,6.455340412042999739e-25
