Wavelength(um),Intensity
4.000000000000000222e-01,1.063337008382000022e-23
4.001000250062515806e-01,1.024738993445000015e-23
4.002000500125031390e-01,9.765386779901000523e-24
4.003000750187546974e-01,9.198433419688000701e-24
4.004001000250062559e-01,8.565761552811999718e-24
4.005001250312578143e-01,7.897600364897000143e-24
4.006001500375093727e-01,7.238325515921000212e-24
4.007001750437609866e-01,6.648561828514000004e-24
4.008002000500125450e-01,6.202338675261000009e-24
4.009002250562641034e-01,5.972597832522000065e-24
4.010002500625156618e-01,6.003340628343999924e-24
4.011002750687672203e-01,6.285701855309999789e-24
4.012003000750187787e-01,6.762337982086999622e-24
4.013003250812703371e-01,7.355243986959999873e-24
4.014003500875218955e-01,7.990941177699999918e-24
4.015003750937734539e-01,8.611494811157000126e-24
4.016004001000250123e-01,9.175788520590000008e-24
4.017004251062765707e-01,9.657169101830999747e-24
4.018004501125281291e-01,1.004042342323999940e-23
4.019004751187797431e-01,1.031899978578000040e-23
4.020005001250313015e-01,1.049269172919000040e-23
4.021005251312828599e-01,1.056587987265000040e-23
4.022005501375344183e-01,1.054643050877000042e-23
4.023005751437859767e-01,1.044531499510999979e-23
4.024006001500375351e-01,1.027690243804000046e-23
4.025006251562890935e-01,1.005969834937000044e-23
4.026006501625406520e-01,9.817079069949999365e-24
4.027006751687922104e-01,9.577345200765000637e-24
4.028007001750437688e-01,9.372278726148000072e-24
4.029007251812953272e-01,9.233548827184000275e-24
4.030007501875468856e-01,9.187066724463000492e-24
4.031007751937984995e-01,9.246750837227999326e-24
4.032008002000500579e-01,9.410300530100999383e-24
4.033008252063016164e-01,9.659154039728000540e-24
4.034008502125531748e-01,9.962674788209000488e-24
4.035008752188047332e-01,1.028452263197000055e-23
4.036009002250562916e-01,1.058875728110000017e-23
4.037009252313078500e-01,1.084422094000999990e-23
4.038009502375594084e-01,1.102691195776999989e-23
4.039009752438109668e-01,1.112070657165000016e-23
4.040010002500625252e-01,1.111696543037999929e-23
4.041010252563140837e-01,1.101353907199000065e-23
4.042010502625656421e-01,1.081362308731000057e-23
4.043010752688172005e-01,1.052484810186999981e-23
4.044011002750688144e-01,1.015890413015000001e-23
4.045011252813203728e-01,9.731866159336000187e-24
4.046011502875719312e-01,9.265185195544999479e-24
4.047011752938234896e-01,8.787006365498999614e-24
4.048012003000750481e-01,8.333023681597999629e-24
4.049012253063266065e-01,7.945477622281000148e-24
4.050012503125781649e-01,7.668481095014999406e-24
4.051012753188297233e-01,7.538704787549999862e-24
4.052013003250812817e-01,7.573735133358999871e-24
4.053013253313328401e-01,7.764380198296999411e-24
4.054013503375843985e-01,8.076386402750000615e-24
4.055013753438359569e-01,8.460314164992999586e-24
4.056014003500875709e-01,8.863243287321999653e-24
4.057014253563391293e-01,9.237356435054000589e-24
4.058014503625906877e-01,9.544365135186999486e-24
4.059014753688422461e-01,9.756889780681000429e-24
4.060015003750938045e-01,9.858107756066000171e-24
4.061015253813453629e-01,9.840550402589999720e-24
4.062015503875969213e-01,9.704578311154999908e-24
4.063015753938484798e-01,9.456908780485000091e-24
4.064016004001000382e-01,9.109524992963999345e-24
4.065016254063515966e-01,8.679272800634000067e-24
4.066016504126031550e-01,8.188384846449000067e-24
4.067016754188547134e-01,7.666001655067000195e-24
4.068017004251063273e-01,7.150361046990000311e-24
4.069017254313578857e-01,6.690437828215000617e-24
4.070017504376094442e-01,6.344207191871999846e-24
4.071017754438610026e-01,6.169377332854999805e-24
4.072018004501125610e-01,6.205468502762999838e-24
4.073018254563641194e-01,6.456278035545000079e-24
4.074018504626156778e-01,6.887505188843000622e-24
4.075018754688672362e-01,7.441476390203000314e-24
