Wavelength(um),Intensity
0.5,0.371395
0.50001,0.371708
0.50002,0.372026
0.50003,0.372348
0.50004,0.372674
0.50005,0.373004
0.50006,0.373338
0.50007,0.373676
0.50008,0.374017
0.5000899999999999,0.374363
0.5001,0.374712
0.50011,0.375065
0.50012,0.375422
0.50013,0.375783
0.50014,0.376147
0.50015,0.376515
0.50016,0.376887
0.50017,0.377262
0.50018,0.377641
0.50019,0.378024
0.5002,0.37841
0.5002099999999999,0.3788
0.50022,0.379193
0.5002300000000001,0.37959
0.50024,0.37999
0.50025,0.380393
0.50026,0.3808
0.50027,0.38121
0.50028,0.381624
0.50029,0.382041
0.5003,0.382461
0.50031,0.382884
0.50032,0.383311
0.5003299999999999,0.383741
0.50034,0.384174
0.5003500000000001,0.38461
0.50036,0.385049
0.50037,0.385491
0.50038,0.385937
0.50039,0.386385
0.5004,0.386837
0.50041,0.387291
0.50042,0.387748
0.50043,0.388208
0.50044,0.388671
0.50045,0.389137
0.50046,0.389606
0.5004700000000001,0.390078
0.50048,0.390552
0.50049,0.391029
0.5005,0.391508
0.50051,0.391991
0.50052,0.392476
0.5005299999999999,0.392963
0.50054,0.393454
0.50055,0.393946
0.50056,0.394441
0.50057,0.394939
0.50058,0.395439
0.50059,0.395942
0.5006,0.396447
0.50061,0.396955
0.50062,0.397464
0.50063,0.397976
0.50064,0.398491
0.5006499999999999,0.399007
0.50066,0.399526
0.5006700000000001,0.400047
0.50068,0.400571
0.50069,0.401096
0.5007,0.401624
0.50071,0.402153
0.50072,0.402685
0.50073,0.403219
0.50074,0.403754
0.50075,0.404292
0.50076,0.404831
0.5007699999999999,0.405373
0.50078,0.405916
0.5007900000000001,0.406462
0.5008,0.407009
0.50081,0.407558
0.50082,0.408108
0.50083,0.408661
0.50084,0.409215
0.50085,0.409771
0.50086,0.410328
0.50087,0.410887
0.50088,0.411448
0.50089,0.41201
0.5009,0.412574
0.5009100000000001,0.41314
0.50092,0.413706
0.50093,0.414275
0.50094,0.414845
0.50095,0.415416
0.50096,0.415988
0.50097,0.416562
0.50098,0.417138
0.50099,0.417714
0.501,0.418292
0.50101,0.418871
0.50102,0.419451
0.50103,0.420033
0.50104,0.420616
0.50105,0.4212
0.50106,0.421785
0.50107,0.422371
0.50108,0.422958
0.5010899999999999,0.423546
0.5011,0.424135
0.50111,0.424726
0.50112,0.425317
0.50113,0.425909
0.50114,0.426502
0.50115,0.427096
0.50116,0.427691
0.50117,0.428287
0.50118,0.428883
0.50119,0.42948
0.5012,0.430079
0.5012099999999999,0.430677
0.50122,0.431277
0.5012300000000001,0.431877
0.50124,0.432478
0.50125,0.43308
0.50126,0.433682
0.50127,0.434285
0.50128,0.434888
0.50129,0.435492
0.5013,0.436097
0.50131,0.436702
0.50132,0.437307
0.5013299999999999,0.437913
0.50134,0.43852
0.5013500000000001,0.439127
0.50136,0.439734
0.50137,0.440342
0.50138,0.44095
0.50139,0.441558
0.5014,0.442167
0.50141,0.442776
0.50142,0.443385
0.50143,0.443994
0.50144,0.444604
0.50145,0.445214
0.50146,0.445824
0.5014700000000001,0.446435
0.50148,0.447045
0.50149,0.447656
0.5015,0.448266
0.50151,0.448877
0.50152,0.449488
0.5015299999999999,0.450099
0.50154,0.45071
0.50155,0.451321
0.50156,0.451932
0.50157,0.452543
0.50158,0.453154
0.50159,0.453764
0.5016,0.454375
0.50161,0.454986
0.50162,0.455596
0.50163,0.456207
0.50164,0.456817
0.5016499999999999,0.457427
