Wavelength (um), Intensity
0.500000, 0.371395
0.500010, 0.486971
0.500020, 0.591723
0.500030, 0.619358
0.500040, 0.568585
0.500050, 0.447142
0.500060, 0.36381
0.500070, 0.452531
0.500080, 0.571986
0.500090, 0.619534
0.500100, 0.588812
0.500110, 0.481751
0.500120, 0.36987
0.500130, 0.419116
0.500140, 0.54712
0.500150, 0.614716
0.500160, 0.603925
0.500170, 0.514974
0.500180, 0.388608
0.500190, 0.390634
0.500200, 0.517522
0.500210, 0.604779
0.500220, 0.613892
0.500230, 0.544777
0.500240, 0.416902
0.500250, 0.371385
0.500260, 0.484227
0.500270, 0.589568
0.500280, 0.618729
0.500290, 0.569996
0.500300, 0.450597
0.500310, 0.36487
0.500320, 0.449231
0.500330, 0.568975
0.500340, 0.61842
0.500350, 0.590075
0.500360, 0.485696
0.500370, 0.372493
0.500380, 0.415715
0.500390, 0.543083
0.500400, 0.612892
0.500410, 0.604823
0.500420, 0.519089
0.500430, 0.392947
0.500440, 0.387901
0.500450, 0.512393
0.500460, 0.60201
0.500470, 0.614211
0.500480, 0.548738
0.500490, 0.422723
0.500500, 0.370282
0.500510, 0.478146
0.500520, 0.585618
0.500530, 0.618255
0.500540, 0.573509
0.500550, 0.457394
0.500560, 0.366261
0.500570, 0.442663
0.500580, 0.563636
0.500590, 0.61693
0.500600, 0.592888
0.500610, 0.492862
0.500620, 0.376803
0.500630, 0.409544
0.500640, 0.53623
0.500650, 0.610148
0.500660, 0.606712
0.500670, 0.526058
0.500680, 0.39998
0.500690, 0.383387
0.500700, 0.504083
0.500710, 0.597763
0.500720, 0.614968
0.500730, 0.555048
0.500740, 0.43176
0.500750, 0.368783
0.500760, 0.46876
0.500770, 0.579627
0.500780, 0.617663
0.500790, 0.578808
0.500800, 0.467465
0.500810, 0.368757
0.500820, 0.433063
0.500830, 0.555715
0.500840, 0.61476
0.500850, 0.596907
0.500860, 0.503022
0.500870, 0.383479
0.500880, 0.401138
0.500890, 0.526336
0.500900, 0.606149
0.500910, 0.609228
0.500920, 0.535538
0.500930, 0.410145
0.500940, 0.377953
0.500950, 0.492469
0.500960, 0.591673
0.500970, 0.615773
0.500980, 0.563292
0.500990, 0.444146
0.501000, 0.367972
0.501010, 0.456164
0.501020, 0.57121
0.501030, 0.61654
0.501040, 0.585435
0.501050, 0.480664
0.501060, 0.373444
0.501070, 0.420879
0.501080, 0.544839
0.501090, 0.611466
0.501100, 0.601647
0.501110, 0.515818
0.501120, 0.393361
0.501130, 0.391387
0.501140, 0.513116
0.501150, 0.600416
0.501160, 0.611867
0.501170, 0.547039
0.501180, 0.423879
0.501190, 0.372888
0.501200, 0.477474
0.501210, 0.583233
0.501220, 0.616104
0.501230, 0.572908
0.501240, 0.459897
0.501250, 0.369306
0.501260, 0.440657
0.501270, 0.55986
0.501280, 0.614335
0.501290, 0.592791
0.501300, 0.496671
0.501310, 0.381599
0.501320, 0.406941
0.501330, 0.530568
0.501340, 0.606462
0.501350, 0.606493
0.501360, 0.530713
0.501370, 0.407255
0.501380, 0.381691
0.501390, 0.496317
0.501400, 0.592329
0.501410, 0.613997
0.501420, 0.559905
0.501430, 0.441423
0.501440, 0.369959
0.501450, 0.45922
0.501460, 0.571809
0.501470, 0.615305
0.501480, 0.583186
0.501490, 0.47877
0.501500, 0.374501
0.501510, 0.422952
0.501520, 0.544987
0.501530, 0.610357
0.501540, 0.600148
0.501550, 0.514917
0.501560, 0.394446
0.501570, 0.39268
0.501580, 0.512476
0.501590, 0.599019
0.501600, 0.610704
0.501610, 0.546962
0.501620, 0.425679
0.501630, 0.37407
0.501640, 0.475877
0.501650, 0.581135
0.501660, 0.614858
0.501670, 0.573316
0.501680, 0.462632
0.501690, 0.371322
0.501700, 0.438277
0.501710, 0.556673
0.501720, 0.612584
0.501730, 0.593283
0.501740, 0.500161
0.501750, 0.385249
0.501760, 0.404465
0.501770, 0.526002
0.501780, 0.603775
0.501790, 0.606656
0.501800, 0.534553
0.501810, 0.412822
0.501820, 0.380331
0.501830, 0.490323
0.501840, 0.588272
0.501850, 0.613417
0.501860, 0.563617
0.501870, 0.448593
0.501880, 0.371124
0.501890, 0.452211
0.501900, 0.565975
0.501910, 0.61356
0.501920, 0.586303
0.501930, 0.486842
0.501940, 0.379194
0.501950, 0.416018
0.501960, 0.537085
0.501970, 0.607009
0.501980, 0.602237
0.501990, 0.523077
0.502000, 0.402768
0.502010, 0.387613
0.502020, 0.502499
0.502030, 0.593614
0.502040, 0.611351
0.502050, 0.554469
0.502060, 0.43681
0.502070, 0.372945
0.502080, 0.464373
0.502090, 0.573239
0.502100, 0.613648
0.502110, 0.579562
0.502120, 0.475233
0.502130, 0.375659
0.502140, 0.42664
0.502150, 0.545967
0.502160, 0.609077
0.502170, 0.59778
0.502180, 0.51285
0.502190, 0.395251
0.502200, 0.395028
0.502210, 0.512477
0.502220, 0.597505
0.502230, 0.608979
0.502240, 0.54619
0.502250, 0.427283
0.502260, 0.375916
0.502270, 0.474595
0.502280, 0.578777
0.502290, 0.613156
0.502300, 0.573365
0.502310, 0.465493
0.502320, 0.373986
0.502330, 0.435895
0.502340, 0.552901
0.502350, 0.61028
0.502360, 0.59357
0.502370, 0.504104
0.502380, 0.389901
0.502390, 0.401921
0.502400, 0.520396
0.502410, 0.600236
0.502420, 0.606569
0.502430, 0.539033
0.502440, 0.419901
0.502450, 0.379316
0.502460, 0.482843
0.502470, 0.582862
0.502480, 0.61234
0.502490, 0.567962
0.502500, 0.457686
0.502510, 0.373559
0.502520, 0.443532
0.502530, 0.558117
0.502540, 0.610865
0.502550, 0.589844
0.502560, 0.496995
0.502570, 0.386319
0.502580, 0.407842
0.502590, 0.526411
0.502600, 0.602045
0.502610, 0.604341
0.502620, 0.533192
0.502630, 0.414488
0.502640, 0.382589
0.502650, 0.489149
0.502660, 0.585719
0.502670, 0.611406
