Wavelength(um),Intensity
5.000000000000000000e-01,6.341140134430918451e-02
5.000099999999999545e-01,5.008750948768551231e-02
5.000199999999999090e-01,3.199539906716563492e-02
5.000299999999998635e-01,2.628382027386646017e-02
5.000399999999998180e-01,2.953387852757188500e-02
5.000499999999997724e-01,4.555055144382769844e-02
5.000599999999997269e-01,6.273887622337948056e-02
5.000699999999996814e-01,5.533412077102339149e-02
5.000799999999996359e-01,3.546337110243530377e-02
5.000899999999995904e-01,2.719281604587265450e-02
5.000999999999995449e-01,2.798307478548344579e-02
5.001099999999994994e-01,3.894124609319810082e-02
5.001199999999994539e-01,5.947700686944167731e-02
5.001299999999994084e-01,5.944004032004416432e-02
5.001399999999993629e-01,3.934713316565986024e-02
5.001499999999993173e-01,2.770002444872308664e-02
5.001599999999992718e-01,2.661998328654309118e-02
5.001699999999992263e-01,3.537900304406616653e-02
5.001799999999991808e-01,5.560408372557566065e-02
5.001899999999991353e-01,6.199883020660287153e-02
5.001999999999990898e-01,4.500122632532342626e-02
5.002099999999990443e-01,2.991822617544172627e-02
5.002199999999989988e-01,2.659736562708368834e-02
5.002299999999989533e-01,3.281153856532469104e-02
5.002399999999989078e-01,4.901347958780741254e-02
5.002499999999988622e-01,6.345413534486092633e-02
5.002599999999988167e-01,5.009013656717765939e-02
5.002699999999987712e-01,3.210010350944641350e-02
5.002799999999987257e-01,2.708194055560782937e-02
5.002899999999986802e-01,2.985672155075460091e-02
5.002999999999986347e-01,4.449413536852883655e-02
5.003099999999985892e-01,6.231675436082170089e-02
5.003199999999985437e-01,5.576859675732436655e-02
5.003299999999984982e-01,3.626978475781059835e-02
5.003399999999984527e-01,2.635606149153610703e-02
5.003499999999984071e-01,2.760316344245500320e-02
5.003599999999983616e-01,3.948921294432290729e-02
5.003699999999983161e-01,5.919904716537610634e-02
5.003799999999982706e-01,5.973312764119402540e-02
5.003899999999982251e-01,3.987692929644721940e-02
5.003999999999981796e-01,2.854221651394140899e-02
5.004099999999981341e-01,2.612902330796791975e-02
5.004199999999980886e-01,3.533441743313684574e-02
5.004299999999980431e-01,5.455264064293415677e-02
5.004399999999979975e-01,6.213740478836102948e-02
5.004499999999979520e-01,4.510572448026735348e-02
5.004599999999979065e-01,2.995280340209077394e-02
5.004699999999978610e-01,2.636199743811875468e-02
5.004799999999978155e-01,3.200768502196563170e-02
5.004899999999977700e-01,5.065222085151091513e-02
5.004999999999977245e-01,6.344953434029657058e-02
5.005099999999976790e-01,5.221569705222310620e-02
5.005199999999976335e-01,3.249466554987216066e-02
5.005299999999975880e-01,2.658781699241087593e-02
5.005399999999975424e-01,2.975386784216944858e-02
5.005499999999974969e-01,4.427345846803323187e-02
5.005599999999974514e-01,6.276905739823310237e-02
5.005699999999974059e-01,5.662568804815431428e-02
5.005799999999973604e-01,3.619698241926078836e-02
5.005899999999973149e-01,2.684940315615762935e-02
5.005999999999972694e-01,2.752260340079127135e-02
5.006099999999972239e-01,3.905247575985528602e-02
5.006199999999971784e-01,5.890736932914231172e-02
5.006299999999971329e-01,5.970079226767480846e-02
5.006399999999970873e-01,4.074754072332995025e-02
5.006499999999970418e-01,2.769395954991269240e-02
