PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,PC_51,PC_52,PC_53,PC_54,PC_55,PC_56,PC_57,PC_58,PC_59,PC_60,PC_61,PC_62,PC_63,PC_64,PC_65,PC_66,PC_67,PC_68,PC_69,PC_70,PC_71,PC_72,PC_73,PC_74,PC_75,PC_76,PC_77,PC_78,PC_79,PC_80,PC_81,PC_82,PC_83,PC_84,PC_85,PC_86,PC_87,PC_88,PC_89,PC_90,PC_91,PC_92,PC_93,PC_94,PC_95,PC_96,PC_97,PC_98,PC_99,PC_100
-0.9468421,2.262304,-0.46393996,-2.8126407,0.31901675,4.3895197,3.316137,3.7887106,0.35065496,-0.14798291,1.7050729,0.16476125,1.6118095,-0.8562279,1.3052193,0.06876096,0.7134815,2.136775,-0.03576359,0.22333197,-0.7604192,-1.0899447,0.8752683,-0.23596522,-0.40011707,-1.2942239,0.72589606,0.94862217,-0.0117540555,-2.1090117,1.2343854,-1.2502009,-0.5571518,0.6376302,-0.025890797,0.3301524,0.27703086,0.4728884,-1.2272049,0.36666024,-0.43351775,-0.91795623,0.9472603,-0.8039035,-0.25853652,0.12236568,-0.09601143,0.46330962,0.48668584,0.2968263,-0.097975366,0.33420596,-0.5422687,0.2454452,-0.43238303,0.3169911,-0.32334557,0.59188026,-0.0050540445,-0.47886953,-0.36792707,-0.04072787,0.12750624,-0.09093264,0.76143044,-0.045952935,-0.21178433,0.33570558,0.03893886,0.17952959,0.19135916,-0.30347934,-0.41380775,0.3825135,0.32450113,0.12824394,-0.23964837,0.060173277,-0.16517684,-0.037052892,-0.016006026,-0.03486103,0.08901848,0.31061986,-0.16932502,-0.0965095,-0.17553467,-0.24335563,-0.26256165,-0.044189867,-0.13195823,-0.25189862,0.071649425,-0.12537476,-0.19233766,0.032210823,-0.05714061,-0.13448118,0.019450145,0.34223098
-0.93348014,2.2568944,-0.14315312,-2.780546,0.3872192,4.392831,3.3025343,3.7429183,0.3299873,-0.3629888,1.7240865,0.19218796,1.6805594,-0.7607665,1.2687571,0.1707901,0.800451,2.083071,-0.118129835,0.39521772,-0.74714595,-1.0474533,0.86122066,-0.2611342,-0.25666243,-1.3238282,0.5960046,0.88028675,0.02506968,-2.0949092,1.2328876,-1.3260105,-0.5530515,0.6524207,-0.0065689767,0.3306538,0.28402355,0.52970946,-1.2792222,0.34741896,-0.3532918,-0.9059652,0.9333922,-0.7407048,-0.22845113,0.14176063,-0.13197666,0.37979826,0.5143159,0.31331438,-0.1346989,0.24029344,-0.5001271,0.33045927,-0.42254454,0.3022079,-0.32715455,0.58401775,-0.046543922,-0.4960479,-0.4016772,-0.06530261,0.10386618,-0.100967936,0.76867646,-0.03600055,-0.19974224,0.27115065,-0.004019692,0.14758389,0.17439051,-0.30721366,-0.39818418,0.42500383,0.32575515,0.08358187,-0.2750147,0.037642207,-0.106906764,-0.019582303,-0.0021774964,-0.03684368,0.059820794,0.3017945,-0.14932483,-0.07636968,-0.18143132,-0.24245733,-0.23708814,-0.042902574,-0.109064266,-0.22779073,0.071302384,-0.1264164,-0.18757096,-0.010084697,-0.034640737,-0.15318629,0.025457585,0.3164187
-0.9214257,2.2515314,0.16412838,-2.7457044,0.45304978,4.40315,3.2825575,3.678504,0.30876863,-0.5762595,1.7437415,0.21027529,1.7458738,-0.66316736,1.2184778,0.25353608,0.8776862,2.0318646,-0.19611722,0.55795854,-0.724564,-0.98588556,0.83109766,-0.28601953,-0.110933885,-1.3438379,0.46269962,0.81329066,0.048742574,-2.0823586,1.2288561,-1.3994203,-0.54756963,0.6610974,0.0095205,0.34884185,0.28853133,0.5833002,-1.3233662,0.33711022,-0.26232478,-0.87295485,0.91636837,-0.6778228,-0.20092875,0.1619379,-0.15569387,0.29093882,0.53358054,0.32640612,-0.16691193,0.14158729,-0.45655414,0.4111363,-0.41309956,0.2877366,-0.32434535,0.5732937,-0.085440256,-0.5048322,-0.42783606,-0.088532194,0.07589332,-0.10727586,0.76361674,-0.028758219,-0.19097564,0.20402955,-0.052725703,0.10636897,0.15526284,-0.30373055,-0.38284406,0.46011427,0.32430503,0.03289581,-0.3000835,0.021257367,-0.048006248,0.0007933695,0.0143064065,-0.03613759,0.034091953,0.2875283,-0.120457254,-0.047942318,-0.18696083,-0.22844152,-0.21503912,-0.036142465,-0.08392191,-0.19429713,0.068358384,-0.12563546,-0.18110184,-0.054469954,-0.015676446,-0.16641273,0.031269055,0.28484347
-0.91052246,2.2464812,0.45812824,-2.7082553,0.51654583,4.4208994,3.2557971,3.5960505,0.2871337,-0.78609014,1.7643244,0.21898645,1.8074872,-0.5645627,1.1549857,0.31741628,0.94488835,1.9832535,-0.26810423,0.71005034,-0.69334173,-0.9066342,0.78498787,-0.31007874,0.03377911,-1.3542323,0.3268831,0.74841076,0.05927008,-2.0707717,1.2223941,-1.4705611,-0.5409317,0.66391796,0.022134274,0.38494843,0.2904499,0.6333202,-1.358864,0.3364479,-0.16203657,-0.81917614,0.8953723,-0.6162244,-0.17551091,0.18209341,-0.1673276,0.1992038,0.5446849,0.33486915,-0.19513299,0.041263696,-0.41583195,0.483788,-0.40218607,0.27385014,-0.3149177,0.5608554,-0.12147934,-0.50457597,-0.44563395,-0.11046455,0.043517746,-0.10972509,0.74696034,-0.024227282,-0.18547615,0.13519616,-0.10451009,0.057769544,0.13601848,-0.29379535,-0.3676325,0.48887476,0.3208404,-0.020718608,-0.31110257,0.01074938,0.008580816,0.02249974,0.03235924,-0.03289043,0.0123296315,0.2672743,-0.08510461,-0.01250323,-0.19171548,-0.20270573,-0.19771743,-0.024578158,-0.058543075,-0.1529348,0.063072905,-0.122811176,-0.17364894,-0.10031414,-0.00039622933,-0.17371245,0.03620911,0.24847554
-0.90053976,2.2419052,0.73917717,-2.668366,0.5778243,4.4462566,3.2215114,3.4962456,0.265095,-0.9907673,1.7864711,0.21885586,1.8652529,-0.4661165,1.0789735,0.36335543,1.0020868,1.9373164,-0.33239475,0.8503088,-0.6542132,-0.8115969,0.7230076,-0.33273557,0.1739017,-1.3550718,0.189478,0.6861739,0.05684903,-2.05921,1.2134762,-1.539686,-0.5331675,0.6612938,0.031358965,0.43813604,0.28952518,0.6794024,-1.3852296,0.34537065,-0.054396927,-0.7464336,0.86980903,-0.556669,-0.15120177,0.20159757,-0.16765817,0.10715385,0.54806167,0.33768052,-0.21972229,-0.057512093,-0.38158643,0.54545426,-0.38824028,0.26072776,-0.29945433,0.54751986,-0.15431316,-0.49477762,-0.45446336,-0.13151391,0.0069201356,-0.10847367,0.7200672,-0.022345098,-0.18310948,0.06562651,-0.15642719,0.004305264,0.118431956,-0.27858722,-0.35218662,0.5124681,0.31584844,-0.073984995,-0.30506614,0.00542749,0.05983756,0.043885157,0.05082188,-0.02757215,-0.0051717004,0.24100062,-0.046371754,0.027972877,-0.19533998,-0.1676167,-0.18585825,-0.0092514455,-0.03466401,-0.106023386,0.05622331,-0.11768044,-0.16573077,-0.14683181,0.011318572,-0.17483623,0.039655212,0.20840885
-0.8912301,2.2378538,1.0075194,-2.6262162,0.6370616,4.4790096,3.1790063,3.3798063,0.24264932,-1.1886184,1.8109477,0.2108748,1.9191066,-0.36897328,0.9912261,0.39264575,1.0495342,1.8941002,-0.3873132,0.9777955,-0.60795695,-0.70303535,0.6454119,-0.35349244,0.30570945,-1.3464774,0.051448476,0.62689406,0.041856196,-2.046476,1.2019134,-1.6070702,-0.52414286,0.65377825,0.03759294,0.50656784,0.28532627,0.721167,-1.4021986,0.3630989,0.05812724,-0.6580144,0.83938164,-0.49967065,-0.126627,0.22003551,-0.15797555,0.017301958,0.5442433,0.33415896,-0.2409169,-0.1518476,-0.35659376,0.59418076,-0.3702369,0.2484108,-0.27906927,0.5336451,-0.18350285,-0.47520512,-0.45394078,-0.15244539,-0.033379756,-0.103905156,0.6847623,-0.023025958,-0.18366432,-0.0036720466,-0.2054857,-0.051035933,0.10390331,-0.25959703,-0.33609933,0.5318573,0.3094964,-0.123897456,-0.28016892,0.0042935265,0.102894925,0.063465506,0.068625495,-0.02093585,-0.0183708,0.20928563,-0.0077510136,0.071067646,-0.19760628,-0.12640142,-0.17957108,0.008603122,-0.013487579,-0.056422044,0.04898067,-0.109971024,-0.15760095,-0.19308262,0.019699432,-0.16968304,0.04105075,0.16591097
-0.88237166,2.2342694,1.2632668,-2.58198,0.69447875,4.5184627,3.1278849,3.2473927,0.21988082,-1.3780442,1.8384321,0.19638652,1.9690589,-0.27419996,0.8926454,0.4069042,1.0875878,1.8536074,-0.43136132,1.0917735,-0.5553376,-0.5834154,0.5526873,-0.37203735,0.42548174,-1.3285912,-0.08620343,0.57068235,0.014843191,-2.0311637,1.1874295,-1.672887,-0.51358736,0.6420354,0.04150772,0.58760715,0.2773026,0.7582397,-1.4096612,0.38829648,0.17272149,-0.5583631,0.8041167,-0.4454929,-0.10028042,0.23716879,-0.13995922,-0.06798729,0.53378254,0.32410842,-0.25891054,-0.23934826,-0.3427542,0.62909895,-0.34780866,0.23677118,-0.25525385,0.5190556,-0.20853995,-0.4459976,-0.44396847,-0.17426933,-0.076537095,-0.09649266,0.64314586,-0.026183384,-0.18682888,-0.071737,-0.24888948,-0.10502155,0.093406625,-0.23844251,-0.31900987,0.5474913,0.30159196,-0.16813195,-0.23623948,0.0062164767,0.13529007,0.08017362,0.08494058,-0.01392282,-0.027515858,0.17329912,0.027265642,0.11425962,-0.1984009,-0.082893215,-0.17836536,0.027689211,0.0045233574,-0.007175754,0.0426791,-0.09942389,-0.14920157,-0.23796833,0.024935625,-0.15835434,0.039937224,0.12238009
-0.87379444,2.2309995,1.5064318,-2.5358171,0.7503242,4.5633817,3.0681174,3.099576,0.19700503,-1.5575278,1.8693404,0.17701453,2.0151834,-0.18273856,0.7842951,0.4080417,1.1165903,1.81583,-0.46336624,1.1916637,-0.49704954,-0.45525557,0.44563532,-0.38834983,0.52965313,-1.3015739,-0.22244528,0.5174953,-0.023483489,-2.011719,1.1697637,-1.7371155,-0.501118,0.6267991,0.043955848,0.67811245,0.26487195,0.7902746,-1.4075913,0.4192792,0.2864347,-0.45259997,0.76433307,-0.39417762,-0.070794284,0.25285694,-0.115523174,-0.14655901,0.51723486,0.3079062,-0.27388045,-0.31825194,-0.3411456,0.6502802,-0.32121897,0.22550888,-0.2296924,0.5030793,-0.22890566,-0.40771502,-0.42476666,-0.1980544,-0.12146477,-0.08669092,0.5974317,-0.031732738,-0.19213027,-0.1376727,-0.28425726,-0.15442304,0.087494776,-0.21665108,-0.3006058,0.55918103,0.29164764,-0.20530468,-0.17500451,0.010119538,0.15525874,0.0935383,0.0992678,-0.0075427685,-0.033151902,0.13468945,0.055578683,0.1552371,-0.197624,-0.041160658,-0.18123579,0.04671104,0.019686604,0.038854588,0.038558617,-0.085809894,-0.1401693,-0.28023568,0.027068548,-0.14123899,0.03599326,0.079223126
-0.865397,2.2278242,1.7370074,-2.4878774,0.8048498,4.612165,2.9999905,2.936905,0.17436516,-1.7256262,1.9037936,0.15451992,2.0575979,-0.095372185,0.6674085,0.39818022,1.136791,1.7807734,-0.48255387,1.2770133,-0.43368044,-0.3210288,0.3254302,-0.4027326,0.614953,-1.2656016,-0.3562168,0.46721932,-0.07230046,-1.9865227,1.1487548,-1.7995096,-0.48627257,0.6088376,0.045828857,0.77475584,0.24747996,0.8170026,-1.3959923,0.45420992,0.3963931,-0.34599715,0.7205683,-0.34560552,-0.037137628,0.2669857,-0.08664495,-0.2165546,0.49515268,0.2864865,-0.28594127,-0.38744363,-0.35212758,0.65844506,-0.29119787,0.21419461,-0.2040997,0.4847318,-0.24415062,-0.3613245,-0.39686242,-0.22469452,-0.16693138,-0.07489793,0.54979295,-0.039575092,-0.19888914,-0.20062615,-0.30980667,-0.19627053,0.08635723,-0.19546984,-0.28057548,0.56620437,0.27903485,-0.23498632,-0.10004058,0.015138189,0.16201298,0.103723176,0.111439764,-0.002757363,-0.036088362,0.095403194,0.07481738,0.1920815,-0.19507408,-0.005061677,-0.18679708,0.06438404,0.032911148,0.07930722,0.03757842,-0.06896444,-0.12991191,-0.31850332,0.026001193,-0.11904126,0.02906241,0.03768665
-0.8571452,2.22452,1.9551095,-2.4383056,0.85829455,4.6630797,2.9239275,2.7599795,0.15239465,-1.8809665,1.9416313,0.13059741,2.0964167,-0.012721881,0.54339355,0.37949106,1.1482962,1.74845,-0.4885538,1.3475097,-0.36571795,-0.18311666,0.19365452,-0.4157904,0.6785441,-1.2208822,-0.48642546,0.41977173,-0.13070945,-1.9540228,1.124344,-1.8596417,-0.46854988,0.58893675,0.04790073,0.87431043,0.22463569,0.8382627,-1.3748672,0.49125308,0.49998644,-0.24355024,0.673508,-0.2995559,0.0012813645,0.27942908,-0.055210065,-0.2765024,0.4680849,0.26121444,-0.29507628,-0.44637161,-0.37545982,0.6546485,-0.25867164,0.20233922,-0.18007319,0.46300983,-0.25397518,-0.3081282,-0.36105433,-0.25468704,-0.2116413,-0.061459962,0.5021961,-0.04955604,-0.20620152,-0.25976735,-0.3244655,-0.22810693,0.08992498,-0.17575969,-0.25856292,0.56761867,0.26319107,-0.25749,-0.01635718,0.020714115,0.1559213,0.11140059,0.12152552,-0.00037473068,-0.037321955,0.057487555,0.083563365,0.22329882,-0.19039387,0.022170434,-0.19343093,0.07942213,0.045327786,0.11253744,0.04033906,-0.048856802,-0.11775258,-0.35132432,0.02162271,-0.092727706,0.019171437,-0.0012984988
