,L_fft_um,H_peak,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,L_fft_um*PSS_nominal_nm,L_fft_um*HSQ_nominal_nm,L_fft_um*SOC_nominal_nm,L_fft_um*TiO2_nominal_nm
L_fft_um,1.0,-0.08246658041129905,0.04816580027458321,0.0360284595920581,0.06305983455717191,0.11700232455843608,0.04920237453727451,0.037615823196338584,0.06548261545184628,0.11834375821548059
H_peak,-0.08246658041129905,1.0,-0.16201311659203269,0.266243094057192,-0.3164008392540049,-0.3881818383889134,-0.16208525258574735,0.26610762939655686,-0.3165510259078542,-0.38824474474408893
PSS_nominal_nm,0.04816580027458321,-0.16201311659203269,1.0,0.05336391881295502,0.2755207257647952,0.06520542507464813,0.9999992911261761,0.05344022738447964,0.27559410027032755,0.06526859307589183
HSQ_nominal_nm,0.0360284595920581,0.266243094057192,0.05336391881295502,1.0,0.0619863454036504,-0.005620965434899771,0.053401740838075425,0.9999985680927297,0.06206259442040164,-0.005574987144079842
SOC_nominal_nm,0.06305983455717191,-0.3164008392540049,0.2755207257647952,0.0619863454036504,1.0,0.08976204002332788,0.27557149827052974,0.062080995998200904,0.9999968828734337,0.08984075980378085
TiO2_nominal_nm,0.11700232455843608,-0.3881818383889134,0.06520542507464813,-0.005620965434899771,0.08976204002332788,1.0,0.06533232749238113,-0.005438396079970981,0.09004066524237321,0.9999989186731418
L_fft_um*PSS_nominal_nm,0.04920237453727451,-0.16208525258574735,0.9999992911261761,0.053401740838075425,0.27557149827052974,0.06533232749238113,1.0,0.05347971476247365,0.27564748083332963,0.06539690902204681
L_fft_um*HSQ_nominal_nm,0.037615823196338584,0.26610762939655686,0.05344022738447964,0.9999985680927297,0.062080995998200904,-0.005438396079970981,0.05347971476247365,1.0,0.062161113283256984,-0.005390287075003232
L_fft_um*SOC_nominal_nm,0.06548261545184628,-0.3165510259078542,0.27559410027032755,0.06206259442040164,0.9999968828734337,0.09004066524237321,0.27564748083332963,0.062161113283256984,1.0,0.09012266904235917
L_fft_um*TiO2_nominal_nm,0.11834375821548059,-0.38824474474408893,0.06526859307589183,-0.005574987144079842,0.08984075980378085,0.9999989186731418,0.06539690902204681,-0.005390287075003232,0.09012266904235917,1.0
