,L_fft_um,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,fft_spectral_centroid_um,fringe_visibility_global,fringe_contrast_std,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
L_fft_um,1.0,0.0858813221429202,0.21176391341437756,0.1716906443355554,0.5400022696670047,0.2693851149716346,0.14069416430314435,-0.32018561875206397,-0.5675829772234936,0.015062921594512037,0.008583314990701304,0.020526090972059898,-0.009620835317120054,-0.015106610904595766,-0.02085475217790583,-0.003743576372384053,0.04804935727623328,-0.013444756911031466,-0.04271179211695753,-0.01096841147563564,-0.0844536153783802,-0.004191960375687635,-0.0029250418875433827,0.03693114774670793,0.003121867286530487,-0.01536084502172118,-0.03331563487280097,-0.02948314590747355,-0.003482050397753952,-0.010671614989940448,-0.022063666867554847,0.017115936198639454,0.009388366163274181,-4.6053974907448106e-05,-0.02659334016509849,-0.015108298719689595,0.02749783316614747,0.06482098167624627,-0.08369458553311888,0.06492003550126588,-0.011834540639037274,-0.008217698260610183,-0.014508679073493265,-0.006197748653844105,-0.007997599530720267,-0.01202877875364875,0.01595096844629922,-0.04481362705703682,-0.007701111430618317,0.01918718059402726,-0.016625712971406897,-0.020219782249481667,-0.0029434470258694278,0.003813292160708422,-0.01627686086658319,-0.02053065999476529,-0.07041727776099055,-0.009686946768810012,-0.019172779734655226,-0.012505409479641507,-0.0161259769002304,0.01296096412942794,0.05171193295461709,-0.001304569274251389,-0.03392434366298759,-0.018192985210492348,0.03506890750415331,0.04497146254187247,0.007933449828300758,0.03084534481741654,0.0014913809312467,-0.004670512871615076,0.10663389685214965,0.003218916693913331,-0.00135880773052471,0.02236544862402137,0.026630900725955895,-0.0236941762488381,-0.005917100426512458,-0.03296299856760872,-0.051421068005802845,0.01743366442902626,-0.03350524484671887,-0.04816390555556755,-0.007252195287370658,0.009074658327937447,-0.03886935928489686,-0.006060058012395843,0.017460079598550348,0.027391911105330492,0.032739835137883005,0.03253357245847954,0.011635395085940761,0.02874433880584267,0.061149813466966456,0.006459699543660768,-0.012991143444703488,-0.0399994305862677,-0.009606785192962661,0.061832187573541905,0.03623472052451914,0.0031002944065190094,-0.0009462793791024258,0.009471080174981055,0.007019055679410186,-0.0358270092176869,0.10215832365574053,-0.0002719776862817725
PSS_nominal_nm,0.0858813221429202,1.0,-0.09456959137272296,0.024544946826965796,-0.05157063588661142,0.11654943701933304,-0.04499226818718817,0.21375503576517807,-0.00307029175451522,0.04542405769160163,-0.014570737835398017,0.008561507559649663,0.03977697812018918,-0.006817710094872074,-0.008068187385459433,-0.024912999676207095,-0.10330935935335135,0.006832133422391964,-0.1337638071731615,-0.13915538407344014,0.006299096745583935,0.0005938641244096967,-0.00045617751478171757,0.038954153784792424,0.011086020995940103,0.04799602268414582,-0.004977219260491824,-0.01065437422126543,0.016127764387777185,0.006755376042525973,0.0015885159713362065,-0.0006085927062547146,-0.001727937593521894,0.006869014405062456,0.004750600375256317,0.010811961760499226,-0.01517920849995766,-0.03541145148433995,-0.03140998634107204,-0.010330180436793762,-0.0011722324209070707,0.004574673323649279,-0.007763717509761346,0.01299178260377136,-0.004769200572140018,0.006881745182164691,-0.0029978047955770415,0.0012823542651500203,-0.0018909129599848423,-0.029178723219391686,0.02218570069197731,0.0067514486504543034,0.004416571233982674,0.015594736185785746,-0.005326328897872585,-0.047931522773080985,-0.03013204435221883,-0.0780272313030186,0.012602260775854114,0.027917935893628593,0.009033743326610723,0.01024183619504393,-0.03675735104731591,-0.047491632642716775,-0.0016505956372798722,0.012592102207168903,-0.002192754228034957,-0.0011340123857537998,-0.00728820442808856,-0.0019133011508362724,0.0037995106557900406,-0.0009466671207854729,-0.0034410699519706266,0.004537955367132564,0.0008684940225960775,-0.0019336704521637558,-0.016321368636441968,-0.0034329425199311906,-0.007955889053711161,-0.009834612749976192,-0.008505437134202255,-0.03260672879024157,-0.024096875634252137,-0.04544882956112225,-0.03451522781195381,-0.038886996495327834,-0.030266341209389137,-0.03736060691720456,-0.05431783506640596,0.01712283119175159,0.0007003927822103373,-0.03380207829080323,-0.016527221646951872,0.0006781091772738203,-0.00030932543418739426,0.01831562695013957,0.009109572516673516,-0.002433197551679668,-0.011470145394222992,0.0005796763787272958,0.004840222470414213,0.015639640838140616,-0.005004551574440204,-0.01967822656542349,0.08048836678340916,0.048410328386210955,-0.011855286106504218,0.030324870787309572
HSQ_nominal_nm,0.21176391341437756,-0.09456959137272296,1.0,-0.006053085722411727,0.1247848361753119,0.30401457998003734,0.014339812721096207,-0.28255708807892665,-0.2618283549810506,-0.11077819763739216,0.027037765451156312,0.048008660980210845,0.03566476462353324,0.13718754859823182,0.009379388501607756,0.055107716061612716,-0.2118632792022626,0.027223596308095635,0.0558752357222082,-0.08223446582864555,0.032391861363440105,0.006084445199167474,0.0019232359009168848,0.1372791418204197,0.03261459286505421,0.1721048640476769,-0.025010166778185964,-0.05725682395812684,0.06961669450865166,0.02864794300689357,-0.0031827856285065134,0.0061781102923506095,0.0004302607622779248,0.009225655599405351,0.008083336309229913,0.006114232648868961,-0.018677277500888045,-0.08578148309691366,-0.12441287841000954,-0.0215216406246151,0.004933073234621116,0.01596039313010653,0.004656675831816325,-0.00979676436261628,0.015554874601545535,-0.004388356256027101,-0.014554276539535841,-0.01402038969747705,0.00578872259311465,-0.002391302013563336,-0.0008916542536386874,-0.025234685129155995,0.0025649695027829406,-0.0019967656341346447,-0.01625013092867124,0.020589255288509103,-0.006705372397858756,-0.043594020920598046,0.0028985219273363434,0.012724702636815586,0.0003026512605064819,-0.005077315189866722,0.09732372997391404,0.11087761959603325,0.006977052021292433,-0.020216205632096137,-0.0017344066081821951,-0.0020692335191092657,0.0015594923234279036,0.0013356192366138905,0.0019299184918558463,-0.0004885911912730541,0.011527146686063198,0.009374124939621122,0.0016675593805534964,-0.002051319692465344,0.0010777348620360926,-0.008845151242599603,-0.002956264190110127,-0.005614904413441793,0.007688228690983888,0.011643227098598611,0.011154531910867078,0.0040635218042596195,-0.007480126835931798,0.003917145823919408,0.016165049567673284,0.003688219338306037,0.004528957636768371,0.008271020008501646,0.005407005987322695,0.000825509635488264,-0.00403887840793181,0.0002219566420886826,0.005639182858002489,0.008284252766638791,0.010465065558868444,-0.013451305434284105,-0.013108849617762831,0.004342168522612977,0.01383463878820793,0.014069507760546053,-0.006448236404900773,-0.021227190056078524,0.11144087283736463,0.05024998326181418,-0.005184536046344444,0.03409731255678746
SOC_nominal_nm,0.1716906443355554,0.024544946826965796,-0.006053085722411727,1.0,0.04633268578376361,0.060838261199626986,0.05636383515702211,-0.6729468543843449,-0.058361278664470724,-0.1777196937501141,-0.014524199595182502,0.009078143623310643,0.05050309255128054,-0.0336239005681556,-0.0080621563664142,0.01695549664662329,0.048430112384637604,0.0036568839610225364,0.04995204994693729,-0.25982424152830047,0.032577958293787984,0.02494580363327204,0.0005404191265011678,0.14434972142834368,0.03519050423531756,0.1706122584017161,-0.003514405648783137,-0.049953081577252284,0.06712898489341425,0.035341235550798045,-0.003371461917809977,-0.001959237765857501,-0.004774750054832658,0.005897410810915683,0.005757502010802556,0.013727281071814678,-0.033096578211488197,-0.1546026719527367,-0.20776378788726838,-0.044856946863789535,-0.00034057801959188515,0.015189417611253947,0.01106821449028341,-0.010195270035129819,0.018249963130249514,-0.02365707458852857,-0.009368474214326562,-0.009509318546742447,-0.004024875729891181,0.01877223478547167,-0.012794709707400848,-0.007881664285479841,-0.000989707457779468,-0.013628205487569779,0.005994522939411296,0.04188994031969926,0.028307297835906887,0.09909492769297763,-0.008216582426561961,-0.03063312436773617,-0.018206123731898744,0.009333064437765251,-0.08527453348070653,-0.08753546816735186,-0.007655297031920443,0.016191734021152145,0.004250318833518484,0.022200658049384075,-0.00042088570350025563,0.008559526238911163,-0.006187760403455417,0.0001565478913759133,7.650261459638436e-05,-0.0037703043725421273,0.012469784288228522,0.0006833105417920762,0.0002093555034961484,0.012844842820187136,0.0027845796288352214,0.0021752428124176743,-0.0011676852289819865,0.010486447620098528,0.007910789396726643,0.02060810345443512,0.020112708123438284,0.00798721585517816,0.012137319887691112,0.019986488248143024,0.027751712731660026,-0.007039315291408736,-0.017114137838191955,0.006120945415359058,0.007168526125640619,-0.004304325901622852,-0.017376419732713887,-0.015906344056927122,-0.006349170673458622,0.006101414316241277,0.016156498475078163,-0.00918206723528513,-0.026085157765825706,-0.015650451841095626,0.007014268233959611,0.013220335397040933,-0.10155507805170393,-0.047963302540101456,-0.003080318668332174,-0.02086090166157137
TiO2_nominal_nm,0.5400022696670047,-0.05157063588661142,0.1247848361753119,0.04633268578376361,1.0,0.39298624449926045,0.3053040525422111,-0.3611143817364341,-0.8526910871040119,-0.17245271206550758,-0.0013704769935345815,0.027522981648468163,-0.06535796537818359,-0.194788191847346,0.0005188504602595008,-0.05363763638299465,0.1313442015141791,-0.016425339932771142,-0.13383644073876108,0.0749141199565397,-0.03990384022414301,-0.019799767833969494,-0.009253468757635346,-0.13295517968710308,-0.03154683437329831,-0.1630355695984216,0.010873198949542454,0.052583730367845256,-0.06672737027616545,-0.036131280137434996,-0.009981212074623507,-0.003886265010819428,-0.0029285385793778665,-0.010026061392811604,-0.011525084655995646,-0.007028841426214917,0.0142609999201998,0.0280055513969576,0.07783008293411287,0.009540509416806463,-0.0002592223337652673,-0.0005821557083062073,-0.005968186126196418,-0.0009460447970169347,-0.008718564121824162,0.004946876950659451,-0.003976804794961381,0.0005662700460652803,-0.002414558573115334,-0.002247749154622545,0.009789017737587337,-0.0058429876088705885,0.0010413866748361313,0.0020183075352648385,-0.006881513851269816,-0.016196542325605884,-0.015344731756339637,-0.05183935111669711,0.007899233929987929,0.015451902558470865,0.0007978992840457241,0.003057427644620041,0.03794938854136334,0.05966518036378772,0.0064248658629078685,0.0043447191815355335,-0.0018912692609723669,-0.006986737904164337,0.002191563769795757,0.006016162209067902,0.005019535463637229,0.0011003036799133005,-0.002849740830602797,0.0006851650083090725,0.0014641983591092388,0.0001666458175767739,-0.008652096616322043,0.001837822830352708,-0.007375301661889928,-0.006208874207486077,-0.007701894152289056,-0.019593099191665325,-0.017486695932805486,-0.02070136741934117,-0.018757971828377573,-0.017042657115409168,-0.011028927450750925,-0.012416185450847708,-0.01663235645908176,0.0032133008477651737,-0.00022916738686519053,-0.012054723538954593,-0.012778907447255496,0.0011823565714900802,-0.0009431436280128696,0.00393595258967253,-0.0006928935800697074,0.001021849791279745,-0.00186448458594749,0.0025140670576250007,-0.005878508245853969,-0.001702148795051366,-0.0019870427124930663,-0.0035559213991081143,-0.019010246450849328,-0.008899933438112325,-0.00012210680989163458,-0.00789591152623798
fft_spectral_centroid_um,0.2693851149716346,0.11654943701933304,0.30401457998003734,0.060838261199626986,0.39298624449926045,1.0,0.058317921103288914,-0.29633099888970665,-0.4691776014514791,-0.5051623444110451,0.042006001941085495,0.1860099316532918,-0.07824195882307787,0.5328664852585537,-0.000991722327077543,0.07588354434391369,-0.08453230227403266,0.00518898920377102,-0.2709839009120715,0.12040458565241154,0.008418639746041533,-0.01707673470131154,0.04307503244550063,0.06113608916776372,0.030544292751045147,0.0928503072961878,0.011427406498773796,-0.020588517627914513,0.02492350584349058,-0.010729622850919964,0.009630907785580506,-0.01678947837410505,-0.006446373890905787,0.005187563399822618,0.034824778457045236,-0.012606720274575474,-0.0002571356760266234,-0.008289831612379634,0.0019853231993493103,0.013395021826798477,0.004989537767935162,0.01685792992177181,0.0428180988428278,0.03698665858693629,0.004425020802741698,-0.011328610276391312,0.019230390570611836,-0.014102519765879385,0.012270944594408965,-0.0008367775952950585,0.005581600523824848,0.024065634585242697,0.0043570293427265625,0.01728003717010733,0.022976732343785184,-0.009101292944693517,-0.035007154630297646,-0.0631404805374946,-0.0019703823717933276,0.02386226603841066,0.011371993130157677,-0.0004445227056595731,-0.008079961278492809,-0.023419785393390406,-0.016478943124749932,0.005557303921500966,-0.005431983661243836,0.005727210475788398,-0.0081123719513211,-0.0009240466809275352,0.00025585044857498105,0.0017329300428497302,0.0006937277486886489,0.008342262941231514,-0.0018610933619791431,0.00011169591233430945,0.019817366039963917,0.014845946901115802,0.012110045772298208,-0.002640798146725431,0.002522494620364892,0.0006052153126172042,0.010115717624378668,0.010092474089652225,0.007823260581124829,0.006625414360814263,0.0016528043201588362,0.005203017210022959,-0.0035565774522594595,-0.005492759331776245,0.0060353407417456165,-0.007604514417092813,0.0024328174197597616,-0.0031275894133882287,-0.008797280458919159,0.0032432398522983037,0.006280868946407558,-0.0013242412287318072,0.001730456768818661,0.003089661002530706,-0.0035762164109718986,-0.0063246155304729585,0.000930782812403178,-0.004002604448520038,0.024729415390922743,-0.0025211595677025723,-0.007864288220063666,0.0003029699223174137
fringe_visibility_global,0.14069416430314435,-0.04499226818718817,0.014339812721096207,0.05636383515702211,0.3053040525422111,0.058317921103288914,1.0,-0.07582127990328712,-0.2239653287466017,-0.13792251576824124,-0.016552086746089663,0.0003331071279255055,0.011431432325672336,-0.17979375986309334,0.0007981009431968132,-0.03815070360437969,0.019191722161879532,-0.009186054063023101,-0.0562005368892362,-0.034071034640280454,-0.016142028082572295,-0.006945036842562151,-0.0017442667700188295,-0.03469242111784359,-0.013069370680308843,-0.03689324177492444,0.0028179428340294964,0.011651471892573723,-0.004912105344609404,-0.003572902810401702,-7.98141399821541e-05,-0.00368451067176003,-0.0010079599721058569,-0.00020534235785772825,-0.0005439897873602673,-0.008428358883593324,-0.0026435762478584208,-0.02517552746077784,-0.041640226572880364,-0.0036629596941500165,0.0010873166478781579,0.0017483112907275928,-0.00370106398373257,-0.01108120008366377,0.00046646914317993585,0.0022747887763789965,-0.0006934478761750457,-0.0023508521282037727,0.0025378107956716953,-0.006280499787374955,0.0025200300796359176,-0.006844906162673443,-0.002058944443187158,-0.0006074718157140811,-0.003343969460070933,-0.010462689152679774,-0.007815309545975447,-0.025812359657552155,0.004616480062426013,0.00944136502064744,0.0014571812420433013,0.000538091848183501,0.013884551423143817,0.02067900774976952,0.006165182946093664,0.0006959568517963748,0.002437638547101615,-0.00012155955375112587,-0.000182530665773354,0.002681923145321071,0.001788049900279689,-0.00017102464936465396,-0.007074688615432616,0.0009619544328394055,-0.004083108869407828,0.00029869637469545575,-0.007389645562499962,-0.008105102569806165,-0.011255270329282257,-0.001524031503031904,-0.00044350512219864667,-0.018259895767610425,-0.010640716999548152,-0.01794794066206929,-0.012841213031346645,-0.013798532473686042,-0.0081570750722088,-0.013885418836349977,-0.017993746575945015,0.006016030952108289,0.0030260833179988744,-0.008186538678344,-0.004217852859033418,-0.003527216568018479,0.0018323031435039487,0.007137513638302683,0.0012274203043610478,-0.0011407347996718789,0.0007193504410037815,0.0033209088311943473,-0.0031669674720930167,-0.005060576207838798,0.0004140799448302945,0.002410967779932595,-0.007851289295920466,0.0001309839912885284,0.0020200814042496754,-0.009786324010299304
fringe_contrast_std,-0.32018561875206397,0.21375503576517807,-0.28255708807892665,-0.6729468543843449,-0.3611143817364341,-0.29633099888970665,-0.07582127990328712,1.0,0.3856978817726106,0.17171971541360823,-0.12246351271787258,-0.03421687192074693,-0.00881373122148248,-0.011357507403620267,-0.0482301424925542,-0.20060507528109822,-0.042029740315847317,-0.02607902949597183,0.09264451470313843,0.14159449810758754,-0.061814871028359225,-0.054012735012344305,0.14257194149257343,-0.18871560953182515,-0.06302815389617339,-0.08010093458431664,0.06795823310433681,-0.0016052541331332563,-0.004408948630260968,0.05484550410497536,-0.07130914711299738,-0.016656000001813758,0.040460333962916976,-0.015863137677156268,-0.02079390759851326,-0.07404012109173805,0.02532322512509755,0.088301084102072,0.12476568570333421,0.025138648398378798,-0.013080693123034505,0.039662542229179636,-0.06394703030585523,-0.0047452249864637416,-0.026801862487063174,-0.015872214770754508,0.03144020100763166,0.020590899512488502,-0.0028118627543611634,-0.04144008653609949,0.023271263490211434,0.01811087822262348,0.009490810783692964,0.011697043390034285,-0.02149834086639058,-0.04654585294757128,-0.008250967790589182,0.00386175890372072,-0.00042306607642225724,-0.01077572136300556,0.0191744261319514,-0.019530229305414405,0.029933317634335037,0.032868637584724254,0.01427904307105471,-0.010711328998959154,0.0034178112364435156,0.0014754765604373446,0.004597365310336686,-0.016329193866306928,0.014277376000942981,-0.0006038090194572564,0.004026282418727376,0.03081115498818863,-0.012688955932665056,0.001296108625107096,-0.023531449162468007,-0.02865590212565266,-0.004157359852514868,-0.017769347216305385,0.003458160105163275,-0.01189942910326361,0.02049260294208685,-0.018445382464851424,-0.03302360548152317,-0.01520456997854557,0.0025238393276745034,-0.004835731985038297,0.005214179450723307,-0.0010738270043806819,0.010451407388220387,0.021985038962361588,0.004554264134012493,-0.008151585507116248,0.010536549839724681,0.003301043159283954,0.004937775133549099,-0.010576508437352803,-0.00568806540646223,-0.0019176134687778287,0.019158779206950284,0.00025123696820306753,0.010442071253241265,-0.009648741589492428,0.08432771523947026,0.044881257724967843,0.008505007329833099,0.022126580668568024
PC1,-0.5675829772234936,-0.00307029175451522,-0.2618283549810506,-0.058361278664470724,-0.8526910871040119,-0.4691776014514791,-0.2239653287466017,0.3856978817726106,1.0,-0.0037022642318116604,-0.0003086732898604295,0.0017191393168072794,-0.00439995710966474,-0.0005241288970438156,-0.0019032173623851965,0.0017439307430880443,0.0005068261186416224,-0.00017462433499615125,-0.00036701933232357383,0.0009224888727962167,0.0029556214732983322,-0.0034136416289396233,-0.006186579696607088,0.0009294712892400405,0.0031988243219922764,0.0019050498259473056,0.0017382168392860815,0.002386422102388226,-0.0005434549208965045,0.0018385089870626616,-0.00038639145686713265,-0.0028529089574829713,0.000712764915055352,0.001948594382197248,-0.0009241544956635431,0.001422855892836833,-0.005748842716369508,0.004085156271743384,-0.00030497668068561615,-0.001701246358247615,0.0004290905319308904,-0.0014227384365980088,0.004096861069503888,-0.0012609162849814334,0.0024167765052217857,-0.0027646114569968277,0.0026875126621129118,-0.002219409516793416,-0.004098335436722002,0.0008240631659111831,0.0022624658004527076,0.004375457567816524,0.0026298849910691238,-0.001449939656908162,0.004558264264210144,-0.0012628056048467708,0.003105935944959643,-0.0005086726479608078,-0.0031020858909303227,-0.0017193690229647428,-0.0028759784891486907,-0.0009890981270442416,0.00015487979504200987,0.00028762346748369643,0.0015279432004751425,-0.0015019524129912312,0.002040500520678609,-0.0031114120213167843,0.0017703946836373015,-0.004511982043006172,-0.0029586974855135193,-0.0033895599544550765,-0.003385651380843433,0.000946138414751091,-0.0030074438637558865,-0.0021969034795881444,-0.003407015433706892,-0.00425866711569069,0.0019231920462932533,0.0010754953347040486,0.0017222155959058256,0.00029230092296259476,-0.003984854574468231,-0.0008631847600382823,-0.001880283103640035,0.0012497076264824899,-0.0024036165163573496,-0.0025561674440134382,0.0010486371949171745,0.0013730555022066447,-0.004938115336425095,0.0027777328073863993,0.004822065278202315,0.0002468661305004284,-0.0006697490579444062,-0.000454332745814881,0.0008609130929037495,0.0013863029077750611,-1.7346859097711206e-05,0.0004626512282548325,0.003878435205503045,0.005776114847797676,0.0021546041139505544,0.0036158833055244654,0.0015621890302196073,0.0023482658525994246,0.0005421871843961019,-4.978308992162912e-05
PC2,0.015062921594512037,0.04542405769160163,-0.11077819763739216,-0.1777196937501141,-0.17245271206550758,-0.5051623444110451,-0.13792251576824124,0.17171971541360823,-0.0037022642318116604,1.0,0.0006298085376860142,-0.0004615828002741978,-0.004011302219757576,0.002065243753439279,2.9454435346294776e-05,0.0007155113539996817,-0.00023178392603400813,-0.0035403844295862916,0.00119729315237338,0.0007958360555097066,-0.0008053637181826744,0.004009464756502598,0.0022068288086770065,-0.004554327418270508,-0.0012208346711210737,0.0015001402130556114,-0.0013365690810499234,0.0006214958292942418,0.003186031983418574,0.00018563132524307324,0.002991450720960676,-0.0010498452182943706,0.005252584486630109,0.0008901738716878961,-0.0032151150454592325,0.0006453615156898149,-0.0011995211137827459,0.0005013988589821534,-0.0026144892316735035,-0.0007393048990931909,-0.00018267041323642534,-0.0007491404735482707,0.00036074802807985364,-0.00010405497991112925,-0.0021008213709648696,-0.0016287207597049384,0.00031536561243358867,-0.0012410519369441004,-0.001971635969723269,0.000547987630288996,0.0011952003419208794,0.00011663144954479428,0.001597332314615459,0.0011140809971896687,-0.001916717661935789,0.004264067335082057,-0.0037645573753979206,0.0005929360329381097,0.00020597709192759735,0.0017662173955491393,0.0010424209897010104,-0.0008236301415016818,0.0004880787148937934,0.0025595660521616436,0.003037094112353552,-0.0006649663178309163,-0.00141950489233249,-0.0013116967520809754,-0.0014132494630577674,0.0035295386460194,-0.0013371678874599102,-0.0006559757266616282,0.0012560726639814055,0.0008994418918189771,-0.001137567767429219,0.00181990780472941,0.001286502284312389,0.0023885151615710277,-0.0031459446274917737,0.003728652804925252,-0.0007923832883693458,0.0018226352245839922,0.0015916426513037088,-0.002754867535461248,0.002301228803223051,-0.004336790794323591,-0.0007317975037134385,0.0007655132654243472,-0.00184125328006783,-0.0024311923881269156,0.0026525687287196785,0.0003680652479906359,3.281326452135428e-05,-0.0028620140944844784,0.001154123593510436,0.001891687662729573,0.0006812408917120999,0.0007690499738430265,-0.0006642476343920383,-0.0038006868135680503,-0.0009947527980593107,-0.0019336803922725826,-0.0009744983379228194,0.0004014879484156466,-0.001047489284709617,0.0012568580534319746,0.005008868370121414,0.0025866143001551964
