,L_fft_um,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,fft_spectral_centroid_um,fringe_visibility_global,fringe_contrast_std,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
L_fft_um,1.0,0.08311217871253433,0.21946252457693793,0.1373165784946207,0.5402557041104985,0.18636440280279984,0.16928286166149314,-0.3219372534759328,-0.5870339010003791,0.08425965088975942,0.028308062670275965,0.0035942912870933715,0.009300080177795248,-0.09401597276345919,-0.025136326268599473,-0.06437219792426245,0.08543324851327253,0.03450161457535984,-0.0058541710578144095,0.002313424164865313,-0.059172716976321274,0.014706325989812979,-0.016571900267195218,0.07661095883802133,0.04363008057611893,0.05960089109964373,0.051423815393439445,-0.006034599712831636,-0.02833794530117162,-0.04089330224654013,0.02196299832084637,-0.0017390718192416207,-0.007127454130362149,0.072852725182522,-0.09403623355996936,0.008135105725151701,0.03206595250571955,0.1003696724817443,-0.12588360796490783,0.12084284608447687,-0.004559173958360229,-0.0108299576430476,-0.040516340579443456,0.018836081172814875,-0.04118903825788848,0.02104584919544679,-0.0303655604949794,-0.05595144614107151,0.053207792823926015,0.037032453735760175,-0.020643298344788757,-0.041675746352046995,-0.03887071476908868,0.0722434684421153,0.03931251497229898,0.02935447853892439,-0.026868367867832792,-0.029448389354085343
PSS_nominal_nm,0.08311217871253433,1.0,-0.04184407691109348,0.05182511068010636,-0.04940966452583643,0.09566420635965331,-0.00058631967258348,0.19695226527139317,-0.031711112998423524,0.03683644257752598,-0.07043216367295044,0.04340105972884329,0.05935692306403051,-0.02397465083575221,-0.003987670005488352,0.028103649950422083,-0.15143583265302007,0.05284272294328047,-0.07512850033787942,-0.1322754886660565,0.029611159336409183,0.02688489460585948,-0.031082611964929584,-0.002161216764351014,-0.007304646444003042,0.1152710800596036,-0.000388099856415136,0.009022349183034071,-0.03396315682461575,0.01627921768937177,0.032951219416921924,-0.017872380685452643,0.04519967698458939,-0.018617658129097565,-0.0019429759965676544,0.05440232976607794,-0.13947269460667866,-0.0215567917154214,-0.10831440735780362,-0.01097766054363805,-0.05444779379921789,0.07147579124326794,-0.07967259123532466,0.05250622762946906,-0.04332329454958659,-0.06125188922701164,-0.009177448268204427,0.003073152442339363,-0.0033279834110250413,-0.07736891722928539,0.06024639355620635,-0.05066814727962571,0.04573735971922281,-0.007936274296199216,-0.07146602111126531,-0.006460817706314453,-0.010318441693937412,-0.06482787582914445
HSQ_nominal_nm,0.21946252457693793,-0.04184407691109348,1.0,0.021637117565749823,0.18819057860048322,0.39640519544601494,0.03946637058669446,-0.3249389375315229,-0.32200420298767113,-0.19577510274707113,0.06477226987637,0.028132837208309034,0.0644750514765568,0.13250769957686018,-0.028829234011248664,0.015358103293421558,-0.14735078113109937,0.07611726658499961,-0.04491456702748977,-0.10393597111840686,0.09991384149916645,0.0788371854304933,0.02711779271682789,0.14978061583634025,0.06863611145809687,0.2133731285163416,0.025465532057969167,-0.037867691954458764,0.05409052267196026,0.04820692979535377,-0.01804876446178456,-0.018722139152096945,-0.04821235848263116,0.023173658490776072,-0.034458896237340955,0.05748194056784068,-0.012611103826509816,-0.10557564076417583,-0.16911440302931713,-0.006512231554252695,-0.027989337247442285,-0.042309405473699005,0.015929558564109585,0.01566748142481673,0.021663126172110334,0.07200177698379394,-0.01066776966411304,-0.005000498962640548,-0.024077056585435037,0.007881184095474236,-0.04266342216252648,0.0009863463456020443,-0.020934191847817293,0.06264224757468387,-0.07304019892088079,-0.00415938005024942,-0.021035100085348084,-0.02416854104322892
SOC_nominal_nm,0.1373165784946207,0.05182511068010636,0.021637117565749823,1.0,-0.02138609763148892,0.03397185153857931,0.04026600860258575,-0.6246323273257258,-0.03724164864155616,-0.10029357467119507,-0.05972145486193825,-0.015211980364540531,0.1177265492775776,0.03908817499235693,0.02680663082726559,-0.06454072268663438,-0.03948457724546668,0.015266901775549152,0.060974616917045754,-0.2100744760636515,0.017480640801726333,0.08489513022813927,-0.05424050916314314,0.1964460546801323,-0.02011521547124615,0.1743378291075842,0.03768380257723885,-0.05860618311972924,0.1086697789077984,0.10294016380114729,-0.005773731563848175,0.0013083558258422236,0.033381347723883084,0.04885060712478291,-0.06718660332461793,0.08285457505434284,0.01874682908413633,-0.10316006673777242,-0.16512304046703064,-0.0839967044371766,0.020573649359083512,0.07683530444967163,-0.057114424817940504,-0.00971903727874242,0.015058638172057083,0.014407664366519463,-0.08670112945258751,0.05755594947403414,-0.0016701818516043532,0.013393764960572131,-0.04900565373018207,0.011798690660467017,0.07075259290213375,-0.01252106688673795,0.03812459389243152,0.09114987315817229,0.04707993851779826,0.11156722345719762
TiO2_nominal_nm,0.5402557041104985,-0.04940966452583643,0.18819057860048322,-0.02138609763148892,1.0,0.3978441437121144,0.3132750243303267,-0.36381137633363914,-0.8580512726951522,-0.17554252669098017,0.019789519959278495,0.0675577510882389,-0.012309076170453279,-0.24475821407710213,0.021774424616450058,-0.13968672574591123,0.12907402236338492,0.03472296813205259,-0.17908115370344035,0.10425097041104271,-0.012932255099987612,0.05758256027199869,-0.048420865702390084,-0.09578233367063578,-0.018677370819718098,-0.11017090745307552,0.03412780552754194,0.012099619567207856,-0.029697204195322013,-0.08942603819796867,0.03760488133530741,-0.03174728894236878,-0.034572213065424684,-0.010520809932896518,-0.0729125693776661,0.05702661607488734,0.04960884282971094,0.05967808568581806,0.03066171753643781,0.03697501512388766,-0.053677652742708255,-0.017102162721957415,0.005576764154813326,0.024602359381950507,-0.03175489008915556,0.053868559365707336,-0.017017951121010656,0.054179953237912616,0.07474563986821214,0.06570980035674678,0.05378600414929037,0.04891169053399486,-0.04402201119067669,-0.031842626597363186,0.02005229381920315,0.0239327114945354,0.031108516426615315,-0.02887239935990045
fft_spectral_centroid_um,0.18636440280279984,0.09566420635965331,0.39640519544601494,0.03397185153857931,0.3978441437121144,1.0,0.06923645892303755,-0.3206620200977547,-0.48907892448053614,-0.5371283602391759,0.018282384865809475,0.24054499676328567,-0.08592746798916913,0.48710590234421364,-0.03661420620688206,0.01132262494314949,-0.10320358388985143,0.0038239498148439455,-0.24979358720573266,0.08299046534515218,0.09101571499759926,0.06380090432010287,-0.09655236297879069,0.051085078841195404,0.02549729672976043,0.11871019496412666,0.09159565363466479,-0.02253852701618885,0.07359603478179315,-0.06437192434206869,0.03511677695706631,-0.06503142112264726,-0.03306930524420386,-0.014598016521355887,0.016616178815558616,0.07187840663250487,0.007385245910523891,-0.02737184522314191,-0.001702714739457188,0.0006688650572927186,-0.03623427136632898,0.0061647547616921,0.07262267794451271,0.024657165273477624,0.06024053867732095,0.04066542239055638,0.036694088507291334,0.032176213764245544,-0.011049115144413422,0.03684172608752877,0.054832267877924064,0.05688425622729929,0.0032418216791135893,-0.017440405772522854,-0.047215942140308984,0.0574098791975101,-0.07041533065740344,0.039267057034992676
fringe_visibility_global,0.16928286166149314,-0.00058631967258348,0.03946637058669446,0.04026600860258575,0.3132750243303267,0.06923645892303755,1.0,-0.054488038934848576,-0.24697457077806828,-0.12942733552646535,-0.10333127879526388,0.017690682878375795,0.03472822201785196,-0.1620288195529829,-0.018900330026372637,-0.08237059181987046,0.06841542129882174,-0.008193764319929171,-0.06214715658893361,-0.049289539032899204,-0.02654144060605319,0.017153488073978852,0.008207381519211087,-0.016035625223630397,0.056257630452472014,0.03599240217358878,-0.03665632283821642,0.05285179927515156,-0.04051017174001511,-0.03889116556992315,0.07009221338284838,-0.08868537203859413,-0.0036920704081625753,0.05355640261108691,0.009460684119186442,-0.011358361597613813,0.04275170587812062,0.012195851164699737,-0.040799343569994845,0.010985686357307784,0.011558763364140403,0.045975731981684816,-0.02346596204345066,0.09030696944682631,-0.009778891267651935,0.0619482287193156,-0.07412146108635696,0.004020669874271829,0.0448592449175952,0.04897123247529949,0.09172094462364765,0.022593863888208037,-0.05632391758649547,-0.010921061315295523,-0.01125696970606904,0.013700042908627872,0.026665123612653104,0.004223140373542269
fringe_contrast_std,-0.3219372534759328,0.19695226527139317,-0.3249389375315229,-0.6246323273257258,-0.36381137633363914,-0.3206620200977547,-0.054488038934848576,1.0,0.41588203959137165,0.14235687400789865,-0.14331465129119994,-0.03279369537685484,-0.07449733103660391,-0.01864782130436479,-0.05359956090383058,-0.07911844458111929,0.02736566302551445,-0.06740403169002093,0.1376176635834809,0.1068759962903181,-0.060733173197944475,-0.1295473464232968,0.1925667070887122,-0.2172613668751514,-0.08320734750599171,-0.15079981941726456,0.0005456278256236924,0.006650027482709408,-0.029178437650683373,0.04081140801598645,-0.054141187626686356,-0.01122272628355323,0.05835048647482896,-0.01912724217048032,0.034238179394114554,-0.14532594055257042,-0.03356986100580592,0.044484177938322676,0.0879013769419799,0.017430074521686417,-0.06661165350358976,0.03741269437494667,-0.026010716552755737,-0.056977109327973785,-0.051484561901768915,-0.1297239150833673,0.06485279201554058,-0.03707792827101554,0.00897094086172299,-0.06715124575324469,0.050621164834802605,-0.04419292982437165,0.02568610840925081,0.02077023498958585,-0.04168625186514663,-0.055398124555584745,-0.0410424208843202,-0.007364884623574296
PC1,-0.5870339010003791,-0.031711112998423524,-0.32200420298767113,-0.03724164864155616,-0.8580512726951522,-0.48907892448053614,-0.24697457077806828,0.41588203959137165,1.0,0.03757719847156714,-0.0053224156359489875,-0.002985816396890179,-0.02893252729608216,0.048059974908630135,0.002598006849101135,0.09475109984207071,0.023788651029975665,-0.0947097629122236,0.0676108522167856,0.0015203244244888685,-0.0813486262702689,-0.06258563607733032,0.04453748621148313,-0.04307594408708392,0.001069038232570584,-0.059028505698249176,-0.051964461973855486,0.0019026880752675364,-0.03945581375909226,0.08003729141293706,-0.0455545829378507,0.04607163922591893,0.04605766370312745,0.01722273637645186,0.056131585147899496,-0.07727025878073275,-0.03873945506778688,0.0036761320898392037,0.030113916204996,-0.005032743545884307,0.060247659011429394,0.0007035977781246901,-0.06062725064719189,-0.016725175861173395,0.01170858619585001,-0.0456518048765757,0.031964946973762925,-0.06966187168836199,-0.0495969672741506,-0.07689269211359356,-0.009355310060844906,-0.03690022172866547,0.03231072266896373,0.01265763541163273,-0.02797097331678999,-0.045962155950397744,-0.02099854666950452,-0.017956523924446872
PC2,0.08425965088975942,0.03683644257752598,-0.19577510274707113,-0.10029357467119507,-0.17554252669098017,-0.5371283602391759,-0.12942733552646535,0.14235687400789865,0.03757719847156714,1.0,0.06772684064885678,-0.07649580600960723,-0.057900424751195105,-0.0035129503137938086,-0.00395592241908386,-0.03500867252542904,0.015669165105350012,0.0541792432413222,-0.024993423723333377,0.05014399139321131,-0.037322879876746,-0.09766554029958571,0.05635113825508172,0.015622595883010128,-0.02458604753255515,0.018020133716604072,-0.02164654012926261,0.0068902858390386705,-0.04588590401186958,-0.03358302646195681,-0.010503923256246264,-0.006652046624382886,0.009551223932677584,-0.012713247390069802,-0.025945037762018456,-0.004261475769361692,0.02399000504070935,-0.02948289517335121,-0.01284888990109059,0.007776330815890645,0.04113945485327216,-0.016813200128797494,-0.017586440786465624,-0.03419218558026362,-0.03320775691340428,-0.04234604176315733,0.018065957803046245,0.00469786346411044,0.005546524813552132,-0.02837286388911758,-0.05585938746881082,0.020839632258292107,-0.025441245148384473,0.023484160717982643,0.11618008024072811,-0.03181163205153848,0.031831072410873365,-0.07299416166466596
