sample_id,process_id,nominal_stack_id,nominal_stack_name,split_label,cavity_true_um,L_fft_um,delta_L_nm,H_peak,peak_count,film_HSQ_nominal_nm,film_PSS_nominal_nm,film_SOC_nominal_nm,film_TiO2_nominal_nm,film_HSQ_delta_nm,film_PSS_delta_nm,film_SOC_delta_nm,film_TiO2_delta_nm,film_HSQ_true_nm,film_PSS_true_nm,film_SOC_true_nm,film_TiO2_true_nm
0,0,0,model1,train,1000.0,1000.9562021899527,-956.2021899527053,724.7198711878847,1,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,50.0,20.0
1,0,0,model1,train,1000.01,1000.9749512524995,-964.9512524995316,728.8109969813296,1,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,50.0,20.0
2,0,0,model1,train,1000.02,1000.9749512524995,-954.9512524995407,734.4680063845825,1,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,50.0,20.0
3,0,0,model1,train,1000.03,1000.9937003150465,-963.7003150464807,735.3087536687658,1,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,50.0,20.0
4,1,0,model1,val,1000.0,1000.9562021899527,-956.2021899527053,773.9859055964631,1,40.0,5.0,50.0,20.0,-5.590566156211512,8.812844856480908,-4.702979368660463,9.08090746362345,34.40943384378849,13.812844856480908,45.297020631339535,29.08090746362345
5,1,0,model1,val,1000.01,1000.9749512524995,-964.9512524995316,771.0470761361262,1,40.0,5.0,50.0,20.0,-5.590566156211512,8.812844856480908,-4.702979368660463,9.08090746362345,34.40943384378849,13.812844856480908,45.297020631339535,29.08090746362345
6,1,0,model1,val,1000.02,1000.9749512524995,-954.9512524995407,759.6013634195166,1,40.0,5.0,50.0,20.0,-5.590566156211512,8.812844856480908,-4.702979368660463,9.08090746362345,34.40943384378849,13.812844856480908,45.297020631339535,29.08090746362345
7,1,0,model1,val,1000.03,1000.9937003150465,-963.7003150464807,751.0757205611645,1,40.0,5.0,50.0,20.0,-5.590566156211512,8.812844856480908,-4.702979368660463,9.08090746362345,34.40943384378849,13.812844856480908,45.297020631339535,29.08090746362345
8,2,1,model3_soc60,train,1000.0,1000.9749512524995,-974.9512524995225,721.2894908392291,1,40.0,5.0,60.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,60.0,20.0
9,2,1,model3_soc60,train,1000.01,1000.9937003150465,-983.7003150464625,725.8864785492201,1,40.0,5.0,60.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,60.0,20.0
10,2,1,model3_soc60,train,1000.02,1000.9937003150465,-973.7003150464716,721.4535868036892,1,40.0,5.0,60.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,60.0,20.0
11,2,1,model3_soc60,train,1000.03,1001.0124493775933,-982.4493775932979,715.0020644754535,1,40.0,5.0,60.0,20.0,0.0,0.0,0.0,0.0,40.0,5.0,60.0,20.0
12,3,1,model3_soc60,test,1000.0,1000.9749512524995,-974.9512524995225,745.2866006539657,1,40.0,5.0,60.0,20.0,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,41.17735494517291,13.8164650874577,55.20171529606182,26.31561994673139
13,3,1,model3_soc60,test,1000.01,1000.9749512524995,-964.9512524995316,734.2076623545375,1,40.0,5.0,60.0,20.0,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,41.17735494517291,13.8164650874577,55.20171529606182,26.31561994673139
14,3,1,model3_soc60,test,1000.02,1000.9937003150465,-973.7003150464716,730.029898951773,1,40.0,5.0,60.0,20.0,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,41.17735494517291,13.8164650874577,55.20171529606182,26.31561994673139
15,3,1,model3_soc60,test,1000.03,1000.9937003150465,-963.7003150464807,732.4066325921771,1,40.0,5.0,60.0,20.0,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,41.17735494517291,13.8164650874577,55.20171529606182,26.31561994673139
