sample_index,cavity_um,cavity_offset_nm,mae,rmse,mean_signed_error,max_abs_error,max_abs_error_wavelength_nm,pearson_correlation,one_minus_correlation
0,999.0797409841753,-920.2590158247403,7.24236908564827e-13,1.4662250379358996e-12,6.240004145288607e-15,1.4519330182594103e-11,200.32,1.0,0.0
1,999.1452502670116,-854.7497329883527,7.843183007352111e-13,1.5579129976025506e-12,-1.4042891727717203e-14,1.568620233705076e-11,264.5,1.0,0.0
2,999.2584331549313,-741.5668450687463,7.616189682093488e-13,1.5332655558698393e-12,-4.008633504249233e-15,1.5862686164602735e-11,200.6,0.9999999999999998,2.220446049250313e-16
3,999.2806327689435,-719.3672310564807,7.49658409370686e-13,1.5085405882790293e-12,2.389811836453711e-15,1.6296963778472673e-11,200.04000000000002,1.0,0.0
4,999.3555481063921,-644.4518936078794,9.839277218916109e-13,1.8476329879609714e-12,1.7883996411523234e-14,1.596234255885065e-11,246.38000000000002,0.9999999999999998,2.220446049250313e-16
5,999.4242380995805,-575.7619004194794,6.939319534340645e-13,1.4003313208507248e-12,-1.4687002734650345e-14,1.302835617167375e-11,230.18,0.9999999999999993,6.661338147750939e-16
6,999.4431765962482,-556.8234037517641,8.073561023287006e-13,1.608013945808752e-12,-7.904438155046917e-15,1.568536966978229e-11,262.88,1.0,0.0
7,999.4708476833317,-529.1523166682737,7.433976997959007e-13,1.4942392671678102e-12,-2.749083032800214e-15,1.2766843138223294e-11,218.74,0.9999999999999996,4.440892098500626e-16
8,999.6700205171161,-329.979482883914,7.293591974184106e-13,1.4760470447310474e-12,5.884622265395569e-15,1.2956274941799961e-11,231.78,0.9999999999999991,8.881784197001252e-16
9,999.8531495270156,-146.85047298439713,9.659061904997284e-13,1.838164390069169e-12,1.0744614458809895e-15,1.873187716050495e-11,240.20000000000002,1.0,0.0
10,999.8535119293254,-146.48807067464986,8.066607986103716e-13,1.5946890024769566e-12,6.812129875985703e-16,1.3724146818994143e-11,259.54,0.9999999999999998,2.220446049250313e-16
11,999.9151071391601,-84.89286083988645,8.838434414368208e-13,1.7342441490476007e-12,1.8957027209312365e-14,1.88477566887002e-11,231.76000000000002,1.0,0.0
12,999.9648116148873,-35.1883851127468,7.767279977813825e-13,1.5506184151929947e-12,-1.4388951338065718e-14,1.661903947791643e-11,200.32,1.0,0.0
13,999.9783343647448,-21.665635255203597,9.005962589865339e-13,1.7472197016466958e-12,-2.3414825736141265e-14,2.2866653015540805e-11,200.32,1.0,0.0
14,1000.0713485171973,71.3485171972934,7.013575193187602e-13,1.4295045275202021e-12,-9.916186421479159e-15,1.30506438988931e-11,226.14000000000001,0.9999999999999998,2.220446049250313e-16
15,1000.1468854969752,146.88549697518738,7.505628217103821e-13,1.5192508115998337e-12,2.6031952490968296e-14,1.3036682844358438e-11,228.48000000000002,0.9999999999999996,4.440892098500626e-16
16,1000.1986087207276,198.60872072763414,7.221030798267806e-13,1.461255436530858e-12,3.901126324570032e-15,1.3033130130679638e-11,269.3,1.0,0.0
17,1000.225705597924,225.70559792404765,7.075251334858801e-13,1.4414506033034748e-12,-1.1828165278077742e-14,1.2845335906064292e-11,228.42000000000002,0.9999999999999996,4.440892098500626e-16
18,1000.3158736195162,315.8736195161964,8.495946292174073e-13,1.6735627048362144e-12,6.739999719975139e-15,1.9197365919154663e-11,233.72,1.0,0.0
19,1000.3882392892104,388.23928921044626,7.580173413276585e-13,1.5176804619739308e-12,4.844156773516599e-15,1.751956912876551e-11,226.16,0.9999999999999996,4.440892098500626e-16
20,1000.6482611730238,648.2611730237977,8.886477964566281e-13,1.7160598691518801e-12,2.2690082904056513e-15,1.5755619031665447e-11,263.44,1.0,0.0
21,1000.7359196522012,735.9196522012326,1.0948253887359927e-12,2.0055437303951855e-12,-1.509271350631588e-15,1.8696627579473102e-11,210.3,1.0,0.0
22,1000.744012963608,744.0129636080428,7.193372173471601e-13,1.4592583641373754e-12,4.483746861666352e-15,1.2936984816747099e-11,219.76000000000002,1.0,0.0
23,1000.7489513515189,748.9513515189401,7.564876116211247e-13,1.526409468947391e-12,5.803114195607377e-15,1.8034462812011043e-11,239.52,0.9999999999999998,2.220446049250313e-16
24,1000.8311911010842,831.1911010841868,8.787276886875438e-13,1.7130594946165172e-12,-9.574429185248438e-15,1.4709955475922243e-11,263.94,0.9999999999999996,4.440892098500626e-16
25,1000.8801275763541,880.1275763540843,1.1797031101607584e-12,2.1335059216331083e-12,-6.575734760182863e-15,1.9000495621313007e-11,211.82000000000002,1.0,0.0
26,1000.9163689627919,916.3689627919211,7.967552917549409e-13,1.585695846507737e-12,9.045684560204443e-15,1.678490679779543e-11,254.96,0.9999999999999996,4.440892098500626e-16
27,1000.931612714402,931.6127144020356,7.011256642207846e-13,1.4220054623282852e-12,-3.972965192044132e-15,1.3574530388638095e-11,267.92,1.0,0.0
28,1000.95335388458,953.3538845799967,7.496118777186803e-13,1.5067429566575248e-12,-6.418229757366836e-15,1.338978927734047e-11,267.92,0.9999999999999993,6.661338147750939e-16
29,1000.9590242267778,959.0242267778422,1.1589140759195155e-12,2.1097971041070447e-12,-3.5474292394124204e-15,1.9670653994552367e-11,267.92,1.0,0.0
