sample_index,cavity_um,cavity_offset_nm,mae,rmse,mean_signed_error,max_abs_error,max_abs_error_wavelength_nm,pearson_correlation,one_minus_correlation
0,999.9950615582972,-4.93844170284774,6.986046662340472e-13,1.4317343319557742e-12,1.3241144594691138e-14,1.2874673549490012e-11,220.7610380519026,1.0,0.0
1,999.9952447174185,-4.755282581527354,7.104874316111852e-13,1.440230303331464e-12,9.3329232000685e-15,1.422129081163348e-11,258.90294514725736,1.0,0.0
2,999.995544967379,-4.4550326209673585,8.924234449527648e-13,1.7178728495478526e-12,1.547584369258648e-14,1.7225221249361766e-11,251.96259812990652,0.9999999999999996,4.440892098500626e-16
3,999.9970610737386,-2.9389262614358813,7.884787594719133e-13,1.5416244308593213e-12,1.2240620059134792e-14,1.2975898133760211e-11,223.02115105755288,1.0,0.0
4,999.9977300475012,-2.269952498750172,7.211852201110944e-13,1.454427081884374e-12,9.980378790457587e-15,1.3034351376006725e-11,226.02130106505325,1.0,0.0
5,999.9990000000001,-0.9999999998626663,7.161347914831352e-13,1.4452120669578464e-12,1.2797380270765444e-14,1.407080008064554e-11,259.58297914895746,1.0,0.0
6,999.9990489434837,-0.9510565163282081,8.375974351936347e-13,1.6323166196701455e-12,1.3938752317757585e-14,1.2933598636521992e-11,221.20106005300266,1.0,0.0
7,999.9991089934758,-0.8910065241707343,7.395386108051882e-13,1.5014014295827545e-12,1.8829677847866967e-14,1.6083412379686024e-11,258.54292714635733,1.0,0.0
8,999.9991909830055,-0.8090169944807712,7.716413340870705e-13,1.546068864423568e-12,2.2508118502698183e-14,1.2935930104873705e-11,218.52092604630232,1.0,0.0
9,999.9992178276749,-0.7821723251026924,9.10763958792294e-13,1.7319242590846159e-12,1.4083374061130832e-14,1.649802516823229e-11,243.62218110905548,0.9999999999999996,4.440892098500626e-16
10,999.9992928932189,-0.707106781078437,6.922788976362134e-13,1.4193849066250088e-12,1.5955095573991652e-14,1.3047063429638683e-11,225.08125406270315,1.0,0.0
11,999.9994122147477,-0.5877852522644389,7.030772662387731e-13,1.4418358709466913e-12,1.6346176335787535e-14,1.2992246167797816e-11,232.10160508025402,1.0,0.0
12,999.9995460095004,-0.4539904996363475,9.28617674298077e-13,1.7700436939218677e-12,1.230815505396353e-14,1.7249091044391207e-11,221.74108705435273,1.0,0.0
13,999.9996909830057,-0.309016994265221,7.815646932822517e-13,1.5423255754400393e-12,7.284264059721334e-15,1.3008066845898725e-11,225.08125406270315,1.0,0.0
14,999.999843565535,-0.15643446499780111,7.387971834057051e-13,1.4734685233202627e-12,5.215948015163804e-15,1.2975370777823514e-11,225.08125406270315,1.0,0.0
15,1000.0,0.0,7.055606450211994e-13,1.4354938471078072e-12,1.6525090084702375e-14,1.2931683501804514e-11,225.08125406270315,1.0,0.0
16,1000.000156434465,0.15643446499780111,7.2853007638369e-13,1.4575803608163085e-12,4.295083779197635e-15,1.4914680601663122e-11,259.58297914895746,0.9999999999999996,4.440892098500626e-16
17,1000.0004539904998,0.45399049975003436,7.334588432841903e-13,1.4889889171853516e-12,1.3987603285516405e-14,1.2752021660844548e-11,213.94069703485175,1.0,0.0
18,1000.0005877852524,0.5877852523781257,7.007703362638297e-13,1.4294458787117082e-12,1.2854655501262938e-15,1.5206780279442e-11,259.58297914895746,1.0,0.0
19,1000.0007071067811,0.707106781078437,1.0982247920259854e-12,2.0094816924125394e-12,1.293979114430513e-14,1.727840093224131e-11,252.1226061303065,0.9999999999999998,2.220446049250313e-16
20,1000.0008090169945,0.8090169944807712,7.794737038433296e-13,1.5568093289477469e-12,1.0952345205654317e-14,1.6728229912388315e-11,258.54292714635733,0.9999999999999996,4.440892098500626e-16
21,1000.0008910065242,0.8910065241707343,7.536899796294457e-13,1.5111923844468431e-12,4.2260545137260765e-15,1.628541745901657e-11,257.8428921446073,0.9999999999999998,2.220446049250313e-16
22,1000.0009510565163,0.9510565163282081,7.971683204289578e-13,1.582872157753093e-12,1.140555616650703e-14,1.2803480498035924e-11,237.10185509275468,1.0,0.0
23,1000.001,0.9999999999763531,9.717547654143539e-13,1.8277420524397466e-12,1.5970434014212832e-14,1.8575835314393885e-11,232.10160508025402,1.0,0.0
24,1000.0022699524988,2.269952498750172,7.175925021588676e-13,1.4600338195035704e-12,1.773299029522008e-14,1.2946477223607644e-11,221.74108705435273,1.0,0.0
25,1000.0029389262614,2.9389262614358813,8.533773791894079e-13,1.6799756176904456e-12,6.099605120036406e-15,1.8735263340730057e-11,219.26096304815243,1.0,0.0
26,1000.0035355339061,3.5355339060743063,6.99410068331533e-13,1.4392974530957304e-12,3.6199582170530745e-15,1.285602180267631e-11,234.00170008500427,1.0,0.0
27,1000.0047552825815,4.755282581527354,7.351239984075219e-13,1.49827370848511e-12,1.7506417841285964e-14,1.2990719611138957e-11,230.84154207710387,0.9999999999999993,6.661338147750939e-16
28,1000.0049384417028,4.93844170284774,7.187713623645281e-13,1.4643836119797215e-12,1.0820003907056029e-14,1.2899570300817231e-11,219.26096304815243,1.0,0.0
29,1000.005,4.9999999999954525,7.161819689201275e-13,1.4681412178046276e-12,1.1525599562473097e-14,1.288624762452173e-11,219.26096304815243,0.9999999999999998,2.220446049250313e-16
