mode,rank,success,cost,rmse_normalized,nfev,optimality,message,fit_Air_um,fit_HSQ_nm,fit_PSS_nm,fit_SOC_nm,fit_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,1306.409338,1.700788454,67,4.342818759,`ftol` termination condition is satisfied.,1000.161361,51.80602748,20,80,60,1000.274004,38.57702297,5.254641073,78.49853388,45.71396071
I,2,True,1617.210122,1.915523783,41,13.36045212,`ftol` termination condition is satisfied.,999.7250306,20,1,54.35551484,48.61764738,999.6691877,23.03046394,6.590429595,78.28904464,54.90443155
I,3,True,1684.619329,1.968394326,72,3.741819809,`ftol` termination condition is satisfied.,996.0604404,60,1,74.69389784,44.31624325,996.1296265,41.11892133,6.430564476,61.03444742,28.96012756
I,4,True,1699.015939,1.990996972,141,56.51592243,`ftol` termination condition is satisfied.,997.0213579,20,1,79.39473383,48.23276491,997.0690192,58.11752851,1.217001572,33.3008591,16.17138414
I,5,True,1709.191858,1.995798063,103,2.806081649,`ftol` termination condition is satisfied.,999.9813955,32.40981316,1,80,5,1000,40,5,50,20
I,6,True,1724.049828,2.009155232,66,81.39534888,`ftol` termination condition is satisfied.,995.2206006,36.88245051,1,78.26156494,46.66100492,995.2252928,29.74442059,2.954665816,72.46046196,41.19422433
I,7,True,1738.760179,2.018217094,33,126.4214272,`xtol` termination condition is satisfied.,996.0539163,38.29850401,1,50.87691476,46.31839374,996.023656,49.68659259,17.34402784,45.93876653,44.59810951
I,8,True,1766.023267,2.02127077,60,32.08554949,`ftol` termination condition is satisfied.,999.0415456,41.52259075,1,30,49.33142733,999.0180943,22.9883942,12.95115567,56.08070956,44.58059786
D,1,True,1471.441256,2.034703787,33,19.66496632,`ftol` termination condition is satisfied.,1000.632871,20,1,57.19343743,5,1000.646984,35.81043545,1.690012644,39.71616182,7.741064178
D,2,True,1471.44126,2.034703427,47,23.41511799,`ftol` termination condition is satisfied.,1000.632871,20,1,57.19347642,5,1000.650689,34.68150768,19.78992125,33.00130597,5.179889706
D,3,True,1745.075079,2.030827691,55,11.62375737,`ftol` termination condition is satisfied.,999.5938284,20,1,38.03113434,44.2479977,999.5670851,43.05828995,6.844963715,31.12945575,45.22546515
D,4,True,1809.813548,2.095906866,53,3.360573765,`ftol` termination condition is satisfied.,1002.256365,20,1,30,43.18800406,1002.240379,22.23282133,5.983901458,44.23134145,40.01178647
D,5,True,1830.407137,2.1172237,66,30.65398999,`ftol` termination condition is satisfied.,1004.721079,20,1,47.82407724,46.77387797,1004.710173,22.89966757,1.144089906,59.54967348,42.57546042
D,6,True,1834.220108,2.125405853,65,316.7843626,`xtol` termination condition is satisfied.,999.9884115,20,1,55.12812397,37.71359836,1000,40,5,50,20
D,7,True,1834.993611,2.152828596,135,8.358641519,`ftol` termination condition is satisfied.,997.113608,60,1,45.14623489,50.67535732,997.106998,22.66705745,9.089849545,72.96544817,54.42426654
D,8,True,2063.572699,2.367501312,46,1.510122915,`xtol` termination condition is satisfied.,1004.070634,56.3583408,20,36.75761515,13.86566853,1004.079008,55.84694645,14.34803005,42.87280599,11.15076652
joint,1,False,3337.820173,2.014041437,160,425.2317466,The maximum number of function evaluations is exceeded.,999.9762816,20,1,52.37022651,51.90485767,1000,40,5,50,20
joint,2,True,3443.609852,2.026303488,53,5.954036366,`ftol` termination condition is satisfied.,998.6082179,20,1,37.8601659,47.35532768,998.5361871,29.30622971,12.29399658,61.2472832,49.31928014
joint,3,True,3539.625323,2.074191744,60,1.766165814,`ftol` termination condition is satisfied.,995.4906697,20,1,37.90484378,47.93217933,995.5078355,33.71858505,18.6315374,41.85296394,23.09841319
joint,4,True,3572.070901,2.044167907,101,6.310858756,`ftol` termination condition is satisfied.,995.3322964,20.00461226,1,41.40164319,46.52972513,995.3053219,24.93977969,12.66627665,79.1736409,27.20946028
joint,5,True,3615.413585,2.095843308,59,135.8508203,`ftol` termination condition is satisfied.,1004.889052,20.00001362,1,55.04301599,52.48265024,1004.851034,30.38337225,4.154781352,70.51584521,55.3325775
joint,6,True,3758.41516,2.169895828,94,18.93198002,`ftol` termination condition is satisfied.,998.364862,55.42557226,1,70.13150731,55.43416657,998.3519047,40.07773257,14.42233785,76.60169377,59.76999918
joint,7,True,3807.681477,2.184225283,140,89.35052019,`ftol` termination condition is satisfied.,1001.47262,20,1,47.81119144,5,1001.387135,53.20426621,19.46105534,53.81156626,11.46464676
joint,8,True,3813.791494,2.19417906,52,9.526808363,`ftol` termination condition is satisfied.,996.9481204,20.0006409,1,68.92240475,5,996.9300307,26.43355849,3.627494491,59.07718408,15.59691895
