mode,rank,success,cost,rmse_normalized,nfev,optimality,message,fit_Air_um,fit_HSQ_nm,fit_PSS_nm,fit_SOC_nm,fit_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,0.002237055834,0.001574418902,4,0.0009446119502,`xtol` termination condition is satisfied.,1000.000003,40.03315877,5.025915372,49.97524093,19.98662487,1000,40,5,50,20
I,2,True,905.8871784,1.368880161,37,3.03040447,`ftol` termination condition is satisfied.,999.6569749,20,8.324023582,67.91761492,56.23681061,999.6691877,23.03046394,6.590429595,78.28904464,54.90443155
I,3,True,1659.638755,1.94666501,132,1.361215083,`ftol` termination condition is satisfied.,995.2649847,27.71705603,20,65.19415967,15.56564482,995.2252928,29.74442059,2.954665816,72.46046196,41.19422433
I,4,True,1689.052953,1.958488394,35,90.31364164,`xtol` termination condition is satisfied.,996.1559637,20.54130532,20,72.92922022,16.03576293,996.1296265,41.11892133,6.430564476,61.03444742,28.96012756
I,5,True,1704.239602,1.949027086,157,4.409659127,`ftol` termination condition is satisfied.,996.002563,60,20,80,19.0127524,996.023656,49.68659259,17.34402784,45.93876653,44.59810951
I,6,True,1737.138293,1.988916061,37,3.489696552,`ftol` termination condition is satisfied.,997.0762304,47.58124771,20,30,14.34255594,997.0690192,58.11752851,1.217001572,33.3008591,16.17138414
I,7,True,1765.06323,2.01879479,42,5.702625794,`ftol` termination condition is satisfied.,999.0357438,22.63767504,20,80,15.69400145,999.0180943,22.9883942,12.95115567,56.08070956,44.58059786
I,8,False,1129.833467,1.495724578,160,111.6439025,The maximum number of function evaluations is exceeded.,1000.235359,20.00000098,8.556188042,79.99996321,17.78247012,1000.274004,38.57702297,5.254641073,78.49853388,45.71396071
D,1,True,0.0003004606264,0.0005769963117,4,1.258052248e-05,`xtol` termination condition is satisfied.,999.9999984,39.97902087,4.936314242,50.048727,20.01344163,1000,40,5,50,20
D,2,True,1652.056833,1.966578221,76,4.532381797,`ftol` termination condition is satisfied.,1002.229903,28.67975762,20,68.45640401,15.15210757,1002.240379,22.23282133,5.983901458,44.23134145,40.01178647
D,3,True,1654.640501,2.017406165,52,24.70279092,`ftol` termination condition is satisfied.,1000.666581,20,1,30,11.08428931,1000.646984,35.81043545,1.690012644,39.71616182,7.741064178
D,4,True,1673.846712,1.964655252,114,29.94276455,`ftol` termination condition is satisfied.,1004.114858,23.09882811,19.99999998,30,14.43836485,1004.079008,55.84694645,14.34803005,42.87280599,11.15076652
D,5,True,1677.293352,1.966583643,66,38.60123965,`ftol` termination condition is satisfied.,1004.681615,46.07457527,20,74.98538318,15.41436065,1004.710173,22.89966757,1.144089906,59.54967348,42.57546042
D,6,True,1712.130098,1.98211754,60,48.85208374,`xtol` termination condition is satisfied.,1000.62482,32.80661433,19.99997075,30,15.23774287,1000.650689,34.68150768,19.78992125,33.00130597,5.179889706
D,7,True,1815.939892,2.137490742,39,0.6901701946,`ftol` termination condition is satisfied.,997.0917325,20,20,79.1861288,51.92790353,997.106998,22.66705745,9.089849545,72.96544817,54.42426654
D,8,True,1838.607986,2.129175065,90,2.690985199,`ftol` termination condition is satisfied.,999.522553,20,20,48.7444828,60,999.5670851,43.05828995,6.844963715,31.12945575,45.22546515
joint,1,True,0.003404469506,0.00137433051,4,5.358249696e-05,Both `ftol` and `xtol` termination conditions are satisfied.,999.9999993,39.99120672,4.958520089,50.03110889,20.00706326,1000,40,5,50,20
joint,2,True,3260.38158,1.917498404,96,37.65298852,`ftol` termination condition is satisfied.,995.3011354,59.9999999,20,80,17.00277741,995.3053219,24.93977969,12.66627665,79.1736409,27.20946028
joint,3,True,3267.876608,1.927466917,56,111.1273726,`xtol` termination condition is satisfied.,1001.356266,53.99623918,20,63.85259366,15.50413164,1001.387135,53.20426621,19.46105534,53.81156626,11.46464676
joint,4,True,3403.277485,1.994318663,74,3.178011016,`ftol` termination condition is satisfied.,995.5087002,21.33464115,20,62.10243482,15.71624952,995.5078355,33.71858505,18.6315374,41.85296394,23.09841319
joint,5,True,3643.960971,2.098567247,60,578.8457793,`xtol` termination condition is satisfied.,998.5414746,20.00000101,19.99999975,60.38508883,50.81994226,998.5361871,29.30622971,12.29399658,61.2472832,49.31928014
joint,6,True,3648.314483,2.08779456,30,2.577088232,`xtol` termination condition is satisfied.,1004.85596,20,20,60.39477632,57.09982863,1004.851034,30.38337225,4.154781352,70.51584521,55.3325775
joint,7,True,3758.450946,2.125568754,134,410.5715445,`xtol` termination condition is satisfied.,998.3565832,21.80413189,20,79.99999965,60,998.3519047,40.07773257,14.42233785,76.60169377,59.76999918
joint,8,False,3343.609059,1.974046694,160,199.6062178,The maximum number of function evaluations is exceeded.,996.9442156,44.07362902,20,30,14.66969745,996.9300307,26.43355849,3.627494491,59.07718408,15.59691895
