mode,rank,start_label,start_order,parameter,unit,truth,initial,fit,signed_error,absolute_error
I,1,真值起点,0,Air,um,1000,1000,1000.000114,0.0001140000001,0.0001140000001
I,1,真值起点,0,HSQ,nm,30,30,30.06955217,0.06955217,0.06955217
I,1,真值起点,0,PSS,nm,10,10,11.3748562,1.3748562,1.3748562
I,1,真值起点,0,SOC,nm,40,40,38.89692642,-1.10307358,1.10307358
I,1,真值起点,0,TiO2,nm,40,40,39.76959745,-0.23040255,0.23040255
I,2,其他起点1,1,Air,um,1000,1000.109602,1000.115176,0.115176,0.115176
I,2,其他起点1,1,HSQ,nm,30,29.28851148,40,10,10
I,2,其他起点1,1,PSS,nm,10,5.254641073,20,10,10
I,2,其他起点1,1,SOC,nm,40,49.39941355,50,10,10
I,2,其他起点1,1,TiO2,nm,40,44.80507662,50,10,10
I,3,其他起点2,2,Air,um,1000,999.6072377,999.4868567,-0.5131433,0.5131433
I,3,其他起点2,2,HSQ,nm,30,21.4941971,40,10,10
I,3,其他起点2,2,PSS,nm,10,12.95115567,20,10,10
I,3,其他起点2,2,SOC,nm,40,40.43228383,50,10,10
I,3,其他起点2,2,TiO2,nm,40,44.39294468,37.61925937,-2.38074063,2.38074063
I,4,其他起点3,3,Air,um,1000,998.0901171,998.0657171,-1.9342829,1.9342829
I,4,其他起点3,3,HSQ,nm,30,24.8722103,40,10,10
I,4,其他起点3,3,PSS,nm,10,2.954665816,20,10,10
I,4,其他起点3,3,SOC,nm,40,46.98418479,50,10,10
I,4,其他起点3,3,TiO2,nm,40,43.16153612,30.60121414,-9.39878586,9.39878586
I,5,其他起点4,4,Air,um,1000,998.8276077,998.846112,-1.153888,1.153888
I,5,其他起点4,4,HSQ,nm,30,39.05876425,20,-10,10
I,5,其他起点4,4,PSS,nm,10,1.217001572,5.773113397,-4.226886603,4.226886603
I,5,其他起点4,4,SOC,nm,40,31.32034364,50,10,10
I,5,其他起点4,4,TiO2,nm,40,34.0623215,40.3561489,0.3561489,0.3561489
I,6,其他起点5,5,Air,um,1000,999.8676751,999.8816172,-0.1183828,0.1183828
I,6,其他起点5,5,HSQ,nm,30,21.51523197,20,-10,10
I,6,其他起点5,5,PSS,nm,10,6.590429595,1,-9,9
I,6,其他起点5,5,SOC,nm,40,49.31561786,30,-10,10
I,6,其他起点5,5,TiO2,nm,40,48.14706602,50,10,10
I,7,其他起点6,6,Air,um,1000,998.4094624,998.4207188,-1.5792812,1.5792812
I,7,其他起点6,6,HSQ,nm,30,34.84329629,32.58894068,2.58894068,2.58894068
I,7,其他起点6,6,PSS,nm,10,17.34402784,20,10,10
I,7,其他起点6,6,SOC,nm,40,36.37550661,50,10,10
I,7,其他起点6,6,TiO2,nm,40,44.39931255,34.6675589,-5.3324411,5.3324411
I,8,其他起点7,7,Air,um,1000,998.4518506,998.4207214,-1.5792786,1.5792786
I,8,其他起点7,7,HSQ,nm,30,30.55946066,32.5578608,2.5578608,2.5578608
I,8,其他起点7,7,PSS,nm,10,6.430564476,20,10,10
I,8,其他起点7,7,SOC,nm,40,42.41377897,50,10,10
I,8,其他起点7,7,TiO2,nm,40,38.71277366,34.69797889,-5.30202111,5.30202111
D,1,真值起点,0,Air,um,1000,1000,1000.001159,0.001159,0.001159
D,1,真值起点,0,HSQ,nm,30,30,28.81997161,-1.18002839,1.18002839
D,1,真值起点,0,PSS,nm,10,10,16.74459813,6.74459813,6.74459813
D,1,真值起点,0,SOC,nm,40,40,34.63581346,-5.36418654,5.36418654
D,1,真值起点,0,TiO2,nm,40,40,39.60650495,-0.39349505,0.39349505
D,2,其他起点1,1,Air,um,1000,1000.260276,1000.254804,0.254804,0.254804
D,2,其他起点1,1,HSQ,nm,30,27.34075384,20,-10,10
D,2,其他起点1,1,PSS,nm,10,19.78992125,11.96549489,1.96549489,1.96549489
D,2,其他起点1,1,SOC,nm,40,31.20052239,49.99962387,9.99962387,9.99962387
D,2,其他起点1,1,TiO2,nm,40,30.06541444,30,-10,10
D,3,其他起点2,2,Air,um,1000,1000.258794,1000.262097,0.262097,0.262097
D,3,其他起点2,2,HSQ,nm,30,27.90521772,20,-10,10
D,3,其他起点2,2,PSS,nm,10,1.690012644,12.59783299,2.59783299,2.59783299
D,3,其他起点2,2,SOC,nm,40,33.88646473,30.00001408,-9.99998592,9.99998592
D,3,其他起点2,2,TiO2,nm,40,30.99675061,30,-10,10
D,4,其他起点3,3,Air,um,1000,999.8268341,999.8230798,-0.1769202,0.1769202
D,4,其他起点3,3,HSQ,nm,30,31.52914497,22.36760823,-7.63239177,7.63239177
D,4,其他起点3,3,PSS,nm,10,6.844963715,19.99999906,9.99999906,9.99999906
D,4,其他起点3,3,SOC,nm,40,30.4517823,50,10,10
D,4,其他起点3,3,TiO2,nm,40,44.62744187,30.00000008,-9.99999992,9.99999992
D,5,其他起点4,4,Air,um,1000,1001.631603,1001.608466,1.608466,1.608466
D,5,其他起点4,4,HSQ,nm,30,37.92347322,34.7814194,4.7814194,4.7814194
D,5,其他起点4,4,PSS,nm,10,14.34803005,20,10,10
D,5,其他起点4,4,SOC,nm,40,35.1491224,49.99919564,9.99919564,9.99919564
D,5,其他起点4,4,TiO2,nm,40,32.23664237,30,-10,10
D,6,其他起点5,5,Air,um,1000,1000.896151,1000.89545,0.89545,0.89545
