mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,1698.670485,732.2599334,1.373831012,8,25.65455966,`xtol` termination condition is satisfied.,8,0.8016598301,0,0.9037381626,999.8909473,-0.1090526737,20.00000001,-9.999999986,1.000000001,-8.999999999,30.00000004,-9.99999996,33.94615304,-6.053846961,999.8875625,20.29518423,1.313485245,30.07749851,34.82470467
I,2,True,1698.674271,732.259915,1.373832543,10,23.86948183,`xtol` termination condition is satisfied.,30,0.8079261568,2.977485712e-05,0.9037281962,999.8909463,-0.109053701,20.00000001,-9.999999991,1,-9,30.00000013,-9.999999871,33.94674851,-6.053251486,999.8844921,20.18312689,1.257611936,30.1897587,35.78049214
I,3,True,1698.687483,732.2599351,1.373837886,8,6.709361948,`ftol` termination condition is satisfied.,26,0.8067859792,2.11927385e-05,0.9037310584,999.8909484,-0.1090515693,20,-10,1,-9,30,-10,33.94657686,-6.053423143,999.8917621,20.21638803,1.14789055,30.60913229,32.75011154
I,4,True,1698.688009,732.259935,1.373838098,9,6.178307142,`ftol` termination condition is satisfied.,10,0.8024130095,2.241638186e-05,0.9037306485,999.8909484,-0.109051564,20,-10,1,-9,30,-10,33.94660133,-6.053398668,999.8879561,20.14822946,1.312551366,30.04429896,34.10501355
I,5,True,1698.688325,732.2599349,1.373838227,11,5.860294742,`ftol` termination condition is satisfied.,18,0.8047745043,2.316752983e-05,0.9037303969,999.8909484,-0.1090515616,20,-10,1,-9,30,-10,33.94661636,-6.053383644,999.8914915,20.29035717,1.03170407,30.06417914,32.32125261
I,6,True,1698.688411,732.2599349,1.373838261,10,5.773852414,`ftol` termination condition is satisfied.,5,0.8007747217,2.336975786e-05,0.9037303292,999.8909484,-0.1090515609,20,-10,1,-9,30,-10,33.9466204,-6.053379599,999.8898589,20.21212231,1.100062915,30.01177435,33.2176963
I,7,True,1698.688547,732.2599349,1.373838316,9,5.636784203,`ftol` termination condition is satisfied.,7,0.8016345587,2.36774255e-05,0.9037302261,999.8909484,-0.1090515592,20,-10,1,-9,30,-10,33.94662655,-6.053373446,999.8876061,20.18937351,1.176967155,30.056207,34.31063214
I,8,True,1698.689347,732.2599347,1.37383864,8,4.83378855,`ftol` termination condition is satisfied.,13,0.8040321465,2.558847129e-05,0.903729586,999.8909484,-0.1090515536,20,-10,1,-9,30,-10,33.94666478,-6.053335223,999.8902759,20.57152212,1.137462131,30.24218296,33.3919317
I,9,True,1698.68959,732.2599347,1.373838738,9,4.587636531,`ftol` termination condition is satisfied.,6,0.8010934154,2.614351434e-05,0.9037294001,999.8909484,-0.1090515507,20,-10,1,-9,30,-10,33.94667588,-6.053324121,999.8906438,20.31441918,1.182481052,30.1924142,33.29249959
I,10,True,1698.689925,732.2599347,1.373838873,9,4.249307389,`ftol` termination condition is satisfied.,16,0.8046629394,2.691665654e-05,0.9037291411,999.8909485,-0.109051547,20,-10,1,-9,30,-10,33.94669134,-6.053308658,999.88786,20.23054251,1.15851041,30.21383297,34.04477008
I,11,True,1698.690289,732.2599347,1.37383902,11,3.884006187,`ftol` termination condition is satisfied.,3,0.7990925117,2.778045824e-05,0.9037288518,999.8909485,-0.1090515443,20,-10,1,-9,30,-10,33.94670862,-6.053291381,999.893533,20.01476999,1.000442665,30.08380144,31.83292309
I,12,True,1698.690738,732.2599346,1.373839202,10,3.432381807,`ftol` termination condition is satisfied.,31,0.808013263,2.883728745e-05,0.9037284978,999.8909485,-0.1090515404,20,-10,1,-9,30,-10,33.94672976,-6.053270243,999.8902555,20.37633934,1.076770143,30.28182466,32.75803631
I,13,True,1698.691052,732.2599346,1.373839329,8,3.118017214,`ftol` termination condition is satisfied.,14,0.8042414779,2.959049356e-05,0.9037282456,999.8909485,-0.1090515385,20,-10,1,-9,30,-10,33.94674482,-6.053255179,999.8916181,20.05266684,1.532736484,30.22061722,33.00940301
I,14,True,1698.691066,732.2599346,1.373839335,10,3.101749974,`ftol` termination condition is satisfied.,22,0.8055676424,2.96046731e-05,0.9037282408,999.8909485,-0.1090515373,20,-10,1,-9,30,-10,33.9467451,-6.053254895,999.888377,20.54598694,1.414558348,30.06910588,33.89940606
I,15,True,1698.691137,732.2599346,1.373839363,12,3.030513643,`ftol` termination condition is satisfied.,9,0.8017022232,2.977595892e-05,0.9037281834,999.8909485,-0.1090515369,20,-10,1,-9,30,-10,33.94674853,-6.053251469,999.8918908,20.00126889,1.321130974,30.27774116,32.65143657
I,16,True,1698.691168,732.2599346,1.373839376,10,2.999151791,`ftol` termination condition is satisfied.,2,0.7981878256,2.984335439e-05,0.9037281609,999.8909485,-0.1090515364,20,-10,1,-9,30,-10,33.94674988,-6.053250121,999.8897436,20.27443826,1.048201075,30.05728093,33.51576825
I,17,True,1698.691247,732.2599347,1.373839408,7,2.916302826,`ftol` termination condition is satisfied.,27,0.8074858513,2.999860816e-05,0.9037281088,999.8909485,-0.1090515341,20,-10,1,-9,30,-10,33.94675298,-6.053247016,999.8891301,20.26934461,1.73010774,30.20097041,33.84743593
I,18,True,1698.691351,732.2599346,1.37383945,10,2.814067644,`ftol` termination condition is satisfied.,1,0.7972002053,3.027032255e-05,0.9037280178,999.8909485,-0.1090515346,20,-10,1,-9,30,-10,33.94675842,-6.053241582,999.8901161,20.15538426,1.152221393,30.01651016,33.42164194
I,19,True,1698.691397,732.2599346,1.373839469,10,2.768621656,`ftol` termination condition is satisfied.,19,0.8053945803,3.038280725e-05,0.9037279802,999.8909485,-0.1090515344,20,-10,1,-9,30,-10,33.94676067,-6.053239332,999.8933506,20.43020181,1.116782793,30.24936978,32.03013022
I,20,True,1698.691597,732.2599346,1.373839549,9,2.567380195,`ftol` termination condition is satisfied.,21,0.8055525368,3.085482338e-05,0.9037278221,999.8909485,-0.1090515328,20,-10,1,-9,30,-10,33.94677011,-6.053229891,999.8928899,20.68876537,1.146821707,30.06231128,32.3518129
I,21,True,1698.691631,732.2599346,1.373839563,11,2.533445872,`ftol` termination condition is satisfied.,24,0.8061985471,3.093254681e-05,0.903727796,999.8909485,-0.1090515324,20,-10,1,-9,30,-10,33.94677166,-6.053228337,999.8881652,20.06762446,1.232897717,30.02383529,33.73709564
I,22,True,1698.691782,732.2599346,1.373839624,10,2.380714419,`ftol` termination condition is satisfied.,4,0.8005501292,3.128846539e-05,0.9037276768,999.8909485,-0.1090515311,20,-10,1,-9,30,-10,33.94677878,-6.053221218,999.8907401,20.07621189,1.311912064,30.19381291,33.1347633
I,23,True,1698.691844,732.2599346,1.373839649,10,2.318003678,`ftol` termination condition is satisfied.,29,0.8078721819,3.142320708e-05,0.9037276317,999.8909485,-0.10905153,20,-10,1,-9,30,-10,33.94678148,-6.053218523,999.8867164,20.40623897,1.417163922,30.17672739,34.55293063
I,24,True,1698.692274,732.2599327,1.373839823,7,2.129810234,`xtol` termination condition is satisfied.,11,0.8030770794,3.495842839e-05,0.9037264483,999.8909483,-0.1090516545,20,-10,1.000000009,-8.999999991,30,-9.999999999,33.94685219,-6.053147811,999.889061,20.08100484,1.730827756,30.0249446,33.8151575
I,25,True,1698.695881,732.2599311,1.373841282,9,1.1340003,`ftol` termination condition is satisfied.,12,0.8039817781,4.585537586e-05,0.9037227998,999.8909483,-0.1090517458,20,-10,1,-9,30,-10,33.94707013,-6.052929866,999.8883357,20.1530933,1.398551561,30.28979358,34.11598545
I,26,True,1698.696338,732.2599352,1.373841467,9,1.975762809,`ftol` termination condition is satisfied.,25,0.806279022,4.19902154e-05,0.9037240924,999.8909485,-0.1090514909,20,-10,1,-9,30,-10,33.94699282,-6.053007178,999.8916814,20.27648907,1.070055912,30.23380146,33.58193978
I,27,True,1698.696668,732.2599353,1.3738416,8,2.270469448,`ftol` termination condition is satisfied.,28,0.8077105866,4.280203642e-05,0.9037238206,999.8909485,-0.1090514898,20,-10,1,-9,30,-10,33.94700906,-6.052990941,999.8939808,20.02741294,1.308449201,30.2933089,32.33365897
I,28,True,1698.696705,732.2599356,1.373841615,8,2.330165178,`ftol` termination condition is satisfied.,15,0.8044353865,4.258741048e-05,0.9037238923,999.8909485,-0.1090514742,20,-10,1,-9,30,-10,33.94700477,-6.052995234,999.8877358,20.10523984,1.201213963,30.48029927,34.38445198
I,29,True,1698.696807,732.2599355,1.373841656,8,2.407438776,`ftol` termination condition is satisfied.,23,0.8057456462,4.299553182e-05,0.9037237557,999.8909485,-0.1090514818,20,-10,1,-9,30,-10,33.94701293,-6.052987071,999.8880823,20.44272179,1.003826103,30.43424135,34.00739965
I,30,True,1698.697995,732.2599358,1.373842137,7,3.478887293,`ftol` termination condition is satisfied.,32,0.8081107483,4.578212116e-05,0.9037228224,999.8909485,-0.1090514712,20,-10,1,-9,30,-10,33.94706866,-6.052931339,999.8935708,20.40221925,1.092959845,30.32740728,32.32755447
