mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.1640104601,0.00954551844,16,14,0.004445982008,0,0.13842283,1000.000963,0.0009633807967,1000.000559,29.95439454,-0.04560546032,27.03103698,9.863283984,-0.1367160162,11.95360261,40.13409427,0.13409427,39.6895805,40.03519776,0.03519775602,41.60211096,0.01380427306,0.01380427306,0.01812505525
joint,2,True,0.1640540463,0.009546786728,16,2,0.001771355081,0.05482380492,0.1931310215,1000.001903,0.001902592094,1000.005296,29.95722479,-0.04277520551,34.77191882,9.863942588,-0.1360574123,11.98006874,40.13172085,0.1317208498,34.10122002,40.03440591,0.03440591124,38.63739431,0.01928656963,0.01928656963,0.02226451122
joint,3,True,0.1640770522,0.009547456096,13,6,0.003256659653,0.07627406549,0.2145680979,1000.002354,0.002353627742,1000.001324,29.95475766,-0.04524233969,31.70463745,9.861055132,-0.1389448679,7.772734722,40.13580112,0.1358011168,42.41626674,40.03539917,0.03539917221,39.28084023,0.02143158634,0.02143158634,0.02264471718
joint,4,True,0.1640810006,0.009547570972,12,4,0.002691123016,0.08115599826,0.219437976,1000.002463,0.002463490937,1000.003028,29.95517593,-0.04482407343,31.04501923,9.862961247,-0.1370387529,7.815673216,40.13391577,0.1339157722,39.94847654,40.03504705,0.03504704539,40.71442288,0.02191978503,0.02191978503,0.02327881667
joint,5,True,0.1640841967,0.009547663959,20,10,0.00403476613,0.08443538547,0.2227085369,1000.002539,0.002538993847,1000.004057,29.95859157,-0.0414084288,34.01800189,9.862838632,-0.1371613678,12.26357336,40.13178571,0.1317857133,35.404016,40.03420917,0.03420916798,39.08860943,0.02224768398,0.02224768398,0.02478752292
joint,6,True,0.1640901978,0.009547838551,14,1,0.001653479713,0.08959382325,0.2278665787,1000.002659,0.002658562684,1000.003643,29.95499771,-0.04500228747,30.85498367,9.863172769,-0.1368272311,13.12972634,40.13386118,0.1338611789,36.84468401,40.03506441,0.03506440766,39.30977146,0.02276355452,0.02276355452,0.0248187226
joint,7,True,0.1640912557,0.009547869328,16,16,0.004901923527,0.09026039904,0.2285337045,1000.002674,0.00267413609,1000.004473,29.95404801,-0.04595198747,29.22615262,9.863259856,-0.1367401436,11.23826521,40.13440996,0.134409956,38.21080986,40.03529062,0.03529061612,40.77316679,0.02283021132,0.02283021132,0.02568706346
joint,8,True,0.1641006352,0.009548142206,15,5,0.003255007409,0.09899422796,0.2372564476,1000.002885,0.002884717432,1000.003335,29.95588587,-0.04411413306,30.91262326,9.863189619,-0.1368103811,13.10133729,40.13327426,0.1332742601,36.23359524,40.03484058,0.03484057543,40.06861346,0.02370357549,0.02370357549,0.02557847275
joint,9,True,0.1641068862,0.009548324059,16,13,0.004416007875,0.1031505518,0.241413555,1000.002987,0.002986962119,1000.003638,29.95217967,-0.04782033423,28.6041882,9.863496634,-0.136503366,9.599114985,40.13544543,0.1354454282,40.12245237,40.03572741,0.03572740987,40.84030919,0.02411919562,0.02411919562,0.02594679883
joint,10,True,0.164144523,0.009549418918,15,7,0.00327704714,0.1328515684,0.2710739793,1000.003776,0.003775742879,1000.003514,29.96213547,-0.03786452867,31.19009482,9.86464192,-0.1353580803,9.273767077,40.12798749,0.1279874897,39.35896294,40.03309025,0.03309024957,40.64629431,0.02708914627,0.02708914627,0.02946100392
