mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.0004843110001,0.0005187115448,13,6,0.0007910359155,0,0.6540299614,1000.022131,0.02213103936,1000.018663,29.99840126,-0.001598744122,32.37566079,10.00573185,0.005731854173,7.769158515,39.99776298,-0.002237024343,40.66503762,39.99934737,-0.0006526261094,39.48190366,0.0654006474,0.0654006474,0.06037963615
joint,2,True,0.0004922753833,0.0005229591992,12,14,0.001484482019,0.04818887691,0.6058427309,1000.01899,0.01899034852,1000.017902,29.99899314,-0.001006860438,29.01025454,10.00604537,0.006045366664,11.04672082,39.99698172,-0.003018279081,39.3468177,39.9991523,-0.0008476950344,40.80447124,0.06058240229,0.06058240229,0.05993237475
joint,3,True,0.0004924213648,0.0005230367338,13,3,0.0006471517019,0.04910113154,0.6049305076,1000.018933,0.01893321497,1000.019753,29.99902324,-0.0009767586545,30.34268329,10.00606478,0.006064780472,12.93858733,39.9969432,-0.003056801143,37.11360782,39.99914211,-0.0008578929892,39.41271585,0.06049118823,0.06049118823,0.06012402381
joint,4,True,0.0004945983603,0.0005241916318,14,4,0.0006687867852,0.06286543603,0.5911666238,1000.018082,0.01808152904,1000.017044,29.99916669,-0.0008333134826,28.66944826,10.0061397,0.006139704694,7.936114679,39.99675109,-0.003248912347,42.54236153,39.99909481,-0.0009051878815,40.34615337,0.0591149227,0.0591149227,0.05733594299
joint,5,True,0.0004951172102,0.0005244665068,11,8,0.0008699149843,0.06618870683,0.5878434506,1000.017879,0.01787883133,1000.016887,29.99918268,-0.0008173196188,28.67941942,10.00616145,0.006161453087,11.03304786,39.99671395,-0.00328604994,40.83428543,39.99908758,-0.000912417532,39.76303796,0.05878263419,0.05878263419,0.05811208659
joint,6,True,0.0004963040574,0.0005250947308,14,10,0.001167340698,0.07384328579,0.5801890974,1000.017416,0.01741631328,1000.016802,29.99930653,-0.0006934718002,29.32427575,10.00620588,0.00620588179,8.665385169,39.99657632,-0.003423683266,42.0569208,39.99904989,-0.000950111918,39.79686249,0.05801726392,0.05801726392,0.05692079877
joint,7,True,0.0004989504792,0.0005264928401,14,1,0.0002853158796,0.0912416785,0.5627911898,1000.016388,0.01638756978,1000.016085,29.99951188,-0.000488120663,31.26074608,10.00630824,0.006308237349,10.82199998,39.99631318,-0.003686821459,38.54540791,39.99898315,-0.001016853225,39.72747631,0.05627761468,0.05627761468,0.0556931251
joint,8,True,0.0005065364877,0.000530480122,15,12,0.001363452689,0.143971877,0.5100622623,1000.013461,0.01346096684,1000.015837,30.00009168,9.167761299e-05,36.36848902,10.00660067,0.006600674339,8.10300577,39.9955664,-0.004433599838,36.30545219,39.99879421,-0.00120578589,38.80725799,0.05100509906,0.05100509906,0.05116444593
joint,9,True,0.0005071748673,0.0005308142944,12,2,0.0006312866407,0.1486361319,0.5053981045,1000.013216,0.01321593672,1000.01299,30.00010898,0.0001089798865,27.67584632,10.00663747,0.006637471261,13.17908802,39.9955139,-0.004486096677,38.92299501,39.99878463,-0.001215374648,40.15994783,0.05053871305,0.05053871305,0.04999167438
joint,10,True,0.0005073212497,0.0005308908915,13,13,0.001480035978,0.1497080858,0.5043261733,1000.01316,0.01315994381,1000.013307,30.00013448,0.000134477854,25.61359449,10.0066381,0.006638103131,15.2563265,39.9954944,-0.004505603332,38.16763201,39.99877803,-0.001221971997,40.64053134,0.05043152669,0.05043152669,0.05058631672
