mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.1159495259,0.008025983012,17,14,0.002854109781,0,0.856973423,1000.03801,0.03801041964,1000.036756,30.04101918,0.04101917867,34.78256791,10.11224993,0.11224993,10.86743571,39.88943971,-0.1105602939,37.23790554,39.969974,-0.03002599922,37.85244466,0.08568787696,0.08568787696,0.0832216943
joint,2,True,0.1163142266,0.008038595325,15,16,0.003392793755,0.1109043818,0.746080664,1000.028813,0.02881254497,1000.023827,30.02980931,0.02980931026,28.69365041,10.11461555,0.1146155507,8.058447356,39.89441797,-0.1055820336,43.55867089,39.97246384,-0.02753615971,40.59487612,0.07460000645,0.07460000645,0.07119636958
joint,3,True,0.1164727998,0.008044073037,14,4,0.0008383195269,0.1630804487,0.6939135222,1000.024928,0.02492777731,1000.023744,30.03924308,0.03924308483,30.28319435,10.1159004,0.1159003969,12.73110997,39.88697593,-0.1130240745,37.87828663,39.96991859,-0.03008141317,39.25312339,0.06938313055,0.06938313055,0.06689293219
joint,4,True,0.1167043747,0.008052065806,17,12,0.00256965229,0.2460852733,0.6109210203,1000.019326,0.01932617094,1000.016886,30.04639487,0.04639486547,35.54856894,10.11412349,0.1141234881,8.190927569,39.88356433,-0.1164356651,38.62181195,39.96834309,-0.03165691152,38.9792493,0.06108381876,0.06108381876,0.05853398229
joint,5,True,0.1167126782,0.008052352251,17,9,0.001859959277,0.2514511114,0.6055540076,1000.018988,0.01898773342,1000.015842,30.04098427,0.04098426933,32.13744982,10.11538822,0.1153882168,13.20503863,39.88602822,-0.1139717828,36.95809778,39.96953677,-0.03046322565,38.67835274,0.0605472747,0.0605472747,0.05550223639
joint,6,True,0.116836543,0.008056624018,15,5,0.001080615863,0.3029519333,0.5540574452,1000.015897,0.01589669225,1000.014098,30.02843859,0.02843859073,27.01505179,10.11831944,0.1183194443,11.76370737,39.89164721,-0.108352789,40.11077943,39.97230071,-0.02769928765,40.96516469,0.05539781475,0.05539781475,0.05343004315
joint,7,True,0.1168407918,0.008056770508,16,1,0.0002628618777,0.3047561797,0.5522567018,1000.015795,0.01579516738,1000.014727,30.0401709,0.04017090241,30.66799315,10.11628637,0.1162863708,10.8930429,39.88566952,-0.1143304762,39.20424764,39.96961792,-0.03038207795,39.53555113,0.05521733357,0.05521733357,0.05331347717
joint,8,True,0.1169111363,0.008059195447,16,7,0.001720833752,0.3336465846,0.5233712226,1000.014188,0.01418835835,1000.013817,30.04671605,0.04671604889,30.99763529,10.11312631,0.1131263082,8.675499018,39.88399333,-0.1160066705,40.25287792,39.96838295,-0.03161705128,39.74320836,0.0523285587,0.0523285587,0.0499194282
joint,9,True,0.1169289358,0.008059808925,15,13,0.002634350622,0.3443439257,0.5126750993,1000.013614,0.01361444495,1000.011415,30.04063581,0.04063581436,32.15706969,10.11618981,0.1161898129,9.134845683,39.88535813,-0.1146418714,40.37839106,39.9695096,-0.03049039773,39.58793875,0.05125889848,0.05125889848,0.04927046508
joint,10,True,0.1169414919,0.008060241653,17,11,0.002285911833,0.3445231139,0.5125013795,1000.013607,0.0136066197,1000.013684,30.051552,0.0515519994,32.46262263,10.11424311,0.1142431071,9.09717302,39.87984485,-0.1201551455,39.54534627,39.96702086,-0.03297914492,38.83115063,0.05124104632,0.05124104632,0.04921881088
