mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,3.115703339e-10,4.160464277e-07,8,4,0.0006525564959,0,0.02498374686,1000.000246,0.0002461469271,1000.001879,29.99995122,-4.877692251e-05,31.09980444,9.999980054,-1.994591032e-05,11.1357973,40.00005882,5.881797675e-05,37.76588335,40.00001537,1.536500292e-05,39.49063005,0.01077077789,0.002498367075,0.01302628829
joint,2,True,5.543227531e-10,5.54938812e-07,8,15,0.001391253627,0.08573079202,0.06074705608,999.9996709,-0.0003290595233,1000.000434,30.00006444,6.443987346e-05,31.71122101,10.00003046,3.045673219e-05,8.116471715,39.9999186,-8.139792741e-05,40.74438489,39.99997924,-2.075824027e-05,39.21737617,0.002197710799,-0.006074700013,0.00191649542
joint,3,True,3.681958558e-09,1.430221148e-06,9,11,0.001278167449,0.04473872065,0.06972246095,1000.000848,0.0008483045327,1000.002595,29.99983387,-0.0001661294635,33.51383108,9.999921827,-7.81730888e-05,8.089493605,40.00020955,0.0002095473456,38.33504304,40.00005348,5.347841867e-05,39.45601397,0.01524462451,0.006972213696,0.01515313179
joint,4,True,3.729063285e-09,1.439340761e-06,9,7,0.001119582911,0.04497395212,0.06995769238,1000.000852,0.0008520184931,1000.000581,29.99983154,-0.0001684569395,32.13629825,9.99992926,-7.074041466e-05,10.11983687,40.00020481,0.0002048065803,38.54997906,40.00005326,5.325897063e-05,39.66148105,0.01526814748,0.00699573667,0.0153583771
joint,5,True,4.215858746e-09,1.5304064e-06,10,16,0.001444208459,0.04839454443,0.07337828384,1000.000907,0.0009066634904,1000.0016,29.99982111,-0.0001788872794,32.26293225,9.999922597,-7.740328174e-05,10.24783378,40.00021954,0.0002195371058,37.69446192,40.00005682,5.681717951e-05,39.89870613,0.01561020403,0.007337793222,0.01570247072
joint,6,True,6.637942762e-09,1.920350483e-06,10,12,0.0013598301,0.06213449552,0.08711823101,1000.001138,0.001138362145,1000.000564,29.99977599,-0.0002240080752,27.84220605,9.999900016,-9.998380873e-05,9.147101306,40.00027766,0.0002776641131,42.74395435,40.00007149,7.148761168e-05,40.10874437,0.01698418722,0.008711776412,0.01671960623
joint,7,True,6.800707695e-09,1.94375177e-06,10,8,0.001182224662,0.06296887323,0.08795260845,1000.001153,0.00115306079,1000.002033,29.99977485,-0.0002251516412,29.58956107,9.999890341,-0.000109659397,12.62530833,40.00028733,0.0002873253704,38.30974921,40.0000729,7.289530311e-05,39.33638489,0.0170676242,0.00879521339,0.01715668124
joint,8,True,1.160746422e-08,2.539407655e-06,10,10,0.001230047467,0.08192455044,0.1069082789,1000.001506,0.001506413331,1000.000947,29.99970582,-0.0002941759899,27.15835293,9.999856931,-0.0001430689334,13.00219746,40.00037522,0.0003752240672,39.85489563,40.00009522,9.521909966e-05,40.2715629,0.01896317207,0.01069076125,0.01907629189
joint,9,True,1.502808002e-08,2.889452084e-06,9,14,0.00136913281,0.09222753555,0.1172112597,1000.001714,0.00171406679,1000.003168,29.99966524,-0.0003347567164,28.71606243,9.9998373,-0.0001627000459,12.58401302,40.00042689,0.0004268888061,38.2773064,40.00010834,0.0001083412949,39.64369248,0.01999345809,0.01172104728,0.02004697196
joint,10,True,1.512700902e-08,2.898947033e-06,10,3,0.0005002949917,0.09240167037,0.1173853945,1000.001718,0.001717671903,1000.0021,29.99966147,-0.0003385343445,29.92047657,9.999851957,-0.0001480430118,11.92173131,40.00041687,0.0004168735702,38.46786954,40.0001077,0.0001077038914,39.77910872,0.02001087137,0.01173846056,0.02016172974
joint,11,True,1.716074484e-08,3.087676656e-06,11,13,0.001361840671,0.09783386656,0.1228175882,1000.001832,0.001831675005,1000.001838,29.99964233,-0.0003576664517,29.82011968,9.99982587,-0.0001741300164,11.66142862,40.00045637,0.0004563699259,39.41899896,40.00011579,0.0001157893451,39.30085218,0.02055408387,0.01228167306,0.02087414701
joint,12,True,1.940771952e-08,3.283605701e-06,10,2,0.0004520850188,0.1032280287,0.1282117478,1000.001948,0.001947902299,1000.003114,29.99961959,-0.0003804054643,31.16837633,9.999814978,-0.0001850224796,10.58497095,40.00048522,0.0004852238601,38.18986866,40.00012313,0.0001231294477,39.64610313,0.02109349269,0.01282108187,0.02114303867
joint,13,True,2.462263933e-08,3.698546211e-06,10,9,0.001229794926,0.1142189607,0.1392026742,1000.002194,0.002194039226,1000.002082,29.99957147,-0.0004285325001,31.09485126,9.999791918,-0.000208082068,10.46191989,40.0005463,0.0005462997631,39.70083097,40.00013867,0.0001386674981,39.12933476,0.02219256967,0.01392015885,0.02230423404
joint,14,True,2.741365375e-08,3.902538615e-06,10,6,0.001119574555,0.1194278469,0.1444115576,1000.002315,0.00231505536,1000.002877,29.99954791,-0.0004520881325,33.76515957,9.999780113,-0.0002198871675,8.819145425,40.00057666,0.0005766591955,38.92904544,40.00014633,0.0001463322647,38.95282267,0.02271345006,0.01444103925,0.0226971811
joint,15,True,2.807587119e-08,3.949393145e-06,8,1,0.0003103649259,0.1205173498,0.1455010598,1000.002341,0.002340723766,1000.003202,29.99953907,-0.0004609322617,30.29738323,9.999795929,-0.0002040712223,11.44400721,40.00056984,0.0005698376615,38.50352897,40.00014692,0.0001469238644,39.5571463,0.0228223986,0.01454998779,0.02352513403
joint,16,True,1.048392471e-07,7.631777393e-06,11,5,0.0007390085077,0.1994614242,0.2244450771,1000.004527,0.004527389715,1000.004262,29.99911635,-0.0008836528207,31.51028586,9.999567835,-0.0004321646895,9.977094113,40.00112928,0.001129276731,39.52498727,40.00028628,0.0002862812208,39.41650419,0.03071663182,0.02244422101,0.03078642255
