mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,4.046375846e-08,4.741293686e-06,11,9,0.00176162442,0,0.1690310937,1000.002821,0.002821396961,1000.00182,29.9994494,-0.0005505986923,27.88581468,9.999731917,-0.0002680832101,6.387628234,40.00070262,0.0007026217461,44.0208239,40.00017826,0.0001782640976,40.90748146,0.02458286884,0.01690296154,0.02146432754
joint,2,True,1.097151451e-07,7.807231159e-06,11,7,0.001453888549,0.06352161167,0.2325524956,1000.004646,0.004645900172,1000.003313,29.99909349,-0.0009065121544,27.08629641,9.999558017,-0.0004419825719,11.57671566,40.00115735,0.001157352448,41.60920839,40.00029356,0.0002935586008,40.27104554,0.03093486549,0.02325495819,0.03110517331
joint,3,True,1.214691487e-07,8.214795212e-06,11,1,0.001031419393,0.07100841916,0.2400392708,1000.004888,0.004888442852,1000.004275,29.99904639,-0.0009536111849,26.88001723,9.999533844,-0.0004661560419,10.77081809,40.00121857,0.001218572984,41.95695904,40.00030895,0.0003089469778,40.40559222,0.03168352186,0.02400361455,0.03172328732
joint,4,True,1.397411169e-07,8.811013212e-06,12,5,0.001379936363,0.08165172526,0.2506825283,1000.005243,0.00524322622,1000.004523,29.99897694,-0.001023060001,25.299679,9.999501201,-0.0004987994399,9.912045364,40.00130614,0.001306144371,42.73316408,40.0003313,0.0003312975586,41.35285471,0.03274781586,0.02506790856,0.03263787069
joint,5,True,1.430640348e-07,8.91515672e-06,13,16,0.002772942365,0.08347600214,0.2525067965,1000.005305,0.005305213015,1000.006153,29.99896515,-0.001034845903,25.5186487,9.999493822,-0.0005061784686,11.39350675,40.00132266,0.001322660396,41.68538325,40.0003353,0.0003352991903,40.39454096,0.03293023704,0.02525032973,0.03302466383
joint,6,True,1.443193599e-07,8.954184617e-06,10,10,0.001827233595,0.08415718243,0.2531879736,1000.005328,0.005328447101,1000.003436,29.99896055,-0.001039453138,26.67993557,9.999491968,-0.0005080319192,10.83984361,40.00132819,0.001328189158,42.27784151,40.00033675,0.0003367460021,40.82834113,0.03299835262,0.02531844532,0.03311480012
joint,7,True,1.44748538e-07,8.967488749e-06,12,2,0.001086953858,0.0843887014,0.2534194914,1000.005336,0.005336354788,1000.004334,29.99895903,-0.00104097021,27.75313691,9.999491079,-0.0005089212834,8.905196531,40.00133026,0.00133025981,42.57734748,40.00033725,0.0003372545396,40.65984335,0.03302150368,0.02534159638,0.03287016351
joint,8,True,1.508102615e-07,9.153331558e-06,11,4,0.001294896514,0.08761004332,0.2566408177,1000.005447,0.005446957501,1000.004264,29.99893743,-0.001062569703,27.34398,9.999480659,-0.0005193405395,9.778593196,40.00135774,0.001357736398,42.81660199,40.00034424,0.0003442360129,40.33904046,0.03334362615,0.02566371885,0.03323099779
joint,9,True,1.932793217e-07,1.036230674e-05,12,11,0.002056999475,0.107849015,0.2768796847,1000.006166,0.006166412412,1000.006295,29.9987971,-0.001202900316,23.32308719,9.999412039,-0.0005879613099,11.39773463,40.00153708,0.001537079106,42.15888957,40.0003897,0.000389698456,41.89665288,0.03536744464,0.02768753734,0.0355340042
joint,10,True,1.961822313e-07,1.043983374e-05,12,14,0.002483254257,0.1091074696,0.2781381324,1000.006213,0.006212547484,1000.004464,29.99878807,-0.00121193372,26.44465969,9.999407818,-0.0005921817196,8.187786374,40.00154845,0.001548447993,43.76050623,40.0003926,0.000392602667,41.51786313,0.03549328492,0.02781337761,0.03532426533
joint,11,True,2.083310596e-07,1.075822836e-05,11,3,0.001114248549,0.1142297966,0.2832604308,1000.006402,0.006402023257,1000.004905,29.9987511,-0.001248896616,26.83907342,9.999389766,-0.000610234185,9.058005246,40.00159567,0.001595666374,43.2283595,40.00040457,0.0004045745536,41.05806217,0.03600549614,0.02832558884,0.03600450309
joint,12,True,2.271201799e-07,1.123289267e-05,14,8,0.001557628294,0.1217333865,0.2907639775,1000.006684,0.006684483321,1000.006045,29.99869608,-0.001303917886,24.58486003,9.999362521,-0.0006374787346,10.80828553,40.00166629,0.001666290349,42.76494772,40.00042244,0.000422438408,41.41564691,0.03675582263,0.02907591533,0.03699521527
joint,13,True,2.842407862e-07,1.256628616e-05,13,15,0.002640621068,0.1420373751,0.3110678414,1000.007478,0.007478000432,1000.007545,29.99854133,-0.001458667994,26.03501657,9.999286718,-0.0007132819017,11.53494609,40.00186418,0.001864179855,41.67008187,40.00047259,0.000472585679,40.44381284,0.03878612709,0.03110621978,0.03899270346
joint,14,True,3.021076971e-07,1.295521553e-05,12,13,0.002152300403,0.1477623871,0.316792816,1000.007709,0.007709453107,1000.00613,29.99849615,-0.0015038525,23.43297055,9.999264866,-0.0007351342775,11.63635461,40.00192171,0.001921708458,42.84761089,40.0004872,0.0004871961492,41.87880422,0.03935859992,0.03167869262,0.03949678619
joint,15,True,3.362255556e-07,1.366718608e-05,13,6,0.00142166177,0.1580323617,0.3270627214,1000.008133,0.008133148632,1000.007155,29.99841342,-0.001586582719,25.45347622,9.999224816,-0.0007751836038,8.667129896,40.00202707,0.002027071343,43.70914012,40.00051395,0.0005139504225,41.43311266,0.04038554452,0.03270563722,0.03983930655
joint,16,True,8.354453473e-07,2.154382287e-05,11,12,0.002148147876,0.2578698562,0.4268993866,1000.012821,0.01282066814,1000.014,29.99749878,-0.002501224769,27.00745204,9.998779876,-0.00122012374,9.797666445,40.00319392,0.003193915815,41.36954295,40.00080997,0.0008099685907,40.43516784,0.05036863723,0.04268872992,0.05038068776
