mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,2.6060987e-07,1.203259162e-05,10,9,0.004325972689,0,0.2167743784,1000.007262,0.007262450138,1000.008748,29.99856589,-0.001434112161,29.56171391,9.99931306,-0.0006869400429,9.88113837,40.00181413,0.00181413022,38.69476054,40.00046308,0.000463076671,40.80763394,0.04321678635,0.02167667398,0.04327099874
joint,2,True,3.491250025e-07,1.39268925e-05,12,12,0.005254589204,0.02485485811,0.2416291272,1000.008406,0.008405819057,1000.007609,29.99834008,-0.001659915947,25.53463269,9.999205128,-0.0007948717443,10.52029332,40.00209956,0.00209956302,43.21241016,40.00053595,0.0005359548742,40.78605863,0.04570210703,0.02416199466,0.04577816345
joint,3,True,6.873632636e-07,1.954145542e-05,15,11,0.005031242562,0.09164253662,0.3084164003,1000.011795,0.01179477104,1000.015796,29.99767093,-0.002329067743,36.95947854,9.998884896,-0.001115103796,12.60906527,40.00294577,0.002945766421,33.82601136,40.00075196,0.0007519564439,37.15529256,0.05238033627,0.03084022391,0.05593512427
joint,4,True,7.948665195e-07,2.101410267e-05,13,13,0.005365771294,0.1077947533,0.3245684946,1000.012684,0.01268366386,1000.013506,29.99749535,-0.002504653862,31.86629319,9.998801306,-0.001198694115,10.41238085,40.00316742,0.003167419551,37.81008532,40.00080858,0.000808576259,39.63811668,0.05399540571,0.03245529334,0.05450142725
joint,5,True,9.787285271e-07,2.331819184e-05,13,7,0.003940304314,0.1321403869,0.3489139256,1000.014074,0.01407445549,1000.016056,29.99722065,-0.00277935258,26.47048365,9.998670437,-0.001329563351,11.43676527,40.00351427,0.003514273848,39.56036116,40.00089718,0.00089717512,40.80115573,0.05642972253,0.03488961017,0.05705713269
joint,6,True,1.043676536e-06,2.4079458e-05,14,3,0.003034273461,0.1399565566,0.3567300258,1000.014534,0.0145339716,1000.015254,29.99712987,-0.002870125822,31.14498949,9.998627178,-0.0013728218,14.09140287,40.0036289,0.003628898135,36.90421581,40.00092645,0.0009264512908,38.51050618,0.05721125591,0.03567114354,0.05795404073
joint,7,True,1.063322917e-06,2.430503968e-05,12,14,0.006393919866,0.1422519217,0.35902537,1000.01467,0.01467011764,1000.01719,29.9971029,-0.002897104963,31.91454171,9.998614899,-0.001385100698,10.3063602,40.00366246,0.003662456156,37.16534072,40.00093509,0.0009350905647,39.78005114,0.05744076744,0.03590065508,0.0576904301
joint,8,True,1.303169331e-06,2.690693148e-05,12,1,0.000297977981,0.1680971267,0.3848703269,1000.016241,0.01624070291,1000.01708,29.99679276,-0.003207242005,31.47774778,9.998466838,-0.001533161865,10.26474601,40.00405433,0.004054330939,38.44280808,40.00103515,0.001035146054,39.72271729,0.06002499348,0.03848488112,0.06046459419
joint,9,True,1.480373596e-06,2.867803646e-05,13,2,0.002955771529,0.1850714652,0.4018444892,1000.01731,0.01730980784,1000.016755,29.99658194,-0.003418063219,28.82337666,9.9983647,-0.001635300459,12.37014,40.00432204,0.00432204342,39.95130412,40.00110331,0.001103313036,39.46484943,0.06172222036,0.04018210799,0.06231850314
joint,10,True,1.855205926e-06,3.210404895e-05,11,8,0.004265242455,0.2166477291,0.4334203975,1000.019378,0.01937788412,1000.018943,29.99617339,-0.003826609117,29.73623912,9.998170667,-0.001829332834,11.56281142,40.00483736,0.004837360137,40.56769593,40.00123499,0.001234993616,38.83187623,0.06487943214,0.04333931977,0.06514595846
