noise_case,noise_factor,noise_level,mode,success,cost,rmse_normalized,rmse_I,rmse_dIdL,condition_number,local_success_fraction,multistart_distance_median,multistart_distance_max,boundary_hit_count,boundary_hits,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm,fit_Angle_deg,error_Angle_deg,film_mae_nm,air_abs_error_um,angle_abs_error_deg,fit_air_phase_length_um,truth_air_phase_length_um,air_phase_abs_error_um,multistart_air_angle_correlation
amplitude_high,amplitude,high,joint,True,0.1640104601,0.00954551844,0.0002739987333,0.1061963433,22038.93073,1,0.1010723899,0.3480627632,0,,1000.000963,0.0009633807967,29.95439454,-0.04560546032,9.863283984,-0.1367160162,40.13409427,0.13409427,40.03519776,0.03519775602,0.01380427306,0.01380427306,0.08790337564,0.0009633807967,0.01380427306,999.9999774,1000,2.256069888e-05,0.9914274176
amplitude_low,amplitude,low,joint,True,0.0004843110001,0.0005187115448,1.554482668e-05,0.005714108008,28915.28557,1,0.1463040044,0.2357917179,0,,1000.022131,0.02213103936,29.99840126,-0.001598744122,10.00573185,0.005731854173,39.99776298,-0.002237024343,39.99934737,-0.0006526261094,0.0654006474,0.0654006474,0.002555062187,0.02213103936,0.0654006474,1000,1000,2.497813512e-09,0.9982151056
amplitude_medium,amplitude,medium,joint,True,0.1159495259,0.008025983012,0.0002346682329,0.08788232536,33516.754,1,0.3389952551,0.6916863431,0,,1000.03801,0.03801041964,30.04101918,0.04101917867,10.11224993,0.11224993,39.88943971,-0.1105602939,39.969974,-0.03002599922,0.08568787696,0.08568787696,0.07346385046,0.03801041964,0.08568787696,1000.000019,1000,1.890248427e-05,0.9720968283
angle_high,angle,high,joint,True,3.115703339e-10,4.160464277e-07,3.562484822e-08,4.111594894e-06,22123.13454,1,0.08897916378,0.1994614242,0,,1000.000246,0.0002461469271,29.99995122,-4.877692251e-05,9.999980054,-1.994591032e-05,40.00005882,5.881797675e-05,40.00001537,1.536500292e-05,0.01077077789,0.002498367075,3.572645313e-05,0.0002461469271,0.002498367075,999.9996459,999.9996459,1.439559583e-08,0.9501405713
angle_low,angle,low,joint,True,4.046375846e-08,4.741293686e-06,4.153806445e-07,4.680072064e-05,22964.46364,1,0.09772952918,0.2578698562,0,,1000.002821,0.002821396961,29.9994494,-0.0005505986923,9.999731917,-0.0002680832101,40.00070262,0.0007026217461,40.00017826,0.0001782640976,0.02458286884,0.01690296154,0.0004248919365,0.002821396961,0.01690296154,999.9996947,999.9996948,1.67979465e-07,0.9919658347
angle_medium,angle,medium,joint,True,2.6060987e-07,1.203259162e-05,1.072559707e-06,0.0001188018041,25231.19686,1,0.1765842959,0.4668051695,0,,1000.007262,0.007262450138,29.99856589,-0.001434112161,9.99931306,-0.0006869400429,40.00181413,0.00181413022,40.00046308,0.000463076671,0.04321678635,0.02167667398,0.001099564774,0.007262450138,0.02167667398,999.997599,999.9975994,4.293734719e-07,0.9948361789
clean,clean,clean,joint,True,1.172810611e-06,2.552570177e-05,2.260490421e-06,0.0002553822977,26880.82738,1,0.1368293121,0.278515933,0,,1000.015372,0.01537175351,29.99700698,-0.002993015191,9.998541236,-0.001458763787,40.00382235,0.003822352685,40.00096902,0.00096902213,0.05450771315,0.05450771315,0.002310788448,0.01537175351,0.05450771315,999.9999991,1000,9.14388238e-07,0.9984780212
combined_high,combined,high,joint,True,220.9682727,0.3503714479,0.03147758936,3.365294047,32107.5206,1,0.05384102057,0.4473678268,1,HSQ,1000.028505,0.02850503065,39.99999973,9.999999734,2.253009163,-7.746990837,44.20460888,4.204608875,33.62746077,-6.372539226,0.06811344873,0.009300845647,7.081034668,0.02850503065,0.009300845647,1000.0045,999.9821035,0.02239625695,0.9890025527
combined_low,combined,low,joint,True,0.1330707855,0.008598151789,0.001039728055,0.07648626001,26390.97079,1,0.140864454,0.410274983,0,,1000.008986,0.008986326959,29.32698286,-0.6730171366,10.49156128,0.4915612755,39.99048237,-0.009517632882,40.2140622,0.2140622002,0.050935732,0.02323147807,0.3470395613,0.008986326959,0.02323147807,999.9955625,999.9960288,0.0004663078329,0.9940359831
combined_medium,combined,medium,joint,True,5.31477125,0.0543382986,0.005900544218,0.4768121845,35323.84461,1,0.1850896754,0.2815303853,0,,1000.011777,0.01177686438,33.50550957,3.505509569,8.222153979,-1.777846021,39.49200103,-0.5079989714,38.77429161,-1.225708392,0.07809371491,0.01137766255,1.754265738,0.01177686438,0.01137766255,999.9802219,999.9769703,0.003251662695,0.9982273559
detector_high,detector,high,joint,True,0.08379684198,0.006823034596,0.0002816321468,0.07385537857,22493.44433,1,0.04374675762,0.1459396673,0,,1000.001291,0.001291052784,30.06566687,0.06566687438,10.07159325,0.07159325006,39.90123729,-0.09876271342,39.97310122,-0.02689877604,0.01567902132,0.01567902132,0.06573040347,0.001291052784,0.01567902132,1000.000019,1000,1.912584457e-05,0.9631121086
detector_low,detector,low,joint,True,0.0001242495578,0.000262730912,1.017610916e-05,0.00287502253,22092.75608,1,0.04789102733,0.1467999404,0,,1000.000604,0.0006044118639,29.99775348,-0.002246516491,10.00050111,0.0005011131829,40.0009451,0.0009450958506,40.00049345,0.0004934455962,0.01080966592,0.01080966592,0.00104654278,0.0006044118639,0.01080966592,999.9999998,1000,1.606119895e-07,0.9750722484
detector_medium,detector,medium,joint,True,0.003267917377,0.001347408496,5.256193341e-05,0.01471802258,33455.00394,1,0.0615552303,0.1762050716,0,,1000.038734,0.03873416033,29.99099072,-0.009009279571,10.00428629,0.004286288336,40.00447806,0.004478064892,40.00144559,0.001445585034,0.08652259754,0.08652259754,0.004804804458,0.03873416033,0.08652259754,999.9999988,1000,1.18565606e-06,0.9981873319
material_high,material,high,joint,True,0.1379762843,0.008755197956,0.001031621248,0.07913704974,23641.20973,1,0.1671672831,0.2652735664,0,,1000.006692,0.006692287861,29.45747393,-0.5425260727,10.05497636,0.05497636267,40.56509253,0.5650925285,40.45421314,0.4542131426,0.03684240496,0.03684240496,0.4042020266,0.006692287861,0.03684240496,999.9996693,1000,0.0003307296931,0.9976460944
material_low,material,low,joint,True,0.0008620758964,0.0006920484474,8.015626071e-05,0.006297578039,22626.81124,1,0.22807804,0.3730754944,0,,1000.00214,0.002139694214,29.9427735,-0.0572265035,10.07522581,0.07522581001,39.97328136,-0.02671863587,40.01886004,0.01886003765,0.02029881542,0.02029881542,0.04450774676,0.002139694214,0.02029881542,1000.000008,1000,7.797297826e-06,0.9858258918
