mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,1.172810611e-06,2.552570177e-05,13,2,0.002363079723,0,0.5450907398,1000.015372,0.01537175351,1000.016498,29.99700698,-0.002993015191,21.89092486,9.998541236,-0.001458763787,12.32484212,40.00382235,0.003822352685,42.17983346,40.00096902,0.00096902213,42.20467244,0.05450771315,0.05450771315,0.05657808905
joint,2,True,1.363737267e-06,2.752511245e-05,13,6,0.002843310548,0.02094855023,0.566038747,1000.016576,0.01657590321,1000.014438,29.99677256,-0.003227435296,24.8116425,9.998426988,-0.001573011672,9.25769927,40.00412173,0.004121726738,44.29125521,40.0010449,0.001044903427,41.77271823,0.05660235088,0.05660235088,0.05664703473
joint,3,True,1.531746843e-06,2.917139812e-05,14,12,0.004051161456,0.03763265724,0.5827223928,1000.017567,0.01756740176,1000.015604,29.99657967,-0.0034203324,26.93260365,9.99833242,-0.001667580201,7.32223127,40.00436858,0.004368578803,45.46990963,40.00110741,0.001107406399,40.49095767,0.05827057671,0.05827057671,0.05789658103
joint,4,True,1.869363731e-06,3.222631543e-05,13,14,0.004327357439,0.06738923106,0.6124780808,1000.019407,0.0194072416,1000.017073,29.9962212,-0.003778795746,23.09988152,9.99815905,-0.001840949989,10.66962102,40.00482516,0.004825163203,44.8253145,40.00122327,0.001223273972,41.64092941,0.0612458776,0.0612458776,0.06141448872
joint,5,True,2.014782802e-06,3.345629655e-05,15,16,0.004500689405,0.07896994536,0.6240584284,1000.020148,0.02014803281,1000.019264,29.99607699,-0.003923013003,24.86363837,9.998089042,-0.001910957983,6.895206034,40.0050091,0.005009098712,45.12282102,40.00126992,0.001269922639,42.27266782,0.06240380079,0.06240380079,0.06209035557
joint,6,True,2.054826225e-06,3.378712957e-05,14,1,0.002055803396,0.08204833761,0.6271367211,1000.020347,0.02034728427,1000.02023,29.99603821,-0.003961785209,24.51877668,9.998070164,-0.001929835903,7.655490063,40.0050586,0.005058601386,45.07076295,40.00128247,0.001282470718,41.54629487,0.06271159969,0.06271159969,0.06280000959
joint,7,True,2.415777399e-06,3.66346633e-05,15,5,0.002818220578,0.1079449498,0.6530324616,1000.022062,0.02206227119,1000.021429,29.99570398,-0.004296020112,26.1537247,9.997909,-0.002091000088,6.517855333,40.00548388,0.005483880742,45.56023161,40.00139045,0.001390446645,41.04399056,0.06530090628,0.06530090628,0.06495226875
joint,8,True,2.641819901e-06,3.831028221e-05,13,4,0.00271992007,0.1227145168,0.6678015039,1000.023071,0.02307143954,1000.020299,29.99550726,-0.004492739734,27.4562459,9.997814896,-0.002185103816,4.76322803,40.00573352,0.005733517519,46.11986393,40.00145392,0.001453923846,41.30791953,0.06677764815,0.06677764815,0.06453901991
joint,9,True,3.117562548e-06,4.161705411e-05,14,3,0.002555504168,0.1509441074,0.6960300362,1000.025063,0.02506307441,1000.024851,29.99511958,-0.004880420902,24.63573177,9.997626328,-0.002373671507,7.412535218,40.00622831,0.006228306582,44.75919351,40.00157934,0.001579343442,41.67971485,0.06960017048,0.06960017048,0.06926249569
joint,10,True,3.457423821e-06,4.382682982e-05,14,15,0.004472913147,0.1691874874,0.7142726935,1000.026394,0.02639401479,1000.024626,29.9948602,-0.005139799128,25.52730326,9.997501032,-0.002498967913,5.704663498,40.00655853,0.0065585297,45.22873399,40.00166316,0.001663159175,42.63107756,0.07142420756,0.07142420756,0.07044443449
joint,11,True,3.820322861e-06,4.606952995e-05,13,8,0.003422049156,0.1872382702,0.7323227312,1000.027745,0.02774478444,1000.028112,29.99459631,-0.005403686543,26.4378405,9.997374459,-0.002625540773,6.803826598,40.00689358,0.006893583108,44.09256558,40.00174832,0.001748317596,41.26994799,0.07322897331,0.07322897331,0.07271907253
joint,12,True,3.820651024e-06,4.607150858e-05,13,7,0.003316722898,0.1872539398,0.7323384001,1000.027746,0.02774597175,1000.025832,29.99459634,-0.005403656513,24.99691266,9.997374645,-0.002625355262,6.622268435,40.00689346,0.006893459588,44.68112677,40.00174828,0.001748283682,42.39498453,0.07323053999,0.07323053999,0.07121881729
joint,13,True,4.74613452e-06,5.134921032e-05,14,9,0.003464400242,0.228071996,0.7731546613,1000.030925,0.03092478227,1000.031679,29.9939775,-0.006022499788,25.69031099,9.997076424,-0.002923575641,6.527921727,40.00768084,0.007680837577,44.81366949,40.00194817,0.001948168681,41.19520041,0.07731158307,0.07731158307,0.07727989006
joint,14,True,4.894921895e-06,5.214787678e-05,15,10,0.003695903657,0.2340629953,0.7791453844,1000.031406,0.03140584829,1000.031375,29.99388385,-0.006116149206,24.21899262,9.997030674,-0.00296932578,6.066910171,40.00780052,0.007800519997,45.77019879,40.00197849,0.001978494519,42.02666402,0.07791056441,0.07791056441,0.07744048219
joint,15,True,5.152594753e-06,5.350282834e-05,13,13,0.004094681115,0.2441224216,0.7892043393,1000.032222,0.03222195055,1000.03166,29.99372366,-0.006276336526,26.80743123,9.996955016,-0.003044984447,7.729734117,40.00800275,0.008002753284,44.24822176,40.00203002,0.002030023611,40.90423812,0.078916304,0.078916304,0.07873366801
joint,16,True,6.110991698e-06,5.826658895e-05,13,11,0.003819919401,0.278515933,0.8235961694,1000.035091,0.03509129052,1000.034068,29.99316552,-0.006834479681,30.20047337,9.996686924,-0.003313075935,8.340129026,40.00871223,0.008712231501,40.5700329,40.00221019,0.00221019372,40.90250724,0.08235492327,0.08235492327,0.0821829318
