mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,220.9682727,0.3503714479,17,13,0.05968136978,0,0.7554272052,1000.028505,0.02850503065,1000.023112,39.99999973,9.999999734,38.24325684,2.253009163,-7.746990837,7.21704553,44.20460888,4.204608875,43.18079897,33.62746077,-6.372539226,32.91274781,0.06811344873,0.009300845647,0.06155114702
joint,2,True,220.9698925,0.3503727321,26,6,0.05662069659,0.1068760919,0.7758689655,1000.036632,0.03663188358,1000.029621,39.99957418,9.999574178,38.3852937,2.252246439,-7.747753561,3.555618509,44.20324923,4.203249235,41.87837773,33.62774647,-6.372253528,35.04518941,0.07879912338,0.0199865203,0.06843093176
joint,3,True,220.9713625,0.3503738975,20,16,0.05986125551,0.110160757,0.776771756,1000.0369,0.03690014851,1000.027375,39.99982359,9.999823592,37.55773478,2.251071665,-7.748928335,2.081959,44.20405541,4.204055406,44.53238041,33.62783599,-6.372164009,35.73722055,0.07912751969,0.02031491661,0.0686635557
joint,4,True,220.9718274,0.3503742661,21,2,0.05461132636,0.08746222154,0.7710992103,1000.035069,0.03506852916,1000.026524,39.99954716,9.999547157,38.50329991,2.252027431,-7.747972569,5.736282683,44.20338218,4.203382175,41.38884145,33.62776194,-6.372238057,34.27413312,0.07685812743,0.01804552435,0.06565776499
joint,5,True,220.9723591,0.3503746876,17,12,0.05934984018,0.02313755861,0.7529215319,1000.026904,0.02690379447,1000.02255,39.99999753,9.999997535,37.24966406,2.2526663,-7.7473337,7.340407638,44.20369993,4.203699926,43.40152649,33.62749981,-6.372500193,32.77138985,0.06580004436,0.006987441281,0.06072707815
joint,6,True,220.9725427,0.3503748332,17,1,0.05399080818,0.1021564666,0.7746931766,1000.036248,0.03624814979,1000.027917,39.99955628,9.999556278,39.04698204,2.251454188,-7.748545812,6.162031253,44.20386907,4.203869072,41.29309866,33.62785941,-6.372140592,34.12166572,0.07832725677,0.01951465369,0.06859872778
joint,7,True,220.9729115,0.3503751255,15,9,0.05831817518,0.05469671264,0.7641279557,1000.032518,0.03251825415,1000.026935,39.99991441,9.999914408,39.59065294,2.251320294,-7.748679706,9.012832674,44.20376907,4.203769074,39.60154363,33.62771527,-6.372284734,33.43626337,0.07358219073,0.01476958765,0.06874482971
joint,8,True,220.9730012,0.3503751967,26,8,0.0575236677,0.05298532851,0.7637405412,1000.032388,0.03238833087,1000.024659,39.99951076,9.999510759,35.55135705,2.252515544,-7.747484456,6.430440601,44.20290705,4.202907047,43.89280792,33.62769261,-6.372307392,34.71749784,0.07341108394,0.01459848086,0.06474778119
joint,9,True,220.974274,0.3503762057,21,4,0.05563082234,0.04181051371,0.7616940386,1000.031546,0.03154593913,1000.022158,39.99952172,9.999521719,36.47629932,2.252192518,-7.747807482,7.874611531,44.20314929,4.203149292,41.33413698,33.62771285,-6.372287147,33.79734984,0.07229379944,0.01348119636,0.05739908757
joint,10,True,220.9753359,0.3503770476,17,5,0.05611459762,0.03456528958,0.7604710774,1000.031007,0.03100667433,1000.021671,39.99976218,9.999762178,38.16830496,2.251612429,-7.748387571,2.103374678,44.20341119,4.203411187,46.42660746,33.62775004,-6.372249958,34.67382697,0.07156939833,0.01275679525,0.06271144986
