mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.1330707855,0.008598151789,16,13,0.007122326043,0,0.2364142756,1000.008986,0.008986326959,1000.010578,29.32698286,-0.6730171366,30.06404977,10.49156128,0.4915612755,10.01781424,39.99048237,-0.009517632882,38.31777971,40.2140622,0.2140622002,41.45641333,0.050935732,0.02323147807,0.05367833944
joint,2,True,0.133119165,0.008599714628,17,12,0.006215339712,0.04642078464,0.282204247,1000.011542,0.01154242291,1000.012424,29.31853021,-0.681469788,30.30452037,10.4894968,0.4894968014,4.241653058,39.99784002,-0.00215998329,44.03048792,40.21646622,0.2164662196,40.61269948,0.05557700412,0.02787275018,0.05700559992
joint,3,True,0.1331530604,0.008600809408,14,4,0.004004874271,0.07803587768,0.3134696453,1000.013412,0.01341237748,1000.012794,29.31892023,-0.6810797654,33.69583963,10.48953857,0.4895385656,4.106098382,39.99762674,-0.002373263505,42.65290593,40.21636286,0.2163628613,40.41463034,0.05873833359,0.03103407965,0.05980259725
joint,4,True,0.133180706,0.008601702222,15,10,0.006037751032,0.1019333575,0.3371285902,1000.014894,0.01489431933,1000.016969,29.32076817,-0.679231829,33.75965094,10.48735685,0.4873568541,3.362069671,39.99835043,-0.001649568951,42.57509116,40.21618633,0.2161863302,39.41102589,0.06112784477,0.03342359084,0.06171798087
joint,5,True,0.1331888167,0.008601964141,14,8,0.005114443561,0.1097537619,0.3448960489,1000.015392,0.01539241329,1000.016414,29.32011155,-0.6798884493,31.58628502,10.4895918,0.4895918031,6.180106103,39.99688734,-0.003112656062,40.86932441,40.21605626,0.2160562551,41.16125073,0.06190982974,0.0342055758,0.06316869558
joint,6,True,0.1332128424,0.00860273995,19,14,0.007160288419,0.1301799813,0.3651582293,1000.016723,0.01672297933,1000.018521,29.32206658,-0.6779334159,33.69773397,10.49042509,0.4904250934,6.560856253,39.9949591,-0.005040904477,39.38548257,40.21545372,0.2154537217,40.72258464,0.06395224751,0.03624799357,0.06633971229
joint,7,True,0.1332170971,0.008602877333,17,3,0.003354632766,0.1297724011,0.3647729101,1000.016694,0.01669418709,1000.017859,29.31542329,-0.6845767085,31.58590678,10.48709846,0.4870984572,3.961014801,40.00211629,0.002116291683,43.03841957,40.21756761,0.2175676092,40.74408794,0.06391124917,0.03620699524,0.06514050623
joint,8,True,0.133218615,0.008602926344,16,5,0.004262233353,0.134702806,0.3696565943,1000.017023,0.01702294508,1000.016977,29.32019637,-0.6798036301,30.51125116,10.49018843,0.4901884259,6.030416509,39.99638839,-0.003611610183,43.04703902,40.21595642,0.2159564235,41.02201619,0.06440443376,0.03670017982,0.06609576668
joint,9,True,0.1332351073,0.008603458844,16,1,0.002283558506,0.1474921242,0.3823664206,1000.017883,0.0178832855,1000.018388,29.31818564,-0.6818143618,27.34345343,10.49000013,0.4900001312,8.376958594,39.99789028,-0.00210971877,42.12493431,40.21648815,0.216488145,41.66926483,0.06568314782,0.03797889389,0.06711205039
joint,10,True,0.1332382501,0.008603560314,16,16,0.00876840611,0.147026102,0.381924518,1000.017851,0.01785059003,1000.020443,29.31315849,-0.6868415111,29.00787915,10.48949908,0.4894990755,2.762307946,40.00158266,0.001582661203,45.38124608,40.2178211,0.2178211011,40.92564852,0.06563638872,0.03793213478,0.06692285032
