mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,5.31477125,0.0543382986,23,14,0.005767462071,0,0.2383943057,1000.011777,0.01177686438,1000.009364,33.50550957,3.505509569,36.15156345,8.222153979,-1.777846021,3.695892401,39.49200103,-0.5079989714,40.48220416,38.77429161,-1.225708392,39.06183277,0.07809371491,0.01137766255,0.07421892463
joint,2,True,5.315868422,0.05434390706,12,7,0.004559600372,0.01590985339,0.2281726967,1000.01054,0.0105395597,1000.008922,33.44919196,3.449191958,34.76321037,8.271617492,-1.728382508,5.654418151,39.48658258,-0.5134174176,40.29623618,38.78222828,-1.217771719,39.0966901,0.07655069741,0.009834645054,0.07407569904
joint,3,True,5.316348707,0.05434636197,13,4,0.003545372581,0.06500828729,0.2132488769,1000.006752,0.006751899627,1000.004229,33.48237769,3.482377688,33.91432019,8.269224544,-1.730775456,6.565141664,39.4668351,-0.533164905,40.02093822,38.77365131,-1.226348692,39.2149858,0.07160107313,0.004885020771,0.06778869547
joint,4,True,5.316506074,0.05434716631,16,10,0.004766381597,0.1076836245,0.207437187,1000.003678,0.003678084125,1000.000244,33.47447502,3.474475024,35.23572752,8.25854909,-1.74145091,9.052531261,39.48096423,-0.5190357694,38.39414362,38.77730029,-1.222699708,38.16563312,0.06733023066,0.0006141783029,0.06277660494
joint,5,True,5.316570678,0.05434749651,15,16,0.006030000988,0.04401231667,0.2158920477,1000.008338,0.008338300346,1000.004331,33.4176515,3.417651503,35.07377408,8.27911214,-1.72088786,8.783104498,39.50066031,-0.4993396869,39.3773054,38.78958469,-1.210415311,38.16923805,0.07372646349,0.007010411137,0.07021059077
joint,6,True,5.316846786,0.05434890772,16,12,0.005654255195,0.1794705212,0.2193826621,999.9989451,-0.001054890001,999.9962103,33.5075269,3.507526903,35.95445881,8.237726179,-1.762273821,4.795694137,39.47689608,-0.5231039176,40.66982803,38.7714276,-1.228572396,38.35510754,0.06014988469,-0.00656616767,0.05418343292
joint,7,True,5.316912038,0.05434924122,14,13,0.005658491403,0.1734516258,0.2179642001,999.9993241,-0.0006759214571,999.9975795,33.51500819,3.515008187,33.99780602,8.241095471,-1.758904529,8.36126204,39.46915394,-0.5308460594,39.52134173,38.76892667,-1.231073327,38.39138501,0.06075209498,-0.005963957372,0.05765113708
joint,8,True,5.316994182,0.05434966106,14,3,0.003491482794,0.1597810986,0.213131066,1000.000191,0.000191030024,999.9964075,33.48933613,3.489336129,34.36884022,8.25677679,-1.74322321,6.516731035,39.47262255,-0.5273774534,40.58580181,38.7735451,-1.226454904,38.77453451,0.06211976886,-0.004596283493,0.05703207691
joint,9,True,5.317195589,0.05435069042,15,8,0.004658083506,0.1974516667,0.2265104071,999.9978485,-0.002151516472,999.9951771,33.53118469,3.531184687,34.033805,8.237955044,-1.762044956,7.119091747,39.46111707,-0.5388829282,41.00684508,38.76506176,-1.234938236,38.54384073,0.0583528693,-0.008363183053,0.05535967822
joint,10,True,5.317373407,0.05435159921,17,1,0.00327040808,0.2106008695,0.2292978116,999.9970564,-0.002943649649,999.9956013,33.48377886,3.483778862,34.79166391,8.254752005,-1.745247995,6.331141,39.4778504,-0.5221496016,39.82174134,38.77531959,-1.224680408,38.6255576,0.05703794242,-0.009678109936,0.05343089361
