mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.08379684198,0.006823034596,12,9,0.001401611335,0,0.1569536487,1000.001291,0.001291052784,1000.001164,30.06566687,0.06566687438,25.31700498,10.07159325,0.07159325006,13.15410647,39.90123729,-0.09876271342,40.78862309,39.97310122,-0.02689877604,40.33981944,0.01567902132,0.01567902132,0.01551676866
joint,2,True,0.08379832436,0.006823094946,10,4,0.0007241519566,0.01211553962,0.1448520364,1000.001102,0.001102098828,1000.00168,30.06575197,0.06575197013,30.48885438,10.07160921,0.07160920688,10.31817348,39.90116018,-0.09883981969,39.34256404,39.97307734,-0.02692265723,39.53426379,0.01446747671,0.01446747671,0.01401103348
joint,3,True,0.08379846313,0.006823100596,15,14,0.002248864933,0.01327058849,0.1436985909,1000.001085,0.001084890225,1000.000757,30.0658468,0.06584680353,33.44829631,10.07159102,0.07159102023,12.01520879,39.90111255,-0.09888744762,37.33609703,39.97305602,-0.02694398197,38.49007575,0.01435197295,0.01435197295,0.01429282201
joint,4,True,0.08379853371,0.006823103469,13,15,0.002288804741,0.01391537881,0.1430544198,1000.001075,0.001075321516,1000.002292,30.06575725,0.0657572479,29.49966999,10.07160174,0.07160173791,14.64831489,39.90116197,-0.09883803194,36.61788381,39.97307699,-0.02692300973,38.95443676,0.01428749402,0.01428749402,0.01438893775
joint,5,True,0.08379874986,0.006823112269,12,13,0.002063788039,0.01579109379,0.1411811356,1000.001048,0.001047774662,1000.002032,30.06576091,0.06576090539,26.75361801,10.07161376,0.07161375785,13.50818246,39.90114826,-0.09885173527,39.09197375,39.97307437,-0.02692562841,39.89609452,0.01409992379,0.01409992379,0.01348423311
joint,6,True,0.08379960267,0.006823146988,12,6,0.0009815346056,0.023459907,0.1335228627,1000.000939,0.0009389328401,1000.002412,30.06578299,0.06578298715,33.56940148,10.07162336,0.07162336347,10.75554485,39.9011211,-0.09887890351,36.14354524,39.97306749,-0.02693251124,39.32795242,0.01333304729,0.01333304729,0.01284414581
joint,7,True,0.08380015692,0.006823169552,12,7,0.001015835153,0.02868805299,0.1283026208,1000.000868,0.0008682191477,999.9998256,30.06579561,0.0657956101,29.1050265,10.07163145,0.07163144542,8.55493015,39.90110305,-0.09889694636,42.43036948,39.97306314,-0.02693686411,40.08199203,0.01281023566,0.01281023566,0.01137503666
joint,8,True,0.08380106472,0.006823206509,13,11,0.001688970801,0.03774598262,0.1192600213,1000.000752,0.0007524004194,999.9995238,30.06581585,0.06581585201,26.37270247,10.07164695,0.07164694676,11.60389186,39.90107186,-0.09892814395,40.91051001,39.97305583,-0.0269441667,41.07963069,0.01190444726,0.01190444726,0.01144358472
joint,9,True,0.08380216556,0.006823251325,13,1,0.0003873815507,0.04974753263,0.1072827801,1000.000612,0.0006120209757,1000.001383,30.06584968,0.06584968187,31.90352546,10.07166679,0.07166679468,10.48402114,39.90102706,-0.09897293824,37.94320901,39.97304444,-0.0269555598,39.60557143,0.01070429724,0.01070429724,0.0101708243
joint,10,True,0.08380229916,0.006823256764,14,3,0.000627137584,0.05129803293,0.1057357946,1000.000595,0.0005949712427,1000.000068,30.06585279,0.06585278539,31.46485606,10.07166351,0.07166350934,10.61629879,39.90102709,-0.09897290506,38.92857045,39.97304411,-0.0269558933,39.70111993,0.01054924775,0.01054924775,0.0103673066
