mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.0001242495578,0.000262730912,10,11,0.001537613857,0,0.1080968396,1000.000604,0.0006044118639,999.9996342,29.99775348,-0.002246516491,25.95383553,10.00050111,0.0005011131829,7.407925254,40.0009451,0.0009450958506,44.42114739,40.00049345,0.0004934455962,41.66759702,0.01080966592,0.01080966592,0.01042141341
joint,2,True,0.0001242495761,0.0002627309313,11,2,0.0007821581134,0.009190954728,0.1172877801,1000.000712,0.0007115850973,999.9997364,29.99773061,-0.002269385587,26.79004627,10.00050046,0.000500459811,9.688654608,40.00096484,0.0009648413232,42.20004499,40.00049964,0.0004996423892,41.21214095,0.01172875748,0.01172875748,0.01163775321
joint,3,True,0.0001242498792,0.0002627312518,11,7,0.001052071785,0.02388441575,0.08421245918,1000.000367,0.0003667777254,999.999695,29.99779801,-0.00220199158,27.13047428,10.00053204,0.0005320399674,11.38807589,40.00087992,0.0008799222206,40.55814101,40.00047797,0.0004779664415,40.75341426,0.008421231774,0.008421231774,0.008518154387
joint,4,True,0.0001242499197,0.0002627312946,11,13,0.001994332409,0.02567563326,0.08242124435,1000.000351,0.0003513356966,1000.000488,29.99780084,-0.002199162662,26.02610637,10.00053428,0.0005342811338,10.30160138,40.00087553,0.0008755284574,42.37247579,40.00047695,0.0004769481429,40.67357558,0.008242110433,0.008242110433,0.008178210979
joint,5,True,0.0001242500367,0.0002627314183,12,12,0.001791395103,0.0304719685,0.07762491635,1000.000312,0.0003116208445,1000.000552,29.99780887,-0.002191126404,25.29381343,10.00053671,0.0005367114364,9.79246491,40.00086661,0.0008666116834,42.57287419,40.00047452,0.0004745165997,41.32114001,0.007762477909,0.007762477909,0.007676414124
joint,6,True,0.0001242504438,0.0002627318487,11,15,0.002208433539,0.04575617124,0.06234073953,1000.000201,0.000200943244,999.9991786,29.99783002,-0.00216998314,25.25164588,10.00054915,0.000549148902,11.54220248,40.00083769,0.0008376853306,42.28222495,40.00046743,0.0004674255843,40.98840182,0.006234059972,0.006234059972,0.006244859809
joint,7,True,0.0001242505225,0.0002627319319,12,10,0.001521046176,0.03589603962,0.1439928185,1000.001073,0.001072576082,1000.000995,29.99766059,-0.002339409705,26.53065321,10.00046484,0.0004648424838,7.460404507,40.0010556,0.001055602911,43.44634603,40.00052249,0.0005224884078,41.40235624,0.01439925072,0.01439925072,0.01294153145
joint,8,True,0.0001242505558,0.0002627319671,11,1,0.0007033731196,0.04986403125,0.05823288778,1000.000175,0.0001753182407,1000.000348,29.99783496,-0.002165040754,26.01759981,10.00055184,0.0005518434136,10.66529615,40.00083112,0.0008311174994,41.77638074,40.00046579,0.0004657919633,40.75142665,0.005823274394,0.005823274394,0.005797425873
joint,9,True,0.0001242506402,0.0002627320564,9,5,0.0009310678766,0.05299379784,0.05510312805,1000.000157,0.0001569663551,1000.000034,29.99783884,-0.002161160949,26.56148325,10.00055225,0.0005522544744,11.04411635,40.0008275,0.0008275028945,41.69683544,40.0004647,0.0004647039547,40.28753725,0.005510298002,0.005510298002,0.005478414724
joint,10,True,0.0001242510421,0.0002627324813,12,14,0.002123699913,0.06936051204,0.03873646541,1000.000078,7.750741383e-05,1000.000321,29.99785404,-0.002145959268,25.27971384,10.00056088,0.0005608789796,10.39528742,40.00080699,0.0008069861507,41.58484923,40.00045964,0.0004596407744,41.45017783,0.003873627288,0.003873627288,0.003730273134
joint,11,True,0.0001242513359,0.000262732792,11,4,0.0009166682774,0.0459180234,0.1540147824,1000.001227,0.001227091772,1000.000625,29.99763251,-0.002367493675,27.16360387,10.00044079,0.0004407889059,7.782003147,40.00110081,0.001100805877,43.22191149,40.00053278,0.0005327805393,41.30230816,0.01540144175,0.01540144175,0.01496190012
joint,12,True,0.0001242513699,0.0002627328279,8,3,0.0008948528973,0.08799613678,0.0201010022,1000.000021,2.077985289e-05,1000.000746,29.99786521,-0.002134791152,28.54137294,10.0005658,0.0005658022342,8.962774165,40.00079319,0.0007931942745,41.27979009,40.00045608,0.0004560846444,40.32908947,0.0020100644,0.0020100644,0.001816455705
joint,13,True,0.0001242594297,0.0002627413491,14,8,0.001468416248,0.09047933729,0.1985759904,1000.00204,0.002039966367,1000.001535,29.9974722,-0.002527797428,27.78088869,10.00037288,0.0003728764163,11.3623689,40.00129631,0.001296306859,39.72771587,40.00058351,0.0005835101395,41.07422469,0.01985752816,0.01985752816,0.01999159359
joint,14,True,0.0001242594297,0.0002627413491,14,9,0.001468416248,0.09047933729,0.1985759904,1000.00204,0.002039966367,1000.001535,29.9974722,-0.002527797428,27.78088869,10.00037288,0.0003728764163,11.3623689,40.00129631,0.001296306859,39.72771587,40.00058351,0.0005835101395,41.07422469,0.01985752816,0.01985752816,0.01999159359
joint,15,True,0.0001242666683,0.0002627490018,9,6,0.0009600062929,0.1110339126,0.2191305059,1000.002484,0.002484158096,1000.002652,29.99738942,-0.002610581933,25.32286382,10.00031334,0.0003133438057,13.24271787,40.00141932,0.001419315713,40.27882261,40.00061253,0.0006125323879,40.52876965,0.02191295728,0.02191295728,0.02191713114
joint,16,True,0.0001242866292,0.0002627701036,10,16,0.002223472376,0.1467999404,0.254896413,1000.003361,0.003361290794,1000.002257,29.99721869,-0.002781307073,26.18836963,10.00022948,0.0002294753383,9.207895961,40.00163793,0.001637928959,43.60990861,40.00066789,0.0006678852182,40.7023417,0.02548949743,0.02548949743,0.02522733751
