mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.1379762843,0.008755197956,15,14,0.003792575555,0,0.371210703,1000.006692,0.006692287861,1000.011252,29.45747393,-0.5425260727,32.38573251,10.05497636,0.05497636267,15.32481634,40.56509253,0.5650925285,33.46914572,40.45421314,0.4542131426,38.59053869,0.03684240496,0.03684240496,0.04026663951
joint,2,True,0.1379946304,0.00875578001,19,13,0.003776173446,0.03126567566,0.4022464899,1000.007935,0.007935116502,1000.013955,29.45952948,-0.5404705228,33.53666422,10.05501736,0.0550173581,12.37968933,40.56376618,0.563766178,34.04013262,40.45370648,0.4537064831,39.63946817,0.03996879318,0.03996879318,0.0461267995
joint,3,True,0.1380006476,0.008755970903,17,11,0.003360901145,0.04123187315,0.4121560237,1000.008352,0.008352320403,1000.009832,29.45869468,-0.5413053208,35.19133755,10.0550794,0.0550794045,11.95026745,40.5642756,0.5642756033,35.10678735,40.45390329,0.4539032929,39.49776353,0.04096537655,0.04096537655,0.04400844478
joint,4,True,0.1380106531,0.008756288315,19,5,0.002254928397,0.05704129613,0.4278752755,1000.009035,0.00903533622,1000.012891,29.45835279,-0.5416472132,32.21015343,10.05502787,0.05502786997,12.84547169,40.56457057,0.5645705715,35.74355211,40.45399396,0.4539939614,39.43260232,0.0425462314,0.0425462314,0.04618458905
joint,5,True,0.1380148187,0.008756420459,15,10,0.003334369225,0.06349428402,0.4342969638,1000.009321,0.009321455592,1000.009529,29.45762969,-0.5423703103,31.23510277,10.05493611,0.05493610586,12.38363106,40.56513235,0.5651323476,38.47864188,40.45418249,0.454182493,39.70788136,0.04319149309,0.04319149309,0.04635716427
joint,6,True,0.1380542672,0.008757671786,19,9,0.003271095531,0.1198701991,0.4904008325,1000.012005,0.01200537364,1000.015665,29.45739159,-0.5426084125,35.6643755,10.05475205,0.05475204929,12.02528864,40.56555339,0.5655533949,35.42002414,40.45426626,0.4542662627,38.00410352,0.04882868864,0.04882868864,0.05296738272
joint,7,True,0.1380695096,0.008758155233,17,16,0.004742502533,0.139964303,0.5104129281,1000.013041,0.01304146836,1000.013758,29.45723421,-0.5427657935,33.77517752,10.0546018,0.05460179713,10.39435024,40.56582552,0.5658255197,39.17348556,40.45432459,0.4543245942,38.39734201,0.0508379345,0.0508379345,0.05288243445
joint,8,True,0.1380752339,0.008758336786,14,3,0.001949461598,0.1466263347,0.5170367534,1000.013395,0.01339462177,1000.014139,29.45945523,-0.5405447651,29.5882797,10.05505,0.05504999543,12.60670573,40.56401005,0.5640100465,39.37172693,40.45372548,0.4537254812,39.48113714,0.05150407645,0.05150407645,0.05329829504
joint,9,True,0.1381089008,0.008759404494,15,2,0.001563781779,0.1877082316,0.5579753784,1000.015671,0.0156712302,1000.016726,29.45835593,-0.5416440709,27.61141997,10.05575697,0.05575697479,14.25515372,40.56422262,0.564222621,38.25115445,40.45390761,0.4539076131,40.73506253,0.05561188434,0.05561188434,0.05786870748
joint,10,True,0.1381133659,0.00875954609,18,12,0.003753061674,0.1935921988,0.5638468695,1000.016011,0.01601129467,1000.021106,29.4573485,-0.5426514975,32.29980221,10.05467103,0.05467102521,13.16069312,40.56581341,0.565813407,35.121519,40.45429078,0.4542907754,38.93236672,0.05620022252,0.05620022252,0.05899774721
