mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.0008620758964,0.0006920484474,13,6,0.001271555316,0,0.2030542137,1000.00214,0.002139694214,1000.003509,29.9427735,-0.0572265035,29.34778664,10.07522581,0.07522581001,12.92910819,39.97328136,-0.02671863587,37.91941626,40.01886004,0.01886003765,39.34613421,0.02029881542,0.02029881542,0.02083082424
joint,2,True,0.0008632420795,0.0006925163775,13,15,0.001967333908,0.03807981491,0.2411235369,1000.003015,0.00301452856,1000.003015,29.94259935,-0.05740064531,31.38851079,10.07514742,0.07514741763,10.17290438,39.97349757,-0.02650242637,38.71649993,40.01891543,0.01891543311,40.17702872,0.02410673382,0.02410673382,0.02447342139
joint,3,True,0.0008677214313,0.0006943107819,13,16,0.002108133603,0.1464021096,0.3494280236,1000.006324,0.006323514938,1000.005648,29.94194205,-0.05805795067,26.73115494,10.07485173,0.07485172917,9.908208603,39.97431378,-0.02568621791,41.93653794,40.01912448,0.01912448214,41.37366091,0.03493865105,0.03493865105,0.03540942133
joint,4,True,0.0008690561018,0.0006948445477,12,11,0.001847802511,0.1722970633,0.3753201168,1000.007294,0.007294342224,1000.007439,29.94175424,-0.05824576175,30.26625636,10.0747622,0.07476219761,8.830481459,39.97455232,-0.02544767823,39.93161327,40.01918489,0.01918488802,40.84226147,0.03752803765,0.03752803765,0.03796933311
joint,5,True,0.0008696243483,0.0006950716783,12,4,0.001247476791,0.1827429777,0.3857649731,1000.007706,0.007705607374,1000.007132,29.941671,-0.05832900363,29.33670825,10.0747267,0.07472670033,8.642450672,39.97465371,-0.02534628533,41.35593952,40.0192111,0.01921109696,40.82630551,0.03857258102,0.03857258102,0.0387814896
joint,6,True,0.0008704217196,0.000695390266,12,3,0.0009585359489,0.1968775378,0.3998981918,1000.00828,0.008280063289,1000.007213,29.94150677,-0.05849323299,26.71574425,10.07468302,0.07468301795,9.184137898,39.97482178,-0.02517821542,42.62844304,40.01925896,0.01925895502,41.35504513,0.03998596788,0.03998596788,0.04002473769
joint,7,True,0.0008720330691,0.0006960336315,15,14,0.001942687616,0.2238973104,0.4269155478,1000.009436,0.009435744426,1000.009419,29.94133157,-0.05866843411,23.78489552,10.07456669,0.07456668822,10.03631728,39.9750823,-0.02491770438,43.46782928,40.01932002,0.01932001757,41.746081,0.04268780011,0.04268780011,0.0432663813
joint,8,True,0.000872126005,0.00069607072,13,13,0.001889600305,0.2253954882,0.4284136046,1000.009502,0.009502033898,1000.009748,29.94131412,-0.05868588034,26.59795846,10.07456669,0.07456669408,8.610146025,39.9750964,-0.02490360361,42.67213773,40.01932453,0.01932452502,41.27577883,0.04283760932,0.04283760932,0.042994478
joint,9,True,0.0008724615862,0.000696204626,13,9,0.001697541424,0.2307605919,0.4337782596,1000.009741,0.009741326348,1000.008885,29.94127046,-0.05872954106,24.76149649,10.07454031,0.07454031358,12.78946029,39.97515714,-0.02484285547,40.99403011,40.0193393,0.01933930318,41.35004883,0.04337408852,0.04337408852,0.04421456654
joint,10,True,0.0008726190915,0.000696267466,15,12,0.00186058443,0.2332525134,0.4362699781,1000.009853,0.009853483294,1000.010692,29.94124873,-0.05875127057,27.02374054,10.07453154,0.07453154487,10.61565147,39.97518338,-0.02481661772,40.26871393,40.01934609,0.01934608971,41.24067374,0.04362326596,0.04362326596,0.04443825816
joint,11,True,0.0008730072046,0.0006964222875,12,1,0.0008351472706,0.2393243624,0.4423413387,1000.010129,0.01012945517,1000.010212,29.94119213,-0.05880786511,28.38894342,10.07450687,0.07450687157,11.2510538,39.97525263,-0.02474737103,39.92709921,40.01936397,0.01936396887,40.48662093,0.04423041432,0.04423041432,0.04486017976
joint,12,True,0.0008730443863,0.0006964371178,12,5,0.001260682444,0.2398803371,0.4428972921,1000.010155,0.01015490411,1000.011072,29.94111434,-0.05888565791,28.49696042,10.0745144,0.07451440373,9.921447023,39.97529828,-0.0247017152,40.26059863,40.01938252,0.01938252083,40.63409243,0.0442860082,0.0442860082,0.04473343542
joint,13,True,0.000874092081,0.0006968548713,12,2,0.0009211388855,0.2558107066,0.4588264084,1000.010898,0.01089801515,1000.009657,29.94103328,-0.05896672102,28.34347995,10.07444164,0.0744416418,9.361755545,39.97544331,-0.02455668788,42.30001612,40.01941364,0.01941363635,40.38210384,0.04587894474,0.04587894474,0.04595521918
joint,14,True,0.0008757402747,0.0006975115589,13,10,0.001718408058,0.2796262144,0.4826401838,1000.012058,0.0120578956,1000.01333,29.94080048,-0.05919952462,28.10084231,10.07433722,0.0743372151,11.07178018,39.97573165,-0.02426835371,39.55552759,40.01948761,0.01948760712,40.57093996,0.04826033249,0.04826033249,0.04902440106
joint,15,True,0.0008757967332,0.0006975340427,12,8,0.001649551899,0.2803916292,0.483405553,1000.012096,0.01209612837,1000.010516,29.94070661,-0.05929339162,30.21829331,10.07431457,0.07431457268,6.01514425,39.97581396,-0.02418603816,43.10186668,40.01951415,0.01951415171,40.61958131,0.04833686813,0.04833686813,0.045903933
joint,16,True,0.0008831711532,0.0007004645892,13,7,0.001553619104,0.3730754944,0.5760836103,1000.017176,0.01717597787,1000.019007,29.93981365,-0.06018635228,31.35980233,10.07387166,0.07387165735,10.87570762,39.97698147,-0.02301853167,37.56166037,40.01980449,0.01980448882,39.54660062,0.05760446251,0.05760446251,0.05825936341
