mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,0.06661095828,0.006083262935,14,5,0.002699739691,0,0.9963899908,1000.051578,0.05157831689,1000.050288,30.08153004,0.08153004467,26.03034193,9.857968704,-0.142031296,16.83621055,40.01976648,0.01976648284,37.16065078,39.91722632,-0.08277368026,39.88473802,0.099626108,0.099626108,0.09823544153
joint,2,True,0.06662196545,0.00608376553,15,2,0.002419871938,0.01020026767,0.9861909122,1000.050532,0.05053231639,1000.050488,30.08131712,0.08131712053,27.11367789,9.858143055,-0.1418569453,12.90807987,40.01971586,0.01971586217,38.63705063,39.91725495,-0.08274505122,40.05561307,0.0986064175,0.0986064175,0.09691860131
joint,3,True,0.06662764808,0.006084024987,18,12,0.004001054215,0.01544371541,0.9809478454,1000.049999,0.0499987614,1000.048211,30.08049593,0.08049592924,24.40173331,9.858675197,-0.1413248033,14.13327084,40.01977902,0.01977901801,41.4283722,39.917392,-0.08260799838,40.12856652,0.09808225476,0.09808225476,0.09722291812
joint,4,True,0.06663904534,0.006084545328,14,11,0.003942959122,0.02598808565,0.9704047691,1000.048934,0.04893432565,1000.04828,30.07955272,0.07955272119,26.14339434,9.858491553,-0.1415084467,13.54712655,40.02050588,0.02050587799,39.96882063,39.91765339,-0.08234661377,39.55541752,0.09702816396,0.09702816396,0.09591582519
joint,5,True,0.06664310991,0.006084730886,15,9,0.00385180669,0.03003303781,0.9663607175,1000.048529,0.04852931844,1000.046613,30.08132161,0.0813216142,24.43212774,9.857953511,-0.1420464886,16.86266969,40.01979304,0.01979303895,38.31118504,39.91727449,-0.08272551302,40.76124433,0.09662377188,0.09662377188,0.09599497193
joint,6,True,0.06664985961,0.006085039012,14,3,0.002606114256,0.03646018507,0.9599342448,1000.047889,0.04788901794,1000.04736,30.08139645,0.08139644901,25.80571364,9.858322299,-0.1416777012,11.29246387,40.01940627,0.01940626883,41.80306061,39.91720559,-0.08279441476,40.03395423,0.09598125726,0.09598125726,0.09479210035
joint,7,True,0.06665064645,0.006085074931,15,15,0.004201270115,0.03719972058,0.9591952279,1000.047816,0.04781566708,1000.045408,30.0821942,0.08219420136,23.03985204,9.857790527,-0.1422094729,16.70479067,40.019334,0.01933399664,38.54721283,39.91707301,-0.08292699489,41.53784979,0.09590732776,0.09590732776,0.09464822527
joint,8,True,0.06667255427,0.00608607492,14,4,0.00264366567,0.05831796046,0.938079518,1000.045743,0.0457432966,1000.046615,30.08229145,0.08229144981,28.16799476,9.858100064,-0.1418999363,14.99339319,40.01892528,0.01892527576,36.69949102,39.91700318,-0.08299682147,39.46603587,0.0937961396,0.0937961396,0.09310676553
joint,9,True,0.06667461684,0.006086169058,14,1,0.002028113305,0.06033452997,0.936062952,1000.045548,0.04554781201,1000.045181,30.08195332,0.08195331787,25.46597782,9.858479999,-0.1415200006,13.15241505,40.01881593,0.01881593134,40.43134067,39.91703855,-0.08296145308,40.04504824,0.09359454183,0.09359454183,0.09264066221
joint,10,True,0.06668807202,0.006086783132,17,6,0.002862211178,0.07341981207,0.9229788383,1000.044289,0.04428943677,1000.040264,30.08089055,0.08089055205,25.11167839,9.858909662,-0.1410903384,7.854283504,40.01909374,0.01909373907,44.47800082,39.91724904,-0.08275096338,41.11882565,0.09228639158,0.09228639158,0.08752379359
joint,11,True,0.06668870684,0.006086812103,13,14,0.004085435207,0.07416594689,0.9222335457,1000.044218,0.04421848252,1000.044397,30.08282551,0.0828255093,27.63717285,9.858369801,-0.141630199,15.77162052,40.0182877,0.01828770102,35.43901376,39.91682891,-0.08317109268,40.04582438,0.0922118031,0.0922118031,0.09082500875
joint,12,True,0.06669256539,0.006086988189,17,16,0.004213846441,0.07796624579,0.9184338931,1000.043857,0.04385665934,1000.043391,30.08304536,0.08304535548,24.49643822,9.858090761,-0.1419092393,11.47743159,40.01836631,0.01836631176,41.53428942,39.91680906,-0.08319093979,40.52880473,0.09183188074,0.09183188074,0.08992235519
joint,13,True,0.06669803857,0.006087237951,14,10,0.003922300338,0.08343764825,0.912962728,1000.043338,0.04333833282,1000.041696,30.08239004,0.08239004071,25.98854877,9.858663692,-0.1413363079,13.67241989,40.01828713,0.01828712622,41.00627879,39.91689886,-0.08310114464,39.54570285,0.09128489188,0.09128489188,0.09045651206
joint,14,True,0.066704754,0.006087544387,14,7,0.003046272748,0.09015807261,0.906243378,1000.042706,0.04270604345,1000.042921,30.08301954,0.08301953764,25.19391204,9.85852168,-0.1414783202,11.97057702,40.01797191,0.01797190992,39.86194834,39.91675648,-0.08324352342,41.12535656,0.09061303792,0.09061303792,0.08933720698
joint,15,True,0.06677164255,0.006090595781,13,13,0.004080304685,0.1597806815,0.8366287972,1000.03643,0.03642963499,1000.037401,30.08305388,0.08305387719,25.38634409,9.859443032,-0.1405569679,15.28449897,40.01691704,0.01691704307,38.25587362,39.91661318,-0.0833868211,39.68816796,0.08365253907,0.08365253907,0.08269533246
joint,16,True,0.06678541876,0.006091224049,14,8,0.003704930849,0.1748238549,0.8215880298,1000.03514,0.03513952448,1000.032402,30.08441654,0.08441654066,26.1458215,9.859127972,-0.1408720282,15.37656122,40.01624435,0.01624435167,38.88876318,39.91630611,-0.08369388752,40.43536706,0.08214857015,0.08214857015,0.08092353049
