mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,294.5794171,0.4045432384,19,13,0.1092381707,0,0.7243281442,999.9816135,-0.0183865318,999.9798598,39.9999964,9.999996401,37.71770099,12.40133894,2.401338941,12.56226504,30,-10,30.68740243,40.675593,0.6755930037,42.20567597,0.008669348245,0.008669348245,0.00516176053
joint,2,True,294.5813847,0.4045445894,23,2,0.1020697023,0.1423160419,0.7546988214,999.9839377,-0.01606232962,999.9812934,39.99997135,9.999971353,31.28027542,12.40092426,2.400924258,19.96529888,30,-10,30.40988213,40.67611568,0.6761156805,40.96350754,0.02290083341,0.02290083341,0.008962124031
joint,3,True,294.5829331,0.4045456526,20,9,0.1067120429,0.007583957825,0.7252755886,999.981684,-0.01831599919,999.9820696,39.9999986,9.999998598,35.1568155,12.40135287,2.401352871,14.3841861,30,-10,30.31834422,40.67583436,0.6758343552,42.33614128,0.009427741014,0.009427741014,0.005443521948
joint,4,True,294.5842538,0.4045465595,17,11,0.1083162003,0.04686791672,0.7314218712,999.9821471,-0.0178529041,999.9832985,39.99998838,9.999988378,35.60558361,12.40174721,2.401747213,13.32049475,30,-10,31.05836564,40.67560354,0.6756035444,41.17919587,0.01335612044,0.01335612044,0.007263234708
joint,5,True,294.5851679,0.4045471871,21,10,0.1072074091,0.01944383425,0.7222582014,999.9814584,-0.01854157066,999.98128,39.99994979,9.999949787,36.91442932,12.40136953,2.401369532,12.53320601,30,-9.999999999,31.17797361,40.67572747,0.6757274689,41.56283291,0.00672496882,0.00672496882,0.001353204956
joint,6,True,294.586467,0.4045480791,17,8,0.1061348886,0.006247139956,0.7250997261,999.9816717,-0.01832826677,999.9827488,39.99999691,9.999996907,37.4914146,12.40101309,2.40101309,12.51390364,30,-10,30.32365278,40.67577205,0.6757720531,41.06527382,0.009294057547,0.009294057547,0.003136867261
joint,7,True,294.5868278,0.4045483269,22,1,0.1002651169,0.03890034956,0.7300029135,999.9820406,-0.01795941325,999.9823527,39.99987651,9.999876513,36.25568612,12.40144982,2.40144982,14.61140899,30.00000001,-9.999999987,30.0519082,40.67573205,0.675732047,41.04825737,0.01255936839,0.01255936839,0.006208246079
joint,8,True,294.5878653,0.4045490392,19,15,0.1093754224,0.03197849651,0.7212016093,999.981378,-0.01862202146,999.9802731,39.99999833,9.999998332,35.3084046,12.40127485,2.401274851,13.50862721,30.00000001,-9.999999993,31.58617423,40.67640189,0.6764018874,42.48510114,0.005471506588,0.005471506588,0.002200074921
joint,9,True,294.5903569,0.4045507501,18,3,0.1037642398,0.04363458466,0.7204057436,999.9813207,-0.01867927232,999.9826145,39.99999937,9.999999375,35.02812265,12.4008022,2.400802195,14.46358726,30,-10,30.36073196,40.67594012,0.6759401203,41.7473142,0.004305897176,0.004305897176,0.002036008877
joint,10,True,294.5903619,0.4045507535,22,5,0.1042333096,0.03437610587,0.7210193504,999.9813664,-0.01863360359,999.9821538,39.99989111,9.99989111,37.47117883,12.40140405,2.401404046,12.82411742,30,-9.999999997,30.73594595,40.6756274,0.6756274002,40.86580509,0.005231743268,0.005231743268,0.001251512722
joint,11,True,294.5904094,0.4045507861,26,4,0.1040939694,0.02228608544,0.7219968108,999.9814394,-0.01856059495,999.9815402,39.99987428,9.999874279,38.77240355,12.40142643,2.401426428,12.79896351,30,-10,30.6141968,40.67562733,0.6756273303,40.2895533,0.006440744087,0.006440744087,0.001212931851
joint,12,True,294.5904743,0.4045508307,20,7,0.105948376,0.02406894028,0.7218400412,999.9814277,-0.01857231287,999.9831888,39.99987806,9.999878058,37.24157155,12.40141925,2.401419254,11.74345575,30.00000001,-9.999999992,31.16018085,40.67563011,0.6756301139,41.24764607,0.006262458815,0.006262458815,0.001677451376
joint,13,True,294.59093,0.4045511436,17,6,0.1058496662,0.07847431009,0.7378425316,999.9826362,-0.01736377553,999.9837044,39.99993435,9.999934352,37.81663987,12.40142284,2.40142284,12.35663477,30.00000001,-9.999999989,30.53376775,40.67562582,0.6756258164,40.73057594,0.01651673758,0.01651673758,0.01294267769
joint,14,True,294.5910399,0.404551219,15,12,0.1088123977,0.06186470213,0.7343038637,999.9823667,-0.01763333925,999.9821735,39.99997219,9.999972188,37.15948471,12.40133702,2.401337016,11.02095196,30,-10,32.17408936,40.67563638,0.675636383,41.91544546,0.0148557898,0.0148557898,0.01152206439
joint,15,True,294.592636,0.404552315,20,14,0.1093096638,0.04495501008,0.7310685578,999.9821213,-0.01787872879,999.9818436,39.99996129,9.999961293,35.21020955,12.40105144,2.40105144,14.35124293,30,-9.999999999,30.30075775,40.67594516,0.6759451571,42.58044285,0.01316483072,0.01316483072,0.00685728304
joint,16,True,294.5937326,0.404553068,23,16,0.109580532,0.2172675706,0.7807148385,999.986005,-0.01399499148,999.9821527,39.99990906,9.999909062,31.74119455,12.40153119,2.401531185,18.89423884,30,-10,31.06381689,40.6756582,0.675658202,40.62708841,0.03039582788,0.03039582788,0.01630542218
