mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,2.045783482,0.03371270352,27,13,0.003068754033,0,0.4316976621,1000.006131,0.00613119234,1000.012873,27.52627098,-2.473729017,32.38844538,12.13054156,2.130541559,14.70772833,39.75956038,-0.2404396237,34.81472187,40.60849342,0.6084934194,39.29769419,0.03967593901,0.03967593901,0.053125129
joint,2,True,2.045806219,0.03371289087,22,16,0.003380042646,0.005946781203,0.4371523186,1000.006377,0.006377414022,1000.009349,27.52776988,-2.472230122,30.36380346,12.13088047,2.130880466,12.97046239,39.75828786,-0.2417121409,37.44299006,40.608098,0.6080979976,40.27047256,0.04027049804,0.04027049804,0.04782951828
joint,3,True,2.045920048,0.03371382874,22,4,0.00255355621,0.05393064113,0.4817550892,1000.008495,0.008495177331,1000.013263,27.5234575,-2.476542497,29.40325762,12.1295904,2.129590403,14.71489681,39.76231217,-0.237687835,37.12676869,40.60928652,0.6092865239,39.54170438,0.04506863961,0.04506863961,0.05457485011
joint,4,True,2.04603832,0.03371480321,23,9,0.00294011447,0.08866525257,0.5143716085,1000.010178,0.0101781292,1000.017512,27.52671372,-2.473286277,29.53334351,12.13080763,2.130807628,17.8257108,39.75919646,-0.24080354,33.55655184,40.60835929,0.6083592923,39.24278919,0.04854188642,0.04854188642,0.05861116045
joint,5,True,2.046078092,0.03371513089,19,1,0.001202787701,0.09042947086,0.5159863395,1000.010269,0.01026850817,1000.013912,27.5343317,-2.465668303,28.6513338,12.13428671,2.13428671,13.36159988,39.75120789,-0.2487921081,37.9690698,40.60610895,0.606108951,40.03646243,0.04871807894,0.04871807894,0.0543215809
joint,6,True,2.046139799,0.03371563929,20,5,0.002677642829,0.127951909,0.5516482801,1000.01223,0.01223004943,1000.017245,27.52060136,-2.479398641,28.41705282,12.12914165,2.129141647,12.92841207,39.76472313,-0.2352768674,37.91680093,40.61002191,0.6100219092,40.78741893,0.05247015958,0.05247015958,0.06030524653
joint,7,True,2.046175615,0.03371593437,24,15,0.00330935462,0.1334873065,0.5568867496,1000.012533,0.01253308787,1000.021002,27.52484949,-2.47515051,30.20697132,12.13069943,2.130699426,15.35486848,39.76060825,-0.2393917522,34.81564,40.60881577,0.6088157685,39.02334744,0.05302370712,0.05302370712,0.06277917029
joint,8,True,2.046201726,0.03371614949,26,3,0.001694392776,0.1308548844,0.5543241855,1000.01239,0.01239040575,1000.022594,27.53205757,-2.467942432,30.99106054,12.13281122,2.132811219,15.52099156,39.7540549,-0.2459451048,34.44920367,40.60683713,0.6068371314,39.22694078,0.05276042278,0.05276042278,0.06674929014
joint,9,True,2.04622523,0.03371634313,22,7,0.002892352271,0.1321626196,0.5555445815,1000.012463,0.01246264579,1000.01885,27.53580459,-2.464195409,29.76097399,12.13441107,2.134411074,14.31364432,39.75022174,-0.2497782639,36.59390928,40.60574437,0.605744369,39.13654689,0.05289106177,0.05289106177,0.06085893
joint,10,True,2.046226401,0.03371635278,18,2,0.001485812799,0.1176176123,0.5416517878,1000.011679,0.01167910085,1000.014756,27.54442457,-2.455575428,28.86173082,12.13777881,2.137778808,12.54881465,39.74163459,-0.2583654124,38.87071105,40.60326979,0.6032697885,40.31007579,0.05143609994,0.05143609994,0.0575291009
joint,11,True,2.0462954,0.03371692124,23,14,0.003223145377,0.1498263161,0.5723770576,1000.013446,0.01344579636,1000.018725,27.53732157,-2.462678428,29.83600231,12.13504129,2.135041285,16.65650891,39.74872407,-0.2512759305,34.85357425,40.60530398,0.6053039756,39.63638549,0.05465722756,0.05465722756,0.06322521879
joint,12,True,2.046352349,0.03371739041,22,6,0.002843756114,0.1635941316,0.585529583,1000.014234,0.01423448277,1000.018829,27.53854963,-2.46145037,30.21549333,12.13545225,2.13545225,12.19842621,39.74759556,-0.252404444,38.33297646,40.60496046,0.6049604593,39.40425522,0.05603384326,0.05603384326,0.06186239325
joint,13,True,2.046493803,0.03371855575,21,8,0.002929040925,0.1965241233,0.6171019748,1000.016201,0.01620050121,1000.020947,27.54153542,-2.458464582,30.32442839,12.13701912,2.137019124,12.86184431,39.74436627,-0.2556337341,38.13417669,40.60405315,0.6040531462,39.25211836,0.05932640184,0.05932640184,0.06582538071
