mode,rank,success,cost,rmse_normalized,nfev,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,x0_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,x0_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,x0_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,x0_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_TiO2_nm,fit_Angle_deg,benchmark_error_Angle_deg,x0_Angle_deg
joint,1,True,7.017256458,0.0624377755,60,15,0.01181146848,0,0.7293165447,1000.001181,0.001181160627,1000.014329,39.34146389,9.34146389,27.23854634,12.69973365,2.699733652,9.803668662,30.00000019,-9.999999806,43.25784065,38.30325773,-1.696742275,39.98374496,0.01906775239,0.01906775239,0.06036589986
joint,2,True,7.017456105,0.0624386637,64,13,0.01111109051,0.01344088036,0.7327334531,1000.001454,0.001454055876,1000.008742,39.3325748,9.332574798,30.89054174,12.70763264,2.707632642,9.248412206,30,-9.999999998,41.59470972,38.30424379,-1.695756215,40.06780621,0.02041043554,0.02041043554,0.05406056196
joint,3,True,7.018111583,0.06244157973,65,10,0.0100533966,0.06254230877,0.7474111763,1000.002612,0.002612085046,1000.013325,39.31152021,9.311520212,21.39561094,12.72636593,2.726365929,12.05061324,30.00000048,-9.999999515,43.83862658,38.30657767,-1.693422327,42.9644265,0.02531849518,0.02531849518,0.06146847443
joint,4,True,7.019048331,0.06244574681,54,9,0.00958848377,0.1222519514,0.7691399947,1000.004356,0.004356355778,1000.015219,39.28698008,9.286980082,25.23350828,12.74821885,2.748218853,19.38215275,30.00000022,-9.999999779,36.78874553,38.30929679,-1.690703211,40.15641575,0.03128695251,0.03128695251,0.06333674203
joint,5,True,7.019671616,0.06244851932,48,5,0.009109738412,0.1518156982,0.7812555952,1000.005355,0.005355292107,1000.017653,39.26995823,9.26995823,28.20229959,12.76338939,2.763389386,19.40734833,30.00000035,-9.999999649,32.34329922,38.31117274,-1.688827263,39.13750298,0.03424100303,0.03424100303,0.05972525522
joint,6,True,7.019675024,0.06244853447,54,6,0.00916496154,0.1433905646,0.7774982458,1000.005059,0.005059266751,1000.013636,39.26559248,9.265592483,33.30172843,12.76722095,2.767220952,7.012270819,30.00000244,-9.999997559,40.42702029,38.31167074,-1.688329259,40.41452597,0.03339699853,0.03339699853,0.06005800284
joint,7,True,7.020720613,0.06245318519,47,7,0.009309853229,0.1911541513,0.7986610629,1000.006823,0.006823101114,1000.012835,39.24150833,9.241508332,33.73409198,12.78867319,2.788673192,15.89959433,30.00000021,-9.999999795,33.77331516,38.31433797,-1.685662034,38.21377694,0.03817029761,0.03817029761,0.05670066937
joint,8,True,7.021247525,0.06245552873,43,8,0.009565106232,0.2206734351,0.8130347786,1000.008033,0.008033015539,1000.017431,39.23426481,9.234264814,34.04870256,12.79516947,2.795169469,18.09514571,30.00000039,-9.999999612,30.98456232,38.31513191,-1.684868094,37.78853394,0.0411221214,0.0411221214,0.06080746463
joint,9,True,7.021271328,0.0624556346,55,11,0.01040835881,0.228526903,0.8171071944,1000.008371,0.00837138792,1000.023632,39.2375212,9.237521203,27.76110817,12.79226816,2.792268164,13.35242963,30.00000042,-9.999999584,36.69850205,38.31478319,-1.685216808,41.3730927,0.04190856076,0.04190856076,0.07158524284
joint,10,True,7.021500123,0.06245665218,42,4,0.006989765108,0.2225510547,0.8137818455,1000.008111,0.008110740781,1000.016633,39.22482614,9.224826139,33.73975946,12.80353442,2.803534419,12.45361523,30.00000153,-9.999998468,34.80398327,38.31618538,-1.683814619,39.01346196,0.04130773789,0.04130773789,0.06020735767
joint,11,True,7.021736699,0.06245770435,54,1,0.005695724787,0.2370224147,0.821184445,1000.00874,0.008740039802,1000.021949,39.22286534,9.222865341,28.64079855,12.80526423,2.805264232,19.40355364,30.00000341,-9.999996589,32.28026809,38.31641909,-1.683580914,39.86103702,0.04275521898,0.04275521898,0.06865176804
joint,12,True,7.02192919,0.06245856044,42,16,0.01188946109,0.2486349304,0.8272603509,1000.009261,0.009260631663,1000.018608,39.22127527,9.221275271,32.28394501,12.80675026,2.806750261,18.67493312,30.00000328,-9.999996722,31.26583493,38.3165696,-1.683430399,39.07048089,0.04391668959,0.04391668959,0.06411240399
joint,13,True,7.022066816,0.06245917251,49,2,0.006180826997,0.2571821215,0.8318131791,1000.009653,0.009652834369,1000.021912,39.22040422,9.220404221,30.04839187,12.80750411,2.807504107,14.80241982,30.00000029,-9.999999706,35.59340384,38.31668366,-1.683316345,40.3550261,0.04477162287,0.04477162287,0.07077596117
joint,14,True,7.022926547,0.06246299592,45,12,0.01101232759,0.2767585563,0.8420501468,1000.010574,0.01057419804,1000.020628,39.19807377,9.198073774,31.54909982,12.82736046,2.82736046,14.82120075,30.00000053,-9.999999468,33.06298126,38.31915844,-1.680841558,39.97248678,0.04672505333,0.04672505333,0.0661031868
joint,15,True,7.023629363,0.06246612132,40,14,0.01178355556,0.308804647,0.8600889005,1000.012175,0.0121754211,1000.017375,39.18985746,9.189857465,36.9757761,12.83476026,2.834760261,7.9028951,30.00000158,-9.999998419,38.4022459,38.32004902,-1.679950981,38.97189692,0.04992939276,0.04992939276,0.06606856151
joint,16,True,7.023968192,0.06246762802,42,3,0.006400388485,0.3227489889,0.8681768043,1000.012905,0.01290518347,1000.026563,39.18564431,9.185644315,31.96058883,12.83848995,2.838489954,16.24589623,30.00000527,-9.999994731,31.45609786,38.32053251,-1.679467488,39.99797589,0.05132353333,0.05132353333,0.07378099847
